X,Y,OBJECTID,Weekday,stop_code,StopMode,stop_name,stop_lat,stop_lon,F28,F38,F55,F60,F61,F62,F63,F64,F65,F75,F80,F81,F82,F84,A,B,C,D,E,F,G,H,J,L,O,P,R,S,W
-9956801.86909594,5323434.51600242,24,25.18181818,10053,RB,Shorewood,43.075262,-89.443473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.59090909,0,0,0,0,6.59090909,0,0,0,0,0,0,0,0,0
-9956778.49199078,5323430.40124156,25,162.45454545,10054,RB,Shorewood,43.075235,-89.443263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.54545455,0,0,0,0,38.90909091,0,0,0,0,0,0,0,0,0
-9955703.8136302,5323161.72930245,26,175.09090909,10057,RB,University Bay,43.073472,-89.433609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.36363636,0,0,0,0,52.72727273,0,0,0,0,0,0,0,0,0
-9955674.9819658,5323145.42326094,27,210.40909091,10058,RB,University Bay,43.073365,-89.43335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.72727273,0,0,0,0,40.68181818,0,0,0,0,0,0,0,0,0
-9952761.63948485,5323158.98619905,28,701.18181818,10061,RB,Orchard,43.073454,-89.407179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510.09090909,0,0,0,0,191.09090909,0,0,0,0,0,0,0,0,0
-9952746.50015553,5322955.69678401,29,383.22727273,10062,RB,Orchard,43.07212,-89.407043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.5,0,0,0,0,56.72727273,0,0,0,0,0,0,0,0,0
-9951897.2436738,5323145.11849251,30,633.68181818,10069,RB,East Campus,43.073363,-89.399414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.27272727,0,0,0,0,151.40909091,0,0,0,0,0,0,0,0,0
-9951816.20306779,5322929.63838668,31,521.40909091,10070,RB,East Campus,43.071949,-89.398686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.77272727,238.27272727,0,0,0,18.36363636,0,0,0,0,0,0,0,0,0
-9951834.01417329,5323143.7470353,32,251.86363636,10071,MB,East Campus,43.073354,-89.398846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.86363636,0,0,0,0,0,0,0,0,0,0,0,0,0
-9951014.92540068,5323380.87239738,33,413,10077,RB,State,43.07491,-89.391488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.13636364,149.36363636,0,0,0,59.5,0,0,0,0,0,0,0,0,0
-9950801.97116142,5323343.99257273,34,349.72727273,10078,RB,State,43.074668,-89.389575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.31818182,124.40909091,0,0,0,4,0,0,0,0,0,0,0,0,0
-9950298.91850565,5323507.51446271,35,383.13636364,10081,RB,Capitol Square,43.075741,-89.385056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.77272727,160.40909091,0,0,0,55.95454545,0,0,0,0,0,0,0,0,0
