X,Y,OBJECTID,stop_id,stop_name,stop_lat,stop_lon,Notes,LPA
-9950052.1973767,5332983.74497455,146,0,,43.13788223,-89.38283363,,2
-9951626.34016954,5332508.9584344,147,0,,43.13476987,-89.39697439,,2
-9946584.21690211,5328234.31907222,148,0,EB COMMERCIAL ns NORTH,43.10674135,-89.35168025,,2
-9946293.99530249,5327343.25217706,149,0,,43.10089706,-89.34907314,,2
-9952074.32537924,5322235.56056408,150,0,SB PARK fs REGENT,43.06738624,-89.40099872,,2
-9952373.73639357,5317845.93930497,151,0,EB BADGER fs FISH HATCHERY,43.03857192,-89.40368838,,2
-9952938.98434054,5316809.08022356,152,0,NB FISH HATCHERY fs GREENWAY,43.0317638,-89.40876608,,2
-9953409.77616384,5315964.85623902,153,0,SB FISH HATCHERY fs GREENWAY,43.02621999,-89.41299528,,2
-9955127.02514204,5314308.6873789,154,0,NB TRIVERTON PIKE ns MCKEE,43.01534287,-89.42842158,,2
-9953907.74198938,5315205.38441753,155,0,NB FISH HATCHERY fs HIGH RIDGE,43.02123229,-89.41746858,,2
-9953930.50642054,5315181.81526539,156,0,SB FISH HATCHERY fs HIGH RIDGE,43.0210775,-89.41767308,,2
-9954573.92207166,5314750.60979512,157,0,WB CAHILL ns CADDIS BEND,43.01824545,-89.42345298,,2
-9954538.08100808,5314757.86236549,158,0,EB CAHILL fs CADDIS BEND,43.01829308,-89.42313101,,2
-9952046.65187381,5321652.36338748,159,0,PARK at WASHINGTON,43.0635588,-89.40075012,,2
-9951325.49715182,5318021.67020611,160,,EB HUGHES ns PARK,43.03844928,-89.39458415,,2
-9947340.3464377,5331604.2983145,161,,NORTHPORT at DRYDEN,,,,
-9951290.81375923,5319320.00378734,162,,PARK at PLAENERT,,,,
