X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,sign_type,jurisdiction_id,relative_position,cardinal_direction,primary_street,address_range,cross_location,PK_OP_WE,start_date,end_date
-9949696.04787524,5317822.54962029,2161,933,3500,E Badger at Rimrock,This stop (#3500) is westbound on the 398 block of E Badger after Rimrock,43.038416,-89.379635,1,,0,,,0,1,CFIT,1,270,E Badger,398,Rimrock,111,20250817,20250817
-9949135.88879346,5317364.12188711,2162,934,3513,Moorland at Badger,This stop (#3513) is eastbound on the 699 block of Moorland before Badger,43.035406,-89.374603,1,,0,,,1,1,CMAD,3,90,Moorland,699,Badger,111,20250817,20250817
-9939744.74801128,5318909.78470636,2163,935,3517,Agriculture at Tradewinds,This stop (#3517) is northbound on the 3601 block of Agriculture before Tradewinds,43.045554,-89.290241,1,,0,,,1,1,CMAD,3,0,Agriculture,3601,Tradewinds,111,20250817,20250817
-9947304.0153527,5316985.51897494,2164,936,3518,Moorland at Manor,This stop (#3518) is westbound on the 1500 block of Moorland before Manor,43.03292,-89.358147,1,,0,,,1,1,CMAD,3,270,Moorland,1500,Manor,111,20250817,20250817
-9949685.25059664,5317443.4687128,2165,937,3527,Rimrock at Moorland,This stop (#3527) is northbound on the 2601 block of Rimrock after Moorland,43.035927,-89.379538,1,,0,,,1,1,CMAD,1,0,Rimrock,2601,Moorland,100,20250817,20250817
-9952337.32634746,5317834.42573654,2166,938,0353,W Badger at Fish Hatchery,This stop (#0353) is eastbound on the 1121 block of W Badger after Fish Hatchery,43.038494,-89.403362,1,,0,,,1,1,CMAD,1,90,W Badger,1121,Fish Hatchery,111,20250817,20250817
-9941054.53267075,5319482.84090832,2167,940,3546,Dutch Mill at Ellestad,This stop (#3546) is westbound on the 4700 block of Dutch Mill after Ellestad,43.049316,-89.302007,1,,0,,,1,1,CMAD,1,270,Dutch Mill,4700,Ellestad,111,20250817,20250817
-9945342.7796642,5321608.26940747,2168,941,3550,Nichols at Monona Center,This stop (#3550) is westbound on the 1001 block of Nichols adjacent Monona Center,43.063267,-89.340529,1,,0,,,0,1,CMON,2,270,Nichols,1001,Monona Center,110,20250817,20250817
-9949914.90422555,5316727.84090004,2169,945,3572,Rimrock at Maloney,This stop (#3572) is southbound on the 2998 block of Rimrock before Maloney,43.031228,-89.381601,1,,0,,,0,1,CFIT,3,180,Rimrock,2998,Maloney,100,20250817,20250817
-9948213.16177732,5317091.05661894,2170,946,3588,Moorland at Wayland,This stop (#3588) is westbound on the 1100 block of Moorland after Wayland,43.033613,-89.366314,1,,0,,,1,1,CMAD,1,270,Moorland,1100,Wayland,111,20250817,20250817
-9939930.98956578,5316357.65023446,2171,947,F392,Brandenburg at Freese,This flag stop (#F392) is westbound on the 5198 block of Brandenburg after Freese,43.028797,-89.291914,1,,0,,,0,0,CMAD,1,270,Brandenburg,5198,Freese,100,20250817,20250817
-9951611.40713252,5320213.7458588,2172,948,0360,S Park at W Olin,This stop (#0360) is southbound on the 1198 block of S Park before W Olin,43.054114,-89.396841,1,,0,,,1,1,CMAD,3,180,S Park,1198,W Olin,111,20250817,20250817
-9950310.1988289,5317285.68700445,2173,949,3600,Pheasant Ridge at Deer Valley,This stop (#3600) is southbound on the 2698 block of Pheasant Ridge before Deer Valley,43.034891,-89.385152,1,,0,,,1,1,CFIT,3,180,Pheasant Ridge,2698,Deer Valley,111,20250817,20250817
-9946544.25567845,5319121.5066813,2174,950,3615,W Broadway at Frazier,This stop (#3615) is eastbound on the 2301 block of W Broadway after Frazier,43.046944,-89.351322,1,,0,,,1,1,CMON,1,90,W Broadway,2301,Frazier,111,20250817,20250817
-9939377.72877503,5318137.38536998,2175,951,F320,Marsh at Voges,This flag stop (#F320) is southbound on the 4000 block of Marsh after Voges,43.040483,-89.286944,1,,0,,,0,0,CMAD,1,180,Marsh,4000,Voges,100,20250817,20250817
-9946654.12805881,5319133.84490276,2176,952,3630,W Broadway at Frazier,This stop (#3630) is westbound on the 2500 block of W Broadway after Frazier,43.047025,-89.352309,1,,0,,,1,1,CMAD,1,270,W Broadway,2500,Frazier,111,20250817,20250817
