des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
1-JUNCTION,False,260,43.07292146684473,-89.46416384844522,1,1232596,22694,354,HALF_EMPTY,R,15,2025-09-30,52680,111E,1232596,20250930 15:02,1911,,2025-09-30T15:02:48.436852
CAPITOL SQUARE,False,90,43.075170793909756,-89.44356613111256,1,1232542,34830,363,EMPTY,R,24,2025-09-30,52980,115E,1232542,20250930 15:02,123,,2025-09-30T15:02:48.436857
2-SOUTH RIDGE,False,1,43.113065000000006,-89.47202833333334,1,1232579,52305,478,EMPTY,R,0,2025-09-30,50880,113D,1232579,20250930 15:02,152,,2025-09-30T15:02:48.436858
WHITNEY,False,226,43.08142,-89.36516,1,1227572,0,1294,EMPTY,38,0,2025-09-30,54120,11438,1227572,20250930 15:02,986,,2025-09-30T15:02:50.747739
WHITNEY,False,274,43.076561918756184,-89.42370477001701,1,1227571,64919,1301,EMPTY,38,20,2025-09-30,50700,11138,1227571,20250930 15:02,2207,,2025-09-30T15:02:50.747742
MONONA/DUTCH MILL,False,89,43.076510000107206,-89.42402166437635,1,1227544,15849,506373,EMPTY,38,1,2025-09-30,53280,11238,1227544,20250930 15:02,1909,,2025-09-30T15:02:50.747743
MONONA/DUTCH MILL,True,120,43.04754666666666,-89.304205,1,1227542,81177,506373,EMPTY,38,0,2025-09-30,49740,11338,1227542,20250930 15:02,119,,2025-09-30T15:02:50.747744
WEST MAIN,False,248,43.18055244366905,-89.23127393077905,1,1232970,23570,394,EMPTY,W,30,2025-09-30,53400,112S,1232970,20250930 15:02,2006,,2025-09-30T15:02:53.033490
1-SPRECHER,False,42,43.061103541886204,-89.42281142276424,1,1230107,36553,506006,EMPTY,D,16,2025-09-30,52800,114E,1230107,20250930 15:02,135,,2025-09-30T15:02:55.344794
1-SPRECHER,False,111,43.1002167291606,-89.34872061910804,1,1230147,63256,506006,EMPTY,D,16,2025-09-30,51000,113C,1230147,20250930 15:02,2013,,2025-09-30T15:02:55.344799
1-SPRECHER,True,165,43.08557166666666,-89.26452166666668,1,1230106,92704,506006,EMPTY,D,5,2025-09-30,49200,115D,1230106,20250930 15:02,2009,,2025-09-30T15:02:55.344800
1-JUNCTION,False,224,43.10148732164339,-89.35284945347992,1,1230213,31849,506009,EMPTY,D,20,2025-09-30,52980,114D,1230213,20250930 15:02,134,,2025-09-30T15:02:55.344800
1-JUNCTION,False,226,43.054778311941035,-89.4327105606577,1,1230187,59855,506009,HALF_EMPTY,D,15,2025-09-30,51240,112D,1230187,20250930 15:02,2014,,2025-09-30T15:02:55.344801
1-JUNCTION,False,280,43.057525000000005,-89.52811833333332,1,1230211,92410,506009,EMPTY,D,0,2025-09-30,49440,115C,1230211,20250930 15:02,106,,2025-09-30T15:02:55.344801
2-AIRPORT,False,27,43.02391473158621,-89.47098667462306,1,1230124,39712,506338,EMPTY,D,0,2025-09-30,52740,122D,1230124,20250930 15:02,1903,,2025-09-30T15:02:55.344802
2-AIRPORT,False,48,43.076835613876526,-89.38696640464069,1,1230148,75011,506338,EMPTY,D,15,2025-09-30,50940,123D,1230148,20250930 15:02,1908,,2025-09-30T15:02:55.344803
2-AIRPORT,False,7,43.137238333333336,-89.34652833333332,1,1230123,108187,506338,EMPTY,D,0,2025-09-30,49140,126D,1230123,20250930 15:02,2206,,2025-09-30T15:02:55.344803
2-EPIC CAMPUS,False,2,43.13734833333333,-89.34654166666665,1,1230214,0,506350,EMPTY,D,0,2025-09-30,54240,181D,1230214,20250930 15:02,117,,2025-09-30T15:02:55.344804
2-EPIC CAMPUS,False,271,43.07326666666666,-89.40354,1,1230171,39453,506350,EMPTY,D,0,2025-09-30,52440,121D,1230171,20250930 15:02,113,,2025-09-30T15:02:55.344804
2-EPIC CAMPUS,False,216,43.02690250623826,-89.46013768183184,1,1230212,65626,506350,EMPTY,D,0,2025-09-30,50700,124D,1230212,20250930 15:02,1907,,2025-09-30T15:02:55.344805
2-EPIC CAMPUS,False,76,42.996875,-89.56386666666667,1,1230170,110206,506350,EMPTY,D,0,2025-09-30,48900,125D,1230170,20250930 15:02,2211,,2025-09-30T15:02:55.344806
JUNCTION,False,240,43.10306318486899,-89.34483071729976,1,1228630,35357,387,EMPTY,A,37,2025-09-30,52980,122A,1228630,20250930 15:02,2310,,2025-09-30T15:02:57.638019
JUNCTION,False,268,43.075371632874855,-89.45675032595592,1,1228626,70107,387,HALF_EMPTY,A,0,2025-09-30,51180,120A,1228626,20250930 15:02,2356,,2025-09-30T15:02:57.638023
2-AMERICAN CENTER,False,84,43.07195378010232,-89.39861981255746,1,1228573,40717,414,EMPTY,A,0,2025-09-30,52680,115A,1228573,20250930 15:02,2339,,2025-09-30T15:02:57.638024
2-AMERICAN CENTER,False,118,43.120911890470076,-89.32390772815121,1,1228572,70511,414,HALF_EMPTY,A,9,2025-09-30,50880,127A,1228572,20250930 15:02,2325,,2025-09-30T15:02:57.638025
1-SUN PRAIRIE VIA HIGH CROSSING,False,89,43.060748855739334,-89.48362428779386,1,1228546,13230,421,EMPTY,A,37,2025-09-30,53520,118A,1228546,20250930 15:02,2317,,2025-09-30T15:02:57.638025
1-SUN PRAIRIE VIA HIGH CROSSING,False,44,43.08107036586354,-89.37495424343548,1,1228529,49405,421,HALF_EMPTY,A,9,2025-09-30,51780,126A,1228529,20250930 15:02,2320,,2025-09-30T15:02:57.638026
1-SUN PRAIRIE VIA HIGH CROSSING,False,28,43.14291278547322,-89.28381660837405,1,1228545,85529,421,EMPTY,A,0,2025-09-30,49980,111A,1228545,20250930 15:02,2315,,2025-09-30T15:02:57.638027
JUNCTION VIA HIGH CROSSING,False,219,43.1420924259513,-89.28544630437243,1,1228595,12598,469,EMPTY,A,35,2025-09-30,53880,113A,1228595,20250930 15:02,2342,,2025-09-30T15:02:57.638027
JUNCTION VIA HIGH CROSSING,False,235,43.091981213805205,-89.35974768375773,1,1228612,42565,469,HALF_EMPTY,A,0,2025-09-30,52080,119A,1228612,20250930 15:02,2338,,2025-09-30T15:02:57.638028
