des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
2-BUCKEYE,False,74,43.07337199803683,-89.38184523355429,1,1229707,18898,327,HALF_EMPTY,C,0,2025-09-26,63300,111D,1229707,20250926 17:59,114,,2025-09-26T17:59:21.078607
U.W. HOSPITAL,False,268,43.08376702909704,-89.32478873806411,1,1229779,18909,331,EMPTY,C,5,2025-09-26,63960,119C,1229779,20250926 17:59,2207,,2025-09-26T17:59:21.078615
1-SPRECHER,False,83,43.07318354202739,-89.41788749691557,1,1229693,7710,349,EMPTY,C,15,2025-09-26,64200,116C,1229693,20250926 17:59,116,,2025-09-26T17:59:21.078616
1-SPRECHER,False,114,43.090192788323805,-89.33147729243527,1,1229741,36295,349,EMPTY,C,31,2025-09-26,62400,120C,1229741,20250926 17:59,998,,2025-09-26T17:59:21.078617
1-SPRECHER,False,52,43.08583,-89.26465166666667,1,1229727,56074,349,EMPTY,C,0,2025-09-26,61440,114C,1229727,20250926 17:59,123,,2025-09-26T17:59:21.078618
U.W. HOSPITAL,False,86,43.085715,-89.26457833333333,1,1229800,47,454,EMPTY,C,0,2025-09-26,65040,112C,1229800,20250926 17:59,122,,2025-09-26T17:59:21.078620
U.W. HOSPITAL,False,227,43.07478206672844,-89.37836584977886,1,1229762,35524,454,EMPTY,C,0,2025-09-26,63240,118C,1229762,20250926 17:59,1911,,2025-09-26T17:59:21.078621
U.W. HOSPITAL,False,316,43.07316084189497,-89.39125123242445,1,1229812,40200,454,EMPTY,C,13,2025-09-26,62340,117C,1229812,20250926 17:59,147,,2025-09-26T17:59:21.078622
EPIC CAMPUS,False,269,43.01566557357645,-89.44116746355662,1,1227765,30844,1252,EMPTY,75,40,2025-09-26,63480,18375,1227765,20250926 17:59,2340,,2025-09-26T17:59:23.341463
CAPITOL SQUARE,False,109,43.01570159028256,-89.42554761286614,1,1227743,47224,1274,HALF_EMPTY,75,0,2025-09-26,63300,18275,1227743,20250926 17:59,1910,,2025-09-26T17:59:23.341471
CAPITOL SQUARE,False,42,43.07009374949041,-89.39066546959242,1,1227742,70878,1274,EMPTY,75,8,2025-09-26,62400,18675,1227742,20250926 17:59,2215,,2025-09-26T17:59:23.341473
FITCHBURG-CADDIS,False,1,43.138713567320664,-89.39779063143907,1,1229161,8030,1278,EMPTY,B,22,2025-09-26,64440,157B,1229161,20250926 17:59,2347,,2025-09-26T17:59:25.618898
FITCHBURG-CADDIS,False,220,43.099951755944545,-89.34917714190216,1,1229159,32884,1278,EMPTY,B,0,2025-09-26,63480,156B,1229159,20250926 17:59,2359,,2025-09-26T17:59:25.618904
FITCHBURG-CADDIS,False,271,43.07328047615416,-89.40027507608092,1,1229163,50747,1278,EMPTY,B,0,2025-09-26,62580,162B,1229163,20250926 17:59,2320,,2025-09-26T17:59:25.618905
FITCHBURG-CADDIS,False,271,43.03850665603334,-89.39570483694575,1,1229127,65031,1278,EMPTY,B,25,2025-09-26,61680,155B,1229127,20250926 17:59,2342,,2025-09-26T17:59:25.618906
FITCHBURG-CADDIS,False,54,43.019416666666665,-89.42123833333332,1,1229156,76998,1278,EMPTY,B,0,2025-09-26,60780,161B,1229156,20250926 17:59,2343,,2025-09-26T17:59:25.618907
