des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
NORTHPORT,False,125,43.01944707214443,-89.4197552111335,1,1229096,497,506303,EMPTY,B,0,2025-09-24,64500,154B,1229096,20250924 17:56,2307,,2025-09-24T17:56:29.796200
NORTHPORT,False,18,43.06511382363099,-89.40064402998058,1,1229063,22380,506303,EMPTY,B,35,2025-09-24,63480,160B,1229063,20250924 17:56,2337,,2025-09-24T17:56:29.796209
NORTHPORT,False,20,43.07456,-89.38033,1,1229095,31667,506303,EMPTY,B,0,2025-09-24,62460,159B,1229095,20250924 17:56,2304,,2025-09-24T17:56:29.796211
NORTHPORT,False,355,43.123622613892536,-89.3550047991236,1,1229062,54538,506303,EMPTY,B,32,2025-09-24,61560,158B,1229062,20250924 17:56,2341,,2025-09-24T17:56:29.796212
FITCHBURG-CADDIS,False,270,43.13376000002083,-89.38750662849256,1,1229161,3823,506304,EMPTY,B,26,2025-09-24,64440,157B,1229161,20250924 17:56,2328,,2025-09-24T17:56:29.796214
FITCHBURG-CADDIS,False,177,43.12051956175763,-89.35522723087615,1,1229159,24202,506304,EMPTY,B,31,2025-09-24,63480,156B,1229159,20250924 17:56,2330,,2025-09-24T17:56:29.796216
FITCHBURG-CADDIS,False,224,43.07431,-89.39239,1,1229163,48548,506304,EMPTY,B,0,2025-09-24,62580,162B,1229163,20250924 17:56,2354,,2025-09-24T17:56:29.796218
FITCHBURG-CADDIS,False,161,43.06487064644841,-89.4008966972427,1,1229127,53965,506304,HALF_EMPTY,B,20,2025-09-24,61680,155B,1229127,20250924 17:56,2312,,2025-09-24T17:56:29.796219
FITCHBURG-CADDIS,False,53,43.019458333333326,-89.42112833333334,1,1229156,76956,506304,EMPTY,B,0,2025-09-24,60780,161B,1229156,20250924 17:56,2343,,2025-09-24T17:56:29.796221
JUNCTION,False,276,43.1201937689548,-89.32923168688026,1,1228644,27028,505924,EMPTY,A,0,2025-09-24,63780,122A,1228644,20250924 17:56,2344,,2025-09-24T17:56:32.240478
JUNCTION,False,271,43.07330029176563,-89.40211703149262,1,1228627,55254,505924,HALF_EMPTY,A,24,2025-09-24,61980,120A,1228627,20250924 17:56,2314,,2025-09-24T17:56:32.240482
JUNCTION,False,266,43.060422783301064,-89.52783495417768,1,1228623,93405,505924,EMPTY,A,24,2025-09-24,60180,125A,1228623,20250924 17:56,2333,,2025-09-24T17:56:32.240483
