des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,249,43.07675098841938,-89.4253663186785,1,1227975,7931,369,EMPTY,80,15,2025-11-06,63120,7480,1227975,20251106 17:41,131,,2025-11-06T17:42:03.613944,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,350,43.08731833333333,-89.44220166666668,1,1227974,16982,369,EMPTY,80,6,2025-11-06,62160,7380,1227974,20251106 17:41,2320,,2025-11-06T17:42:11.597744,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,270,43.07649610012615,-89.4159116704963,1,1227953,5438,506364,FULL,80,15,2025-11-06,63540,1280,1227953,20251106 17:42,124,,2025-11-06T17:42:11.597744,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,321,43.086334516984316,-89.44145807343355,1,1227952,16524,506364,EMPTY,80,17,2025-11-06,62640,1180,1227952,20251106 17:41,102,,2025-11-06T17:42:11.597744,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,89,43.07651520015277,-89.42164333238311,1,1227951,28918,506364,EMPTY,80,5,2025-11-06,61680,4284,1227951,20251106 17:42,995,,2025-11-06T17:42:11.597744,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,180,43.07115696028715,-89.40409,1,1227950,36889,506364,FULL,80,9,2025-11-06,61200,1380,1227950,20251106 17:41,115,,2025-11-06T17:42:11.597744,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,274,43.07590833333334,-89.40042166666666,1,1227949,41229,506364,EMPTY,80,0,2025-11-06,60780,7580,1227949,20251106 17:41,2356,,2025-11-06T17:42:11.597744,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,87,43.09674828407341,-89.51540099509799,1,1230732,26332,433,EMPTY,F,26,2025-11-06,62100,123A,1230732,20251106 17:42,2351,,2025-11-06T17:42:13.893698,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,291,43.073076311352885,-89.46721781437866,1,1230768,23355,486,HALF_EMPTY,F,0,2025-11-06,62400,114A,1230768,20251106 17:42,2306,,2025-11-06T17:42:13.893698,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,165,43.09546258153223,-89.52371603980532,1,1230767,57242,486,EMPTY,F,0,2025-11-06,60600,124A,1230767,20251106 17:42,2362,,2025-11-06T17:42:13.893698,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,86,43.07648212239652,-89.42096393858618,1,1228516,22254,462,EMPTY,84,0,2025-11-06,62040,4184,1228516,20251106 17:42,985,,2025-11-06T17:42:16.230645,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,114,43.06974667687239,-89.39024751625682,1,1227734,13188,489,HALF_EMPTY,65,15,2025-11-06,61980,18165,1227734,20251106 17:42,141,,2025-11-06T17:42:18.523476,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,320,43.07521195303772,-89.41250111305014,1,1227727,50511,501,EMPTY,65,3,2025-11-06,61260,18265,1227727,20251106 17:42,139,,2025-11-06T17:42:18.523476,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
2-BUCKEYE,False,110,43.07282601385436,-89.43173592495675,1,1229707,3932,327,EMPTY,C,25,2025-11-06,63300,111D,1229707,20251106 17:42,123,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,229,43.076514461899365,-89.27694595845246,1,1229779,1152,331,EMPTY,C,0,2025-11-06,63960,119C,1229779,20251106 17:42,1915,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,False,44,43.07400866639187,-89.38104034999951,1,1229741,19166,349,HALF_EMPTY,C,15,2025-11-06,62400,120C,1229741,20251106 17:42,118,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,False,68,43.09204579061878,-89.35447495802268,1,1229727,29630,349,HALF_EMPTY,C,21,2025-11-06,61440,114C,1229727,20251106 17:42,135,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,False,86,43.08488630685809,-89.26684570151887,1,1229692,54998,349,EMPTY,C,0,2025-11-06,60540,112C,1229692,20251106 17:42,2005,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,268,43.08438305484685,-89.30281655618379,1,1229762,10393,454,EMPTY,C,0,2025-11-06,63240,118C,1229762,20251106 17:42,2207,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,254,43.07733142260584,-89.37241908278791,1,1229812,33628,454,EMPTY,C,0,2025-11-06,62340,117C,1229812,20251106 17:42,1906,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,270,43.07351700028472,-89.4145016829536,1,1229799,46651,454,FULL,C,15,2025-11-06,61380,111C,1229799,20251106 17:42,106,,2025-11-06T17:42:20.794566,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG-CADDIS,False,180,43.13378713571191,-89.38929985287349,1,1229159,4336,1278,EMPTY,B,26,2025-11-06,63480,156B,1229159,20251106 17:42,2352,,2025-11-06T17:42:23.120241,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
