des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
EPIC CAMPUS,False,183,43.03885405352316,-89.40404250431422,1,1227762,16167,1252,EMPTY,75,0,2025-11-06,57480,18275,1227762,20251106 16:14,111,,2025-11-06T16:14:59.299939,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST MAIN,False,22,43.15676499999999,-89.26728166666665,1,1232972,43671,394,EMPTY,W,0,2025-11-06,57000,111S,1232972,20251106 16:15,1904,,2025-11-06T16:15:10.435501,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
BROOKS,False,0,43.07055423374154,-89.42863,1,1231773,29946,506535,EMPTY,J,20,2025-11-06,57000,119G,1231773,20251106 16:15,2201,,2025-11-06T16:15:12.726668,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,177,43.07552162980173,-89.42898712589057,1,1231820,13024,506536,HALF_EMPTY,J,11,2025-11-06,57900,118G,1231820,20251106 16:14,2004,,2025-11-06T16:15:12.726668,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,229,43.06518854201647,-89.5051642719515,1,1231804,45089,506536,EMPTY,J,28,2025-11-06,56100,116G,1231804,20251106 16:15,2007,,2025-11-06T16:15:12.726668,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION,False,103,42.996755,-89.56290666666668,1,1227606,237,504,EMPTY,55,0,2025-11-06,58500,18175,1227606,20251106 16:15,1905,,2025-11-06T16:15:15.049503,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
SOUTH TRANSFER,False,216,43.03024246421355,-89.42474899217846,1,1231425,42234,350,HALF_EMPTY,H,20,2025-11-06,56880,112G,1231425,20251106 16:15,130,,2025-11-06T16:15:17.363386,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,20,43.02864439900476,-89.42558124049444,1,1231463,12648,400,EMPTY,H,22,2025-11-06,57900,121G,1231463,20251106 16:15,2013,,2025-11-06T16:15:17.363386,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
DOWNTOWN S.P.,False,23,43.156884999999996,-89.26722333333333,1,1232887,67682,436,EMPTY,S,0,2025-11-06,55500,112S,1232887,20251106 16:15,2214,,2025-11-06T16:15:19.656030,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,89,43.07648829425135,-89.41664839751915,1,1227729,4549,489,EMPTY,65,17,2025-11-06,58200,18265,1227729,20251106 16:15,139,,2025-11-06T16:15:21.924264,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,194,43.038256507895525,-89.37908346288478,1,1227728,27402,489,HALF_EMPTY,65,30,2025-11-06,56400,18165,1227728,20251106 16:15,141,,2025-11-06T16:15:21.924264,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
2-EPIC CAMPUS,False,281,43.00217462320097,-89.49922511542192,1,1230214,86892,1302,EMPTY,D,9,2025-11-06,54240,181D,1230214,20251106 16:15,143,,2025-11-06T16:15:24.213460,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-SPRECHER,False,180,43.04742546044787,-89.5032654,1,1230151,9367,506006,EMPTY,D,25,2025-11-06,58020,114D,1230151,20251106 16:15,101,,2025-11-06T16:15:24.213460,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
