des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,92,43.075901666666674,-89.400425,1,1228457,73,335,EMPTY,82,0,2025-11-15,71400,6182,1228457,20251115 19:45,996,,2025-11-15T19:46:09.098298,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-SPRECHER,False,44,43.102422680180105,-89.35139703681483,1,1230241,61850,392,EMPTY,D,22,2025-11-15,68700,211D,1230241,20251115 19:46,153,,2025-11-15T19:46:11.383995,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-VERONA,False,165,43.02915113030211,-89.45629964893989,1,1230277,61781,435,EMPTY,D,0,2025-11-15,68460,221D,1230277,20251115 19:45,142,,2025-11-15T19:46:11.383995,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-JUNCTION,False,239,43.089689933950474,-89.36916240390705,1,1230294,37848,448,EMPTY,D,26,2025-11-15,69900,212D,1230294,20251115 19:46,132,,2025-11-15T19:46:11.383995,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
1-JUNCTION,False,180,43.057651666666665,-89.52812166666666,1,1230293,92156,448,EMPTY,D,0,2025-11-15,66120,213D,1230293,20251115 19:46,150,,2025-11-15T19:46:11.383995,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-AIRPORT,False,345,43.02920476647602,-89.45632047259362,1,1230258,39867,1297,EMPTY,D,15,2025-11-15,69780,222D,1230258,20251115 19:46,123,,2025-11-15T19:46:11.383995,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
2-AIRPORT,True,18,43.13732333333334,-89.34654833333335,1,1230257,101384,1297,EMPTY,D,0,2025-11-15,66180,223D,1230257,20251115 19:46,133,,2025-11-15T19:46:11.383995,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,336,43.08091867245367,-89.38169342513865,1,1228385,6441,444,EMPTY,81,96,2025-11-15,70500,6181,1228385,20251115 19:46,998,,2025-11-15T19:46:13.663599,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MCKEE,False,269,43.06814879555857,-89.44927328074958,1,1230605,22666,467,EMPTY,E,26,2025-11-15,69960,211E,1230605,20251115 19:46,121,,2025-11-15T19:46:15.970652,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
CAPITOL SQUARE,False,94,43.06785110374499,-89.42796101053952,1,1230588,47215,479,EMPTY,E,0,2025-11-15,69600,212E,1230588,20251115 19:46,2011,,2025-11-15T19:46:15.970652,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
