des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
WEST MAIN,False,243,43.17166769022188,-89.24795109742497,1,1232970,29877,394,EMPTY,W,42,2025-09-30,53400,112S,1232970,20250930 15:07,2006,,2025-09-30T15:07:54.511641
1-SPRECHER,False,216,43.05752166666666,-89.52811166666667,1,1230149,109,506006,EMPTY,D,0,2025-09-30,54540,115C,1230149,20250930 15:07,106,,2025-09-30T15:07:56.799956
1-SPRECHER,False,91,43.071062885138836,-89.40712407412906,1,1230107,42362,506006,HALF_EMPTY,D,0,2025-09-30,52800,114E,1230107,20250930 15:07,135,,2025-09-30T15:07:56.799961
1-SPRECHER,False,91,43.098195689320995,-89.31885997915683,1,1230147,70915,506006,EMPTY,D,20,2025-09-30,51000,113C,1230147,20250930 15:07,2013,,2025-09-30T15:07:56.799962
1-SPRECHER,True,167,43.08552666666666,-89.264515,1,1230106,92704,506006,EMPTY,D,0,2025-09-30,49200,115D,1230106,20250930 15:07,2009,,2025-09-30T15:07:56.799962
1-JUNCTION,False,230,43.08780118059975,-89.37338925941108,1,1230213,39221,506009,EMPTY,D,0,2025-09-30,52980,114D,1230213,20250930 15:07,134,,2025-09-30T15:07:56.799963
1-JUNCTION,False,279,43.053732574693534,-89.45154358819171,1,1230187,66502,506009,EMPTY,D,0,2025-09-30,51240,112D,1230187,20250930 15:07,2014,,2025-09-30T15:07:56.799964
2-AIRPORT,False,76,42.99688,-89.56385833333334,1,1230150,8,506338,EMPTY,D,0,2025-09-30,54480,125D,1230150,20250930 15:07,2211,,2025-09-30T15:07:56.799964
2-AIRPORT,False,73,43.02675614441662,-89.46181719015068,1,1230124,43745,506338,EMPTY,D,16,2025-09-30,52740,122D,1230124,20250930 15:07,1903,,2025-09-30T15:07:56.799965
2-AIRPORT,False,46,43.089486141285754,-89.36905110324469,1,1230148,81654,506338,EMPTY,D,23,2025-09-30,50940,123D,1230148,20250930 15:07,1908,,2025-09-30T15:07:56.799965
2-AIRPORT,False,7,43.13744,-89.34652166666667,1,1230123,108209,506338,EMPTY,D,0,2025-09-30,49140,126D,1230123,20250930 15:07,2206,,2025-09-30T15:07:56.799966
2-EPIC CAMPUS,False,296,43.12897728142071,-89.35513583339014,1,1230214,6326,506350,EMPTY,D,9,2025-09-30,54240,181D,1230214,20250930 15:07,117,,2025-09-30T15:07:56.799967
2-EPIC CAMPUS,False,230,43.06981333333333,-89.40930166666666,1,1230171,42292,506350,EMPTY,D,0,2025-09-30,52440,121D,1230171,20250930 15:07,113,,2025-09-30T15:07:56.799967
2-EPIC CAMPUS,False,240,43.01902146434726,-89.47384273933582,1,1230212,72197,506350,EMPTY,D,15,2025-09-30,50700,124D,1230212,20250930 15:07,1907,,2025-09-30T15:07:56.799968
U.W. HOSPITAL,False,220,43.085996175364095,-89.36059974391489,1,1229776,31423,331,EMPTY,C,20,2025-09-30,53040,111C,1229776,20250930 15:07,153,,2025-09-30T15:07:59.107097
U.W. HOSPITAL,False,267,43.084095335113005,-89.30964295549546,1,1229797,12222,454,EMPTY,C,15,2025-09-30,54120,117C,1229797,20250930 15:07,2205,,2025-09-30T15:07:59.107101
U.W. HOSPITAL,False,270,43.07344578824667,-89.40475485474825,1,1229759,44042,454,HALF_EMPTY,C,12,2025-09-30,52320,116C,1229759,20250930 15:07,2215,,2025-09-30T15:07:59.107102
2-BUCKEYE,False,31,43.081184478299306,-89.36528117990349,1,1229704,24753,506376,HALF_EMPTY,C,0,2025-09-30,52560,112C,1229704,20250930 15:07,1902,,2025-09-30T15:07:59.107103
1-SPRECHER,False,321,43.07804800348659,-89.42937847665489,1,1229725,293,506377,EMPTY,C,22,2025-09-30,54360,120C,1229725,20250930 15:07,988,,2025-09-30T15:07:59.107103
1-SPRECHER,False,45,43.0694718834452,-89.3857106880329,1,1229690,17544,506377,EMPTY,C,19,2025-09-30,53460,114C,1229690,20250930 15:07,126,,2025-09-30T15:07:59.107104
1-SPRECHER,False,136,43.089234999999995,-89.32928166666667,1,1229738,37500,506377,EMPTY,C,13,2025-09-30,51660,119C,1229738,20250930 15:07,130,,2025-09-30T15:07:59.107104
1-SPRECHER,False,86,43.08570833333333,-89.26458833333332,1,1229724,56544,506377,EMPTY,C,0,2025-09-30,50760,118C,1229724,20250930 15:07,133,,2025-09-30T15:07:59.107105
CAPITOL SQUARE,False,33,43.06862114195104,-89.45434292018341,1,1230520,36785,506369,EMPTY,E,0,2025-09-30,53280,117E,1230520,20250930 15:07,120,,2025-09-30T15:08:01.420379
MCKEE,False,274,43.06767357069431,-89.40112507303192,1,1230568,6254,506370,EMPTY,E,20,2025-09-30,53760,112E,1230568,20250930 15:07,2004,,2025-09-30T15:08:01.420383
MCKEE,False,270,43.03200530011941,-89.49157182523717,1,1230551,46885,506370,EMPTY,E,30,2025-09-30,51960,116E,1230551,20250930 15:07,100,,2025-09-30T15:08:01.420384
EAGLE HEIGHTS VIA U.W. CAMPUS,False,137,43.078174999999995,-89.42968666666665,1,1228509,10726,462,EMPTY,84,15,2025-09-30,53940,4284,1228509,20250930 15:07,995,,2025-09-30T15:08:03.728439
EAGLE HEIGHTS VIA U.W. CAMPUS,False,0,43.08029570521868,-89.4282180274566,1,1228508,26404,462,EMPTY,84,21,2025-09-30,53040,4184,1228508,20250930 15:07,989,,2025-09-30T15:08:03.728443
ERIN,False,184,43.07224715463392,-89.40409128867009,1,1232188,1190,505843,EMPTY,O,1,2025-09-30,54300,116G,1232188,20250930 15:08,2208,,2025-09-30T15:08:06.047233
SOUTH TRANSFER,False,177,43.041354417231624,-89.3789664407578,1,1232163,21111,506283,EMPTY,O,26,2025-09-30,53400,123G,1232163,20250930 15:07,104,,2025-09-30T15:08:06.047237
MEMORIAL UNION,False,271,43.07591666666667,-89.40035000000002,1,1227926,55,505854,EMPTY,80,0,2025-09-30,54540,1180,1227926,20250930 15:08,154,,2025-09-30T15:08:08.345501
MEMORIAL UNION,False,270,43.0751200001266,-89.40761667099464,1,1227925,2732,505854,EMPTY,80,0,2025-09-30,54240,7180,1227925,20250930 15:08,151,,2025-09-30T15:08:08.345505
MEMORIAL UNION,False,291,43.076783548762826,-89.42503484029847,1,1227924,7863,505854,EMPTY,80,16,2025-09-30,54000,7080,1227924,20250930 15:08,984,,2025-09-30T15:08:08.345506
MEMORIAL UNION,False,0,43.07805274690445,-89.42508,1,1227923,8337,505854,EMPTY,80,5,2025-09-30,53700,1380,1227923,20250930 15:08,148,,2025-09-30T15:08:08.345506
MEMORIAL UNION,False,89,43.07515000010444,-89.41212333083017,1,1227922,15538,505854,EMPTY,80,20,2025-09-30,53460,7280,1227922,20250930 15:08,2344,,2025-09-30T15:08:08.345507
MEMORIAL UNION,False,22,43.07236392931248,-89.40770874610828,1,1227921,19226,505854,EMPTY,80,24,2025-09-30,53160,7580,1227921,20250930 15:08,2324,,2025-09-30T15:08:08.345508
MEMORIAL UNION,False,4,43.07185839169776,-89.39747414201567,1,1227919,22676,505854,EMPTY,80,0,2025-09-30,52620,7480,1227919,20250930 15:07,132,,2025-09-30T15:08:08.345508
MEMORIAL UNION,False,1,43.07422762421721,-89.39738385393845,1,1227920,23498,505854,HALF_EMPTY,80,15,2025-09-30,52920,1280,1227920,20250930 15:07,020,,2025-09-30T15:08:08.345509
MEMORIAL UNION,False,292,43.075923333333336,-89.40023666666666,1,1227918,24890,505854,EMPTY,80,0,2025-09-30,52380,7380,1227918,20250930 15:08,2340,,2025-09-30T15:08:08.345510
FITCHBURG-CADDIS,False,183,43.133768483067364,-89.38359922003245,1,1229123,2815,1278,EMPTY,B,16,2025-09-30,54420,153B,1229123,20250930 15:08,2334,,2025-09-30T15:08:10.627975
FITCHBURG-CADDIS,False,121,43.133918020489865,-89.37139758119979,1,1229152,16929,1278,EMPTY,B,2,2025-09-30,53520,155B,1229152,20250930 15:08,2341,,2025-09-30T15:08:10.627979
FITCHBURG-CADDIS,False,317,43.07597627349416,-89.3837297879501,1,1229122,45859,1278,EMPTY,B,10,2025-09-30,52620,152B,1229122,20250930 15:07,2359,,2025-09-30T15:08:10.627979
FITCHBURG-CADDIS,False,155,43.05896352354026,-89.40059204134204,1,1229151,56116,1278,HALF_EMPTY,B,27,2025-09-30,51720,154B,1229151,20250930 15:08,2350,,2025-09-30T15:08:10.627980
FITCHBURG-CADDIS,False,215,43.037028306713445,-89.4051919696558,1,1229121,67959,1278,EMPTY,B,0,2025-09-30,50820,151B,1229121,20250930 15:08,2343,,2025-09-30T15:08:10.627981
NORTHPORT,False,30,43.02578566529584,-89.41316148445456,1,1229058,3591,1280,EMPTY,B,26,2025-09-30,54300,150B,1229058,20250930 15:08,2312,,2025-09-30T15:08:10.627981
NORTHPORT,False,352,43.060378778758604,-89.40056753091744,1,1229090,20735,1280,EMPTY,B,15,2025-09-30,53460,149B,1229090,20250930 15:08,2330,,2025-09-30T15:08:10.627982
NORTHPORT,False,46,43.077751157588516,-89.37966826785276,1,1229057,32560,1280,EMPTY,B,25,2025-09-30,52560,148B,1229057,20250930 15:08,2305,,2025-09-30T15:08:10.627983
NORTHPORT,False,0,43.106816257390335,-89.35124500255131,1,1229089,46741,1280,HALF_EMPTY,B,9,2025-09-30,51660,147B,1229089,20250930 15:08,2353,,2025-09-30T15:08:10.627983
EAST TOWNE VIA HAYES,False,319,43.128488333333344,-89.30878,1,1232356,45,431,EMPTY,P,0,2025-09-30,54480,111G,1232356,20250930 15:08,138,,2025-09-30T15:08:12.930713
1-JUNCTION,False,286,43.07524935753874,-89.48867398358469,1,1232596,29739,354,EMPTY,R,30,2025-09-30,52680,111E,1232596,20250930 15:08,1911,,2025-09-30T15:08:15.203822
CAPITOL SQUARE,False,91,43.07214191157332,-89.40414300299464,1,1232542,45635,363,EMPTY,R,20,2025-09-30,52980,115E,1232542,20250930 15:08,123,,2025-09-30T15:08:15.203825
CAPITOL SQUARE,False,1,43.113051666666664,-89.47202333333334,1,1232527,12,382,EMPTY,R,0,2025-09-30,54660,113D,1232527,20250930 15:08,152,,2025-09-30T15:08:15.203826
OWL CREEK,True,264,43.09837707350561,-89.31826609598723,1,1231994,50960,1239,EMPTY,L,0,2025-09-30,51720,111L,1231994,20250930 15:08,2203,,2025-09-30T15:08:17.501181
CHEROKEE,False,320,43.11175560583545,-89.31898580909903,1,1231979,43397,1265,EMPTY,L,36,2025-09-30,51720,112L,1231979,20250930 15:08,2212,,2025-09-30T15:08:17.501185
CAPITOL SQUARE VIA MIDDLETON,False,200,43.05768666666666,-89.527945,1,1230728,66,506312,EMPTY,F,0,2025-09-30,54540,117A,1230728,20250930 15:08,2358,,2025-09-30T15:08:19.814958
CAPITOL SQUARE VIA MIDDLETON,False,9,43.10591156418206,-89.51065989881872,1,1230727,30029,506312,EMPTY,F,24,2025-09-30,52920,123A,1230727,20250930 15:08,2303,,2025-09-30T15:08:19.814962
JUNCTION VIA MIDDLETON,False,276,43.07529608527367,-89.44391363205975,1,1230763,16210,506314,HALF_EMPTY,F,21,2025-09-30,53400,114A,1230763,20250930 15:08,2355,,2025-09-30T15:08:19.814962
JUNCTION VIA MIDDLETON,False,46,43.09359,-89.52554,1,1230762,58072,506314,EMPTY,F,11,2025-09-30,51600,124A,1230762,20250930 15:08,2326,,2025-09-30T15:08:19.814963
SOUTH TRANSFER,False,66,43.03349807741909,-89.45604089034273,1,1231423,30825,350,EMPTY,H,11,2025-09-30,53280,115G,1231423,20250930 15:08,147,,2025-09-30T15:08:22.114449
WEST TOWNE,False,271,43.038603345021016,-89.403270728371,1,1231461,2794,400,FULL,H,0,2025-09-30,54300,119G,1231461,20250930 15:08,1910,,2025-09-30T15:08:22.114453
WEST TOWNE,False,1,43.04973841080918,-89.5030465734585,1,1231460,49006,400,EMPTY,H,0,2025-09-30,52500,113G,1231460,20250930 15:08,146,,2025-09-30T15:08:22.114454
EAST TOWNE,False,136,43.03890351379677,-89.38443277111551,1,1231058,3150,373,EMPTY,G,0,2025-09-30,54300,117G,1231058,20250930 15:08,2015,,2025-09-30T15:08:24.416602
EAST TOWNE,False,0,43.07300167388118,-89.31413783034603,1,1231057,47412,373,EMPTY,G,20,2025-09-30,52500,122G,1231057,20250930 15:08,108,,2025-09-30T15:08:24.416605
SOUTH TRANSFER,False,270,43.10667000005013,-89.30489497376281,1,1231094,12833,505531,EMPTY,G,33,2025-09-30,53820,121G,1231094,20250930 15:08,118,,2025-09-30T15:08:24.416606
SOUTH TRANSFER,False,244,43.04701,-89.352,1,1231093,55907,505531,EMPTY,G,30,2025-09-30,52020,120G,1231093,20250930 15:08,2201,,2025-09-30T15:08:24.416607
WHITNEY,False,226,43.07437293925268,-89.378737152308,1,1227572,4661,1294,EMPTY,38,0,2025-09-30,54120,11438,1227572,20250930 15:08,986,,2025-09-30T15:08:26.730819
WHITNEY,False,284,43.051351267932596,-89.31684580593225,1,1227573,5595,1301,EMPTY,38,15,2025-09-30,54300,11338,1227573,20250930 15:08,119,,2025-09-30T15:08:26.730823
WHITNEY,False,286,43.07498143751875,-89.43909672956343,1,1227571,71264,1301,HALF_EMPTY,38,0,2025-09-30,50700,11138,1227571,20250930 15:08,2207,,2025-09-30T15:08:26.730824
MONONA/DUTCH MILL,False,176,43.073946555404724,-89.40622300949902,1,1227544,21537,506373,HALF_EMPTY,38,0,2025-09-30,53280,11238,1227544,20250930 15:08,1909,,2025-09-30T15:08:26.730824
SHERMAN,False,90,43.07518751597983,-89.44629434341601,1,1227449,7641,1288,EMPTY,28,20,2025-09-30,54180,11328,1227449,20250930 15:08,1912,,2025-09-30T15:08:29.011500
SHERMAN,False,311,43.09022694727328,-89.37011755861124,1,1227448,34966,1288,EMPTY,28,8,2025-09-30,52380,11128,1227448,20250930 15:08,114,,2025-09-30T15:08:29.011504
WHITNEY VIA SHERMAN,False,270,43.076472330062984,-89.41664112654381,1,1227478,26004,1298,EMPTY,28,5,2025-09-30,53100,11228,1227478,20250930 15:08,125,,2025-09-30T15:08:29.011505
JUNCTION,False,227,43.08712403909615,-89.36659426575487,1,1228630,43603,387,EMPTY,A,0,2025-09-30,52980,122A,1228630,20250930 15:08,2310,,2025-09-30T15:08:31.317956
JUNCTION,False,205,43.066455044954274,-89.46885294241623,1,1228626,76418,387,EMPTY,A,26,2025-09-30,51180,120A,1228626,20250930 15:08,2356,,2025-09-30T15:08:31.317960
2-AMERICAN CENTER,False,92,43.060526897622175,-89.51673448302347,1,1228574,4351,414,EMPTY,A,16,2025-09-30,54360,125A,1228574,20250930 15:08,2313,,2025-09-30T15:08:31.317961
2-AMERICAN CENTER,False,136,43.073958044201454,-89.38529522937863,1,1228573,44812,414,EMPTY,A,21,2025-09-30,52680,115A,1228573,20250930 15:08,2339,,2025-09-30T15:08:31.317961
2-AMERICAN CENTER,False,43,43.12820029647989,-89.30756137140874,1,1228572,76590,414,EMPTY,A,27,2025-09-30,50880,127A,1228572,20250930 15:08,2325,,2025-09-30T15:08:31.317962
1-SUN PRAIRIE VIA HIGH CROSSING,False,85,43.072983639562366,-89.46363182838239,1,1228546,22232,421,EMPTY,A,0,2025-09-30,53520,118A,1228546,20250930 15:08,2317,,2025-09-30T15:08:31.317963
1-SUN PRAIRIE VIA HIGH CROSSING,False,45,43.096451228475296,-89.3535980356166,1,1228529,57380,421,HALF_EMPTY,A,7,2025-09-30,51780,126A,1228529,20250930 15:08,2320,,2025-09-30T15:08:31.317964
1-SUN PRAIRIE VIA HIGH CROSSING,False,160,43.158966819888875,-89.26626402069306,1,1228545,94124,421,EMPTY,A,37,2025-09-30,49980,111A,1228545,20250930 15:08,2315,,2025-09-30T15:08:31.317964
JUNCTION VIA HIGH CROSSING,False,226,43.12999259079974,-89.30560567611315,1,1228595,20295,469,EMPTY,A,0,2025-09-30,53880,113A,1228595,20250930 15:08,2342,,2025-09-30T15:08:31.317965
JUNCTION VIA HIGH CROSSING,False,226,43.08095271602071,-89.37544406008492,1,1228612,48341,469,HALF_EMPTY,A,32,2025-09-30,52080,119A,1228612,20250930 15:08,2338,,2025-09-30T15:08:31.317965
WEST TOWNE,False,281,43.07332051703566,-89.43271476424087,1,1231819,8564,385,EMPTY,J,16,2025-09-30,54300,112G,1231819,20250930 15:08,136,,2025-09-30T15:08:33.606792
WEST TOWNE,False,1,43.058730055449395,-89.5027065852403,1,1231803,41462,385,EMPTY,J,31,2025-09-30,52500,114G,1231803,20250930 15:08,2210,,2025-09-30T15:08:33.606796
BROOKS,False,51,43.06100626684943,-89.43840292630541,1,1231772,25447,429,EMPTY,J,22,2025-09-30,53400,118G,1231772,20250930 15:08,101,,2025-09-30T15:08:33.606796
DOWNTOWN S.P.,False,269,43.15691833333334,-89.26722833333334,1,1232886,67686,436,EMPTY,S,0,2025-09-30,51900,111S,1232886,20250930 15:08,110,,2025-09-30T15:08:35.921104
