des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,271,43.074749168414364,-89.38810192687238,1,1228771,51381,387,EMPTY,A,3,2025-09-27,63600,217A,1228771,20250927 18:14,2323,,2025-09-27T18:14:50.709547
JUNCTION,False,217,43.06622919864154,-89.46908045794618,1,1228754,76521,387,EMPTY,A,31,2025-09-27,61860,215A,1228754,20250927 18:14,2350,,2025-09-27T18:14:50.709554
2-AMERICAN CENTER,False,171,43.05742,-89.52795333333333,1,1228708,244,414,EMPTY,A,0,2025-09-27,65760,218A,1228708,20250927 18:14,2320,,2025-09-27T18:14:50.709555
2-AMERICAN CENTER,False,46,43.07307294509273,-89.39236293623281,1,1228707,42542,414,HALF_EMPTY,A,11,2025-09-27,63960,221A,1228707,20250927 18:14,2334,,2025-09-27T18:14:50.709557
2-AMERICAN CENTER,False,234,43.15368,-89.31590333333334,1,1228706,99041,414,EMPTY,A,16,2025-09-27,62040,219A,1228706,20250927 18:14,2353,,2025-09-27T18:14:50.709558
1-SUN PRAIRIE VIA HIGH CROSSING,False,85,43.072983482353564,-89.46363482024911,1,1228664,22232,421,EMPTY,A,0,2025-09-27,64860,214A,1228664,20250927 18:14,2330,,2025-09-27T18:14:50.709559
1-SUN PRAIRIE VIA HIGH CROSSING,False,52,43.10428746479838,-89.34182221736334,1,1228679,61650,421,EMPTY,A,21,2025-09-27,63000,212A,1228679,20250927 18:14,2354,,2025-09-27T18:14:50.709560
1-SUN PRAIRIE VIA HIGH CROSSING,False,5,43.15683166666666,-89.26688666666665,1,1228663,95552,421,EMPTY,A,0,2025-09-27,61140,213A,1228663,20250927 18:14,2327,,2025-09-27T18:14:50.709561
JUNCTION VIA HIGH CROSSING,False,224,43.10986898534777,-89.33507634327805,1,1228725,33219,469,EMPTY,A,32,2025-09-27,64560,211A,1228725,20250927 18:14,2342,,2025-09-27T18:14:50.709562
JUNCTION VIA HIGH CROSSING,False,274,43.07284783066553,-89.46007231600015,1,1228742,73335,469,EMPTY,A,26,2025-09-27,62760,216A,1228742,20250927 18:14,2338,,2025-09-27T18:14:50.709564
MEMORIAL UNION VIA EAGLE HEIGHTS,False,121,43.07638153323205,-89.41618613571673,1,1228095,30381,506364,EMPTY,80,0,2025-09-27,63900,4280,1228095,20250927 18:14,1907,,2025-09-27T18:14:53.119102
SHEBOYGAN VIA MIDDLETON,False,204,43.073221972041935,-89.46760193911472,1,1230805,52479,506311,EMPTY,F,12,2025-09-27,63960,212F,1230805,20250927 18:14,120,,2025-09-27T18:14:55.566718
JUNCTION VIA MIDDLETON,False,335,43.10643098040377,-89.49823677093806,1,1230837,19730,506313,EMPTY,F,22,2025-09-27,65160,213F,1230837,20250927 18:14,2011,,2025-09-27T18:14:55.566723
JUNCTION VIA MIDDLETON,False,181,43.05749333333333,-89.52811500000001,1,1230836,55326,506313,EMPTY,F,0,2025-09-27,63360,211F,1230836,20250927 18:14,1913,,2025-09-27T18:14:55.566724
