des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
2-BUCKEYE,False,98,43.0722142842566,-89.40741389615833,1,1229699,10596,327,HALF_EMPTY,C,3,2025-09-29,31140,115D,1229699,20250929 08:51,2007,,2025-09-29T08:51:51.120422
1-SPRECHER,False,44,43.07446285773158,-89.38042308779265,1,1229732,19400,349,EMPTY,C,3,2025-09-29,30360,120C,1229732,20250929 08:51,1903,,2025-09-29T08:51:51.120430
1-SPRECHER,False,162,43.08387928611607,-89.32514491240826,1,1229717,39303,349,EMPTY,C,0,2025-09-29,29580,114C,1229717,20250929 08:51,114,,2025-09-29T08:51:51.120432
1-SPRECHER,False,87,43.08571833333334,-89.26459666666666,1,1229683,56074,349,EMPTY,C,0,2025-09-29,28800,112C,1229683,20250929 08:51,137,,2025-09-29T08:51:51.120433
U.W. HOSPITAL,False,226,43.08130305104732,-89.3655038228616,1,1229753,31231,454,EMPTY,C,15,2025-09-29,30480,118C,1229753,20250929 08:51,2013,,2025-09-29T08:51:51.120435
U.W. HOSPITAL,False,226,43.073566725431036,-89.39350789414932,1,1229803,41080,454,HALF_EMPTY,C,0,2025-09-29,29580,117C,1229803,20250929 08:51,1912,,2025-09-29T08:51:51.120436
U.W. HOSPITAL,False,2,43.07548389375688,-89.43397244832182,1,1229790,52731,454,EMPTY,C,1,2025-09-29,28680,113C,1229790,20250929 08:51,998,,2025-09-29T08:51:51.120437
EPIC CAMPUS,False,270,43.015573060786885,-89.47197930335025,1,1227773,14763,1229,EMPTY,75,0,2025-09-29,31500,13375,1227773,20250929 08:51,139,,2025-09-29T08:51:53.572524
EPIC CAMPUS,False,343,42.98796772747411,-89.5584524376793,1,1227760,69147,1252,FULL,75,21,2025-09-29,29580,13575,1227760,20250929 08:51,124,,2025-09-29T08:51:53.572531
CAPITOL SQUARE,False,64,42.996855,-89.563863,1,1227739,0,1274,FULL,75,0,2025-09-29,31800,13675,1227739,20250929 08:51,2004,,2025-09-29T08:51:53.572532
CAPITOL SQUARE,False,11,43.05649147123449,-89.39897068164167,1,1227738,64585,1274,EMPTY,75,0,2025-09-29,30000,13475,1227738,20250929 08:51,146,,2025-09-29T08:51:53.572534
