des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
MEMORIAL UNION VIA EAGLE HEIGHTS,False,116,43.07648669020111,-89.42071104405011,1,1228077,29168,506364,EMPTY,80,0,2025-09-27,71100,6180,1228077,20250927 20:10,147,,2025-09-27T20:10:23.744884
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,46,43.078039305830565,-89.3853050934306,1,1228386,4931,444,EMPTY,81,30,2025-09-27,72300,6181,1228386,20250927 20:10,114,,2025-09-27T20:10:26.160629
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,90,43.07092092590456,-89.39945698748791,1,1228457,19053,335,EMPTY,82,0,2025-09-27,71400,6182,1228457,20250927 20:10,2210,,2025-09-27T20:10:28.562788
