des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
1-SPRECHER,False,89,43.04634000016416,-89.476753235567,1,1230111,16920,506006,EMPTY,D,31,2025-09-30,68700,114D,1230111,20250930 19:17,134,,2025-09-30T19:17:06.071978
1-JUNCTION,False,270,43.04632000007898,-89.48769670869687,1,1230191,78655,506009,EMPTY,D,16,2025-09-30,66180,115D,1230191,20250930 19:17,2009,,2025-09-30T19:17:06.072017
2-AIRPORT,False,316,43.08714787874862,-89.37233447480531,1,1230156,80466,506338,EMPTY,D,25,2025-09-30,65820,122D,1230156,20250930 19:17,1903,,2025-09-30T19:17:06.072018
2-VERONA,False,227,43.09111763422494,-89.36694962569376,1,1230175,26822,506346,EMPTY,D,39,2025-09-30,68340,126D,1230175,20250930 19:16,2206,,2025-09-30T19:17:06.072018
2-VERONA,False,257,42.993323333333336,-89.52378333333333,1,1230220,94256,506346,EMPTY,D,25,2025-09-30,65160,121D,1230220,20250930 19:17,113,,2025-09-30T19:17:06.072019
2-EPIC CAMPUS,False,76,42.99691,-89.56385,1,1230174,110198,506350,EMPTY,D,0,2025-09-30,63360,124D,1230174,20250930 19:16,1907,,2025-09-30T19:17:06.072020
CAPITOL SQUARE VIA MIDDLETON,False,156,43.05795499999999,-89.52798666666668,1,1230736,0,506312,EMPTY,F,0,2025-09-30,69480,151A,1230736,20250930 19:17,2333,,2025-09-30T19:17:08.482054
CAPITOL SQUARE VIA MIDDLETON,True,9,43.10100354884469,-89.51127993505959,1,1230735,28155,506312,EMPTY,F,0,2025-09-30,67620,114A,1230735,20250930 19:17,2355,,2025-09-30T19:17:08.482060
JUNCTION VIA MIDDLETON,False,355,43.099928134737745,-89.48622515955473,1,1230771,35362,506314,EMPTY,F,35,2025-09-30,67800,115A,1230771,20250930 19:17,2339,,2025-09-30T19:17:08.482061
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,226,43.07407315854741,-89.39275307843432,1,1228369,10397,444,EMPTY,81,18,2025-09-30,68700,8181,1228369,20250930 19:16,984,,2025-09-30T19:17:10.845644
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,272,43.07591166666666,-89.40016666666666,1,1228433,5,335,EMPTY,82,0,2025-09-30,69600,8182,1228433,20250930 19:17,1915,,2025-09-30T19:17:13.243280
JUNCTION,False,172,43.14745701989214,-89.2991939726705,1,1228652,6602,387,EMPTY,A,30,2025-09-30,69240,117A,1228652,20250930 19:17,2358,,2025-09-30T19:17:15.672932
JUNCTION,False,298,43.074821453943024,-89.39126318868968,1,1228599,52226,387,EMPTY,A,0,2025-09-30,67440,127A,1228599,20250930 19:17,2325,,2025-09-30T19:17:15.672938
JUNCTION,False,271,43.0605796310761,-89.5211659134981,1,1228643,91845,387,EMPTY,A,15,2025-09-30,65640,112A,1228643,20250930 19:17,2314,,2025-09-30T19:17:15.672940
