des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,270,43.07653105601678,-89.42037491974364,1,1227977,6561,369,EMPTY,80,18,2025-11-06,64920,4284,1227977,20251106 18:13,995,,2025-11-06T18:13:16.576219,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,93,43.07647971619374,-89.4165579959176,1,1227982,5550,506364,EMPTY,80,0,2025-11-06,65340,8180,1227982,20251106 18:13,133,,2025-11-06T18:13:24.144876,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,251,43.0843735,-89.43165,1,1227954,13115,506364,HALF_EMPTY,80,30,2025-11-06,64440,1380,1227954,20251106 18:13,115,,2025-11-06T18:13:24.144876,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,49,43.07549266982832,-89.39724966056671,1,1227953,40363,506364,EMPTY,80,0,2025-11-06,63540,1280,1227953,20251106 18:13,124,,2025-11-06T18:13:24.144876,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,271,43.07591666666667,-89.40039833333334,1,1227952,41229,506364,HALF_EMPTY,80,0,2025-11-06,62640,1180,1227952,20251106 18:13,102,,2025-11-06T18:13:24.144876,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,116,43.08919015402432,-89.48539898739763,1,1230733,45434,433,EMPTY,F,37,2025-11-06,64020,115A,1230733,20251106 18:13,2360,,2025-11-06T18:13:26.420170,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,46,43.07317282120361,-89.39221695525285,1,1230732,74830,433,EMPTY,F,15,2025-11-06,62100,123A,1230732,20251106 18:13,2351,,2025-11-06T18:13:26.420170,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,29,43.0760664651607,-89.46750594632996,1,1230769,24523,486,HALF_EMPTY,F,0,2025-11-06,64200,151A,1230769,20251106 18:13,2328,,2025-11-06T18:13:26.420170,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,195,43.075870369549065,-89.53283976348148,1,1230768,67980,486,EMPTY,F,24,2025-11-06,62400,114A,1230768,20251106 18:13,2306,,2025-11-06T18:13:26.420170,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,351,43.08470114079405,-89.43363664888868,1,1228517,29466,462,EMPTY,84,20,2025-11-06,63840,4184,1228517,20251106 18:13,985,,2025-11-06T18:13:28.708902,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
