des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA EAGLE HEIGHTS,False,271,43.07590333333333,-89.40021666666668,1,1228079,20,386,EMPTY,80,0,2025-11-15,76500,6180,1228079,20251115 21:11,119,,2025-11-15T21:11:25.033322,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,302,43.074095423835594,-89.39245965275659,1,1228387,19298,444,EMPTY,81,51,2025-11-15,74100,6181,1228387,20251115 21:11,998,,2025-11-15T21:11:36.899390,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,90,43.075649999999996,-89.39735166666667,1,1228455,21347,335,EMPTY,82,0,2025-11-15,75000,6182,1228455,20251115 21:11,996,,2025-11-15T21:11:39.299355,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
