des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
FITCHBURG-CADDIS,False,227,43.07826833006384,-89.37926668664072,1,1229412,44002,506170,EMPTY,B,7,2025-09-28,63840,344B,1229412,20250928 18:10,2316,,2025-09-28T18:10:21.120451
FITCHBURG-CADDIS,False,196,43.02611519836912,-89.41322727345577,1,1229411,72881,506170,EMPTY,B,7,2025-09-28,62040,343B,1229411,20250928 18:10,2313,,2025-09-28T18:10:21.120456
NORTHPORT,False,15,43.06788137572259,-89.4007685079174,1,1229375,23386,506366,EMPTY,B,3,2025-09-28,64440,346B,1229375,20250928 18:10,2355,,2025-09-28T18:10:21.120457
NORTHPORT,False,305,43.13247875117772,-89.36713051751704,1,1229374,59224,506366,EMPTY,B,0,2025-09-28,62460,345B,1229374,20250928 18:10,2339,,2025-09-28T18:10:21.120458
2-BUCKEYE,False,69,43.093049575899386,-89.34974565282262,1,1229914,31034,327,EMPTY,C,0,2025-09-28,63420,316C,1229914,20250928 18:10,130,,2025-09-28T18:10:23.416531
1-SPRECHER,False,170,43.074524543989526,-89.43388909927549,1,1229899,2970,349,EMPTY,C,9,2025-09-28,65220,311C,1229899,20250928 18:10,110,,2025-09-28T18:10:23.416536
U.W. HOSPITAL,False,163,43.08574941180054,-89.26464330302896,1,1229934,30,508,EMPTY,C,0,2025-09-28,65160,314C,1229934,20250928 18:10,1911,,2025-09-28T18:10:23.416537
U.W. HOSPITAL,False,267,43.07336902930123,-89.40039119867146,1,1229951,45442,515,HALF_EMPTY,C,0,2025-09-28,63120,312C,1229951,20250928 18:10,145,,2025-09-28T18:10:23.416537
SHEBOYGAN VIA MIDDLETON,False,136,43.08963462878343,-89.48596364675493,1,1230869,44362,506311,EMPTY,F,22,2025-09-28,63960,312F,1230869,20250928 18:10,136,,2025-09-28T18:10:25.717077
JUNCTION VIA MIDDLETON,False,299,43.08469479758611,-89.47780114363519,1,1230901,8155,506313,EMPTY,F,0,2025-09-28,65160,313F,1230901,20250928 18:10,119,,2025-09-28T18:10:25.717082
JUNCTION VIA MIDDLETON,False,181,43.05747666666666,-89.52813166666668,1,1230900,55326,506313,EMPTY,F,0,2025-09-28,63360,311F,1230900,20250928 18:10,2007,,2025-09-28T18:10:25.717083
MEMORIAL UNION VIA EAGLE HEIGHTS,False,252,43.07601357251977,-89.40323522300368,1,1228133,1226,506364,EMPTY,80,17,2025-09-28,65400,5180,1228133,20250928 18:10,104,,2025-09-28T18:10:28.019788
MEMORIAL UNION VIA EAGLE HEIGHTS,False,278,43.07896207635615,-89.42877148078277,1,1228151,25608,506364,EMPTY,80,15,2025-09-28,63900,4180,1228151,20250928 18:10,2205,,2025-09-28T18:10:28.019793
MCKEE,False,83,43.01573166666667,-89.49736,1,1230637,61350,506370,EMPTY,E,30,2025-09-28,62760,311E,1230637,20250928 18:10,995,,2025-09-28T18:10:30.335217
1-SUN PRAIRIE VIA HIGH CROSSING,False,88,43.060777793866436,-89.48713292967653,1,1228785,12242,506161,HALF_EMPTY,A,22,2025-09-28,64860,316A,1228785,20250928 18:10,2323,,2025-09-28T18:10:32.637672
1-SUN PRAIRIE VIA HIGH CROSSING,False,6,43.15682833333334,-89.26690833333332,1,1228784,95620,506161,EMPTY,A,0,2025-09-28,61140,311A,1228784,20250928 18:10,2305,,2025-09-28T18:10:32.637676
2-AMERICAN CENTER VIA HIGH CROSSING,False,44,43.089001215998486,-89.36372103626901,1,1228800,53740,506162,HALF_EMPTY,A,30,2025-09-28,63000,313A,1228800,20250928 18:10,2303,,2025-09-28T18:10:32.637677
JUNCTION VIA HIGH CROSSING,False,262,43.073081478488504,-89.42725190025386,1,1228838,63992,506168,HALF_EMPTY,A,49,2025-09-28,62760,314A,1228838,20250928 18:10,2315,,2025-09-28T18:10:32.637678
JUNCTION VIA HIGH CROSSING,False,222,43.12767974542364,-89.30907711824261,1,1228822,22442,506367,EMPTY,A,13,2025-09-28,64500,315A,1228822,20250928 18:10,2320,,2025-09-28T18:10:32.637678
JUNCTION VIA HIGH CROSSING,False,172,43.057694999999995,-89.52794833333334,1,1228821,97988,506367,EMPTY,A,0,2025-09-28,60900,312A,1228821,20250928 18:10,2308,,2025-09-28T18:10:32.637679
1-SPRECHER,False,88,43.04636907314189,-89.47959184492886,1,1230311,16186,506006,EMPTY,D,30,2025-09-28,65040,312D,1230311,20250928 18:10,117,,2025-09-28T18:10:34.942012
1-SPRECHER,False,97,43.09947489880997,-89.2669696696497,1,1230310,84211,506006,EMPTY,D,0,2025-09-28,61440,313D,1230310,20250928 18:10,154,,2025-09-28T18:10:34.942018
1-JUNCTION,False,226,43.05370876438603,-89.43431662357067,1,1230363,60434,506009,EMPTY,D,31,2025-09-28,62520,311D,1230363,20250928 18:10,2009,,2025-09-28T18:10:34.942019
2-AIRPORT,False,313,43.07908991814836,-89.38374649363769,1,1230327,70058,506340,HALF_EMPTY,D,7,2025-09-28,62520,321D,1230327,20250928 18:10,2011,,2025-09-28T18:10:34.942021
2-VERONA,False,181,43.11416350082751,-89.36394232923031,1,1230347,18064,506346,EMPTY,D,26,2025-09-28,64800,322D,1230347,20250928 18:10,2212,,2025-09-28T18:10:34.942022
2-VERONA,False,248,42.99452338087221,-89.51215842805425,1,1230346,91073,506346,EMPTY,D,12,2025-09-28,61200,323D,1230346,20250928 18:10,2214,,2025-09-28T18:10:34.942023
