des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,223,43.09775047322926,-89.35206486190158,1,1228633,38088,387,HALF_EMPTY,A,31,2025-09-26,54780,151A,1228633,20250926 15:40,2337,,2025-09-26T15:40:46.716664
JUNCTION,False,172,43.061525129951875,-89.47236496429062,1,1228630,78556,387,EMPTY,A,19,2025-09-26,52980,122A,1228630,20250926 15:40,2330,,2025-09-26T15:40:46.716676
2-AMERICAN CENTER,False,92,43.0605168362161,-89.51639961238475,1,1228575,4441,414,EMPTY,A,24,2025-09-26,56160,120A,1228575,20250926 15:40,2316,,2025-09-26T15:40:46.716678
2-AMERICAN CENTER,False,136,43.074099921503304,-89.38548096559086,1,1228574,44740,414,HALF_EMPTY,A,22,2025-09-26,54360,125A,1228574,20250926 15:40,2304,,2025-09-26T15:40:46.716680
2-AMERICAN CENTER,False,42,43.13640943943291,-89.29685852676378,1,1228573,80694,414,EMPTY,A,48,2025-09-26,52680,115A,1228573,20250926 15:40,2303,,2025-09-26T15:40:46.716683
1-SUN PRAIRIE VIA HIGH CROSSING,False,92,43.07523237707539,-89.44317140645582,1,1228530,28511,421,HALF_EMPTY,A,0,2025-09-26,55260,121A,1228530,20250926 15:40,2355,,2025-09-26T15:40:46.716685
1-SUN PRAIRIE VIA HIGH CROSSING,False,52,43.10429657299771,-89.34180618658823,1,1228546,61656,421,HALF_EMPTY,A,20,2025-09-26,53520,118A,1228546,20250926 15:40,2341,,2025-09-26T15:40:46.716687
1-SUN PRAIRIE VIA HIGH CROSSING,False,14,43.15682666666667,-89.26687333333332,1,1228529,95552,421,EMPTY,A,0,2025-09-26,51780,126A,1228529,20250926 15:40,2362,,2025-09-26T15:40:46.716688
JUNCTION VIA HIGH CROSSING,False,228,43.119166544446465,-89.32139339328828,1,1228613,26114,469,EMPTY,A,0,2025-09-26,55620,111A,1228613,20250926 15:40,2327,,2025-09-26T15:40:46.716691
JUNCTION VIA HIGH CROSSING,False,265,43.07335661469976,-89.3995170237831,1,1228595,56218,469,HALF_EMPTY,A,0,2025-09-26,53880,113A,1228595,20250926 15:40,2323,,2025-09-26T15:40:46.716693
FITCHBURG,False,253,43.078928418666166,-89.42956047292245,1,1227728,100,489,EMPTY,65,31,2025-09-26,56400,18165,1227728,20250926 15:40,988,,2025-09-26T15:40:49.352935
1-SPRECHER,False,110,43.05068354751889,-89.51109991321928,1,1230108,6239,505941,EMPTY,D,31,2025-09-26,56220,112D,1230108,20250926 15:40,106,,2025-09-26T15:40:51.691353
1-SPRECHER,False,93,43.07195987410808,-89.39844196914287,1,1230149,45041,505941,HALF_EMPTY,D,16,2025-09-26,54540,115C,1230149,20250926 15:40,997,,2025-09-26T15:40:51.691365
1-SPRECHER,False,87,43.09910995268119,-89.28284250314633,1,1230107,80134,505941,EMPTY,D,33,2025-09-26,52800,114E,1230107,20250926 15:40,129,,2025-09-26T15:40:51.691368
1-SPRECHER,False,246,43.085723333333334,-89.26459666666666,1,1230147,92704,505941,EMPTY,D,0,2025-09-26,51000,113C,1230147,20250926 15:40,110,,2025-09-26T15:40:51.691371
1-JUNCTION,False,230,43.0878006717544,-89.37339009519947,1,1230188,39221,505944,EMPTY,D,0,2025-09-26,54780,115D,1230188,20250926 15:40,2004,,2025-09-26T15:40:51.691374
1-JUNCTION,False,180,43.048095203940264,-89.4737,1,1230213,74262,505944,EMPTY,D,24,2025-09-26,52980,114D,1230213,20250926 15:40,2211,,2025-09-26T15:40:51.691376
2-AIRPORT,False,84,42.98783800258035,-89.55239656742775,1,1230125,6691,506011,EMPTY,D,7,2025-09-26,56220,124D,1230125,20250926 15:40,151,,2025-09-26T15:40:51.691379
2-AIRPORT,False,43,43.04240543185128,-89.44576536622063,1,1230150,52653,506011,EMPTY,D,30,2025-09-26,54480,125D,1230150,20250926 15:40,119,,2025-09-26T15:40:51.691381
2-AIRPORT,False,0,43.10027660920605,-89.3640442,1,1230124,86278,506011,EMPTY,D,27,2025-09-26,52740,122D,1230124,20250926 15:40,2210,,2025-09-26T15:40:51.691384
2-AIRPORT,False,9,43.13740833333333,-89.34658333333333,1,1230148,108209,506011,EMPTY,D,0,2025-09-26,50940,123D,1230148,20250926 15:40,995,,2025-09-26T15:40:51.691386
2-EPIC CAMPUS,False,270,43.13489000003472,-89.36319996411117,1,1230172,10567,506019,EMPTY,D,0,2025-09-26,56040,126D,1230172,20250926 15:40,1903,,2025-09-26T15:40:51.691388
2-EPIC CAMPUS,False,184,43.07226,-89.40409,1,1230214,39963,506019,HALF_EMPTY,D,0,2025-09-26,54240,181D,1230214,20250926 15:40,983,,2025-09-26T15:40:51.691390
2-EPIC CAMPUS,False,91,43.007121315226335,-89.49908841954033,1,1230171,85542,506019,EMPTY,D,6,2025-09-26,52440,121D,1230171,20250926 15:40,120,,2025-09-26T15:40:51.691393
ERIN,False,178,43.06530000660746,-89.40900957207639,1,1232189,5107,505843,EMPTY,O,15,2025-09-26,56100,118G,1232189,20250926 15:40,153,,2025-09-26T15:40:54.202394
BROOKS,False,89,43.07107000010452,-89.4074083168701,1,1232123,17821,506281,EMPTY,O,13,2025-09-26,55440,123G,1232123,20250926 15:40,2015,,2025-09-26T15:40:54.202401
SOUTH TRANSFER,False,44,43.0337998500493,-89.4553851870965,1,1231424,31035,350,HALF_EMPTY,H,15,2025-09-26,55080,114G,1231424,20250926 15:40,2005,,2025-09-26T15:40:56.795829
WEST TOWNE,False,259,43.03098661628944,-89.41158962857487,1,1231462,6678,400,EMPTY,H,19,2025-09-26,56100,120G,1231462,20250926 15:40,145,,2025-09-26T15:40:56.795842
