des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
FITCHBURG,False,45,43.06851161382543,-89.38704230472189,1,1227731,14348,489,EMPTY,65,23,2025-11-05,63780,18265,1227731,20251105 18:07,1903,,2025-11-05T18:08:02.534213
FITCHBURG,False,267,43.00500532348269,-89.41660030121639,1,1227734,52616,489,EMPTY,65,24,2025-11-05,61980,18165,1227734,20251105 18:07,133,,2025-11-05T18:08:02.534213
JUNCTION,False,278,43.057518333333334,-89.52809333333335,1,1227608,34957,504,EMPTY,55,0,2025-11-05,63900,18775,1227608,20251105 18:07,985,,2025-11-05T18:08:04.610262
2-BUCKEYE,False,42,43.08479068402814,-89.36197652444268,1,1229707,26077,327,HALF_EMPTY,C,18,2025-11-05,63300,111D,1229707,20251105 18:07,130,,2025-11-05T18:08:07.221541
U.W. HOSPITAL,False,226,43.081272773195096,-89.36554693844752,1,1229779,33828,331,EMPTY,C,15,2025-11-05,63960,119C,1229779,20251105 18:08,155,,2025-11-05T18:08:07.221541
1-SPRECHER,False,137,43.07005067242542,-89.39075382149018,1,1229693,15238,349,HALF_EMPTY,C,15,2025-11-05,64200,116C,1229693,20251105 18:08,122,,2025-11-05T18:08:07.221541
1-SPRECHER,False,91,43.084528691635654,-89.27964796492114,1,1229741,51591,349,EMPTY,C,10,2025-11-05,62400,120C,1229741,20251105 18:07,2005,,2025-11-05T18:08:07.221541
1-SPRECHER,False,156,43.08571833333334,-89.26460666666665,1,1229727,56074,349,EMPTY,C,0,2025-11-05,61440,114C,1229727,20251105 18:08,2210,,2025-11-05T18:08:07.221541
DEMPSEY,False,77,43.074149999999996,-89.43375499999999,1,1229728,3051,445,EMPTY,C,0,2025-11-05,65100,111C,1229728,20251105 18:08,107,,2025-11-05T18:08:07.221541
U.W. HOSPITAL,False,268,43.08477826847609,-89.27658961835016,1,1229800,3530,454,EMPTY,C,33,2025-11-05,65040,112C,1229800,20251105 18:08,111,,2025-11-05T18:08:07.221541
U.W. HOSPITAL,False,221,43.07443717149057,-89.37885451658258,1,1229762,35704,454,EMPTY,C,0,2025-11-05,63240,118C,1229762,20251105 18:07,113,,2025-11-05T18:08:07.221541
U.W. HOSPITAL,False,5,43.07390580427825,-89.43363857986995,1,1229812,52199,454,EMPTY,C,11,2025-11-05,62340,117C,1229812,20251105 18:08,2206,,2025-11-05T18:08:07.221541
JUNCTION,False,223,43.096317917011184,-89.35392625964919,1,1228644,38812,387,EMPTY,A,0,2025-11-05,63780,122A,1228644,20251105 18:07,2358,,2025-11-05T18:08:09.791214
JUNCTION,False,175,43.074234471697075,-89.45699115774977,1,1228627,70601,387,HALF_EMPTY,A,24,2025-11-05,61980,120A,1228627,20251105 18:08,2352,,2025-11-05T18:08:09.791214
2-AMERICAN CENTER,False,170,43.05768833333333,-89.52794999999999,1,1228580,60,414,EMPTY,A,0,2025-11-05,65400,125A,1228580,20251105 18:08,2307,,2025-11-05T18:08:09.791214
2-AMERICAN CENTER,False,91,43.072093908862556,-89.40118804276176,1,1228579,40021,414,HALF_EMPTY,A,0,2025-11-05,63600,117A,1228579,20251105 18:07,2305,,2025-11-05T18:08:09.791214
2-AMERICAN CENTER,False,215,43.14723385797193,-89.29117681927436,1,1228578,89124,414,EMPTY,A,27,2025-11-05,61620,127A,1228578,20251105 18:08,2330,,2025-11-05T18:08:09.791214
1-SUN PRAIRIE VIA HIGH CROSSING,False,102,43.07270674307431,-89.46575169930878,1,1228549,21657,421,EMPTY,A,28,2025-11-05,64500,118A,1228549,20251105 18:07,2362,,2025-11-05T18:08:09.791214
1-SUN PRAIRIE VIA HIGH CROSSING,False,46,43.10406948957203,-89.34215358921554,1,1228532,61530,421,HALF_EMPTY,A,1,2025-11-05,62580,126A,1228532,20251105 18:07,2343,,2025-11-05T18:08:09.791214
1-SUN PRAIRIE VIA HIGH CROSSING,False,37,43.13861354671014,-89.28937595963203,1,1228548,83342,421,EMPTY,A,35,2025-11-05,60720,111A,1228548,20251105 18:08,2361,,2025-11-05T18:08:09.791214
JUNCTION VIA HIGH CROSSING,False,226,43.1297948302991,-89.30589468354131,1,1228598,20402,469,EMPTY,A,25,2025-11-05,64680,113A,1228598,20251105 18:07,2339,,2025-11-05T18:08:09.791214
JUNCTION VIA HIGH CROSSING,False,223,43.076287709039484,-89.38203829495298,1,1228615,50798,469,EMPTY,A,0,2025-11-05,62820,119A,1228615,20251105 18:07,2345,,2025-11-05T18:08:09.791214
JUNCTION VIA HIGH CROSSING,False,192,43.057968333333335,-89.52795833333333,1,1228597,96630,469,EMPTY,A,0,2025-11-05,61020,121A,1228597,20251105 18:07,2357,,2025-11-05T18:08:09.791214
1-SPRECHER,False,48,43.066695386014864,-89.41429309844978,1,1230110,39611,506006,EMPTY,D,12,2025-11-05,63480,114E,1230110,20251105 18:07,145,,2025-11-05T18:08:12.281632
1-SPRECHER,False,83,43.09835721346224,-89.31306524389495,1,1230153,72351,506006,EMPTY,D,18,2025-11-05,61620,113C,1230153,20251105 18:08,1906,,2025-11-05T18:08:12.281632
1-SPRECHER,False,54,43.08621333333334,-89.26495000000001,1,1230109,92547,506006,EMPTY,D,0,2025-11-05,59820,115D,1230109,20251105 18:08,1911,,2025-11-05T18:08:12.281632
1-JUNCTION,False,218,43.1006165,-89.3540039,1,1230219,32291,506009,EMPTY,D,15,2025-11-05,63900,114D,1230219,20251105 18:07,2009,,2025-11-05T18:08:12.281632
1-JUNCTION,False,228,43.055163731771394,-89.43213496467781,1,1230190,59683,506009,EMPTY,D,22,2025-11-05,62040,112D,1230190,20251105 18:08,158,,2025-11-05T18:08:12.281632
1-JUNCTION,False,314,43.05256035130238,-89.51976967658965,1,1230216,88765,506009,EMPTY,D,18,2025-11-05,60240,115C,1230216,20251105 18:08,2004,,2025-11-05T18:08:12.281632
2-AIRPORT,False,46,43.02796914744116,-89.46399050874106,1,1230127,42950,506571,EMPTY,D,11,2025-11-05,63540,123D,1230127,20251105 18:08,110,,2025-11-05T18:08:12.281632
