des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA EAGLE HEIGHTS,False,267,43.0862309188549,-89.43464427897648,1,1228079,14691,386,EMPTY,80,16,2025-11-15,76500,6180,1228079,20251115 21:25,119,,2025-11-15T21:25:31.770290,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,244,43.081255305457454,-89.38261372921173,1,1228388,6738,444,EMPTY,81,9,2025-11-15,75900,6181,1228388,20251115 21:25,998,,2025-11-15T21:25:55.252258,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,255,43.076531002826485,-89.4164445806325,1,1228454,4865,335,EMPTY,82,0,2025-11-15,76800,6182,1228454,20251115 21:25,996,,2025-11-15T21:25:58.077613,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
