des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
FITCHBURG,False,261,43.00612617135251,-89.40689987459446,1,1227731,49798,489,EMPTY,65,26,2025-11-05,63780,18265,1227731,20251105 18:27,1903,,2025-11-05T18:27:42.749087
EPIC CAMPUS,False,247,42.99690333333333,-89.56385666666665,1,1227620,35097,512,EMPTY,55,0,2025-11-05,65520,18775,1227620,20251105 18:27,985,,2025-11-05T18:27:44.802190
2-BUCKEYE,False,88,43.07346307660671,-89.28855026043644,1,1229707,53638,327,EMPTY,C,28,2025-11-05,63300,111D,1229707,20251105 18:27,130,,2025-11-05T18:27:47.886544
U.W. HOSPITAL,False,275,43.07355510734467,-89.41213507842443,1,1229779,48592,331,EMPTY,C,20,2025-11-05,63960,119C,1229779,20251105 18:27,155,,2025-11-05T18:27:47.886544
1-SPRECHER,False,80,43.07203806522225,-89.42786891761897,1,1229742,5009,349,EMPTY,C,15,2025-11-05,66060,117C,1229742,20251105 18:27,2206,,2025-11-05T18:27:47.886544
1-SPRECHER,False,123,43.089430910339004,-89.32946606128698,1,1229693,36902,349,EMPTY,C,16,2025-11-05,64200,116C,1229693,20251105 18:27,122,,2025-11-05T18:27:47.886544
1-SPRECHER,True,164,43.085613333333335,-89.26453666666666,1,1229741,56074,349,EMPTY,C,0,2025-11-05,62400,120C,1229741,20251105 18:27,2005,,2025-11-05T18:27:47.886544
DEMPSEY,False,74,43.0758929000031,-89.37632515085795,1,1229728,20643,445,EMPTY,C,2,2025-11-05,65100,111C,1229728,20251105 18:27,107,,2025-11-05T18:27:47.886544
U.W. HOSPITAL,False,267,43.08409841073877,-89.30953740529205,1,1229813,12194,454,EMPTY,C,0,2025-11-05,66000,114C,1229813,20251105 18:27,2210,,2025-11-05T18:27:47.886544
U.W. HOSPITAL,False,254,43.0773362006195,-89.37239471298115,1,1229800,33621,454,EMPTY,C,4,2025-11-05,65040,112C,1229800,20251105 18:27,111,,2025-11-05T18:27:47.886544
U.W. HOSPITAL,False,265,43.07221360806638,-89.42758562191909,1,1229762,50180,454,EMPTY,C,22,2025-11-05,63240,118C,1229762,20251105 18:27,113,,2025-11-05T18:27:47.886544
JUNCTION,False,240,43.12110443531299,-89.32439991577328,1,1228643,25740,387,EMPTY,A,15,2025-11-05,65640,112A,1228643,20251105 18:27,2349,,2025-11-05T18:27:50.800734
