des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
CAPITOL SQUARE,False,356,43.02644606665238,-89.50538013715448,1,1230530,7947,506369,EMPTY,E,35,2025-10-02,29700,116E,1230530,20251002 08:20,020,,2025-10-02T08:20:08.124869
CAPITOL SQUARE,False,89,43.06792000008101,-89.4241766519693,1,1230513,48497,506369,EMPTY,E,7,2025-10-02,27780,117E,1230513,20251002 08:19,2013,,2025-10-02T08:20:08.124875
MCKEE,False,268,43.06815101171048,-89.44908620023999,1,1230561,22868,506370,EMPTY,E,26,2025-10-02,28560,112E,1230561,20251002 08:20,1907,,2025-10-02T08:20:08.124877
JUNCTION,False,333,42.9999512600295,-89.55811760669563,1,1227603,2473,504,EMPTY,55,39,2025-10-02,29700,13775,1227603,20251002 08:19,2322,,2025-10-02T08:20:10.554692
JUNCTION,False,359,43.057606666666665,-89.52812666666665,1,1227602,20105,504,EMPTY,55,0,2025-10-02,28500,13675,1227602,20251002 08:19,127,,2025-10-02T08:20:10.554699
1-SPRECHER,False,91,43.0463274559444,-89.48635534722754,1,1230135,14382,506006,EMPTY,D,31,2025-10-02,29280,111C,1230135,20251002 08:20,147,,2025-10-02T08:20:12.878994
1-SPRECHER,False,91,43.0720359521422,-89.40110222418075,1,1230100,44331,506006,HALF_EMPTY,D,0,2025-10-02,27480,111D,1230100,20251002 08:20,150,,2025-10-02T08:20:12.878997
1-SPRECHER,False,193,43.09218383762451,-89.26133077881578,1,1230133,88535,506006,EMPTY,D,20,2025-10-02,25680,114D,1230133,20251002 08:20,2015,,2025-10-02T08:20:12.878998
1-JUNCTION,False,268,43.09835172906587,-89.3208130176027,1,1230181,22690,506009,HALF_EMPTY,D,25,2025-10-02,29160,112D,1230181,20251002 08:20,116,,2025-10-02T08:20:12.878999
1-JUNCTION,False,270,43.07338000010258,-89.40003334641008,1,1230199,48133,506009,HALF_EMPTY,D,0,2025-10-02,27360,115C,1230199,20251002 08:20,118,,2025-10-02T08:20:12.878999
1-JUNCTION,False,0,43.049929688632105,-89.50298,1,1230180,83932,506009,EMPTY,D,0,2025-10-02,25560,113D,1230180,20251002 08:20,2203,,2025-10-02T08:20:12.879000
2-AIRPORT,False,78,42.99379571882558,-89.51938405250569,1,1230117,15821,506338,EMPTY,D,16,2025-10-02,29220,123D,1230117,20251002 08:20,111,,2025-10-02T08:20:12.879001
2-AIRPORT,False,36,43.04866304439535,-89.43837636798499,1,1230136,56381,506338,HALF_EMPTY,D,15,2025-10-02,27420,126D,1230136,20251002 08:20,1903,,2025-10-02T08:20:12.879001
2-AIRPORT,False,356,43.12979729795422,-89.36356141838357,1,1230116,97050,506338,EMPTY,D,22,2025-10-02,25620,121D,1230116,20251002 08:20,132,,2025-10-02T08:20:12.879002
2-EPIC CAMPUS,False,180,43.10679382235669,-89.36389,1,1230200,20953,506350,EMPTY,D,12,2025-10-02,28860,124D,1230200,20251002 08:20,145,,2025-10-02T08:20:12.879002
2-EPIC CAMPUS,False,225,43.03711711619565,-89.4527171854873,1,1230164,59662,506350,EMPTY,D,24,2025-10-02,27060,125D,1230164,20251002 08:20,999,,2025-10-02T08:20:12.879003
2-EPIC CAMPUS,False,213,42.99714708963618,-89.50340785264807,1,1230198,89508,506350,EMPTY,D,32,2025-10-02,25500,122D,1230198,20251002 08:20,2004,,2025-10-02T08:20:12.879003
CAPITOL SQUARE VIA MIDDLETON,False,345,43.090916641416705,-89.52462203325823,1,1230714,17223,506312,EMPTY,F,1,2025-10-02,29340,114A,1230714,20251002 08:20,2354,,2025-10-02T08:20:15.313400
CAPITOL SQUARE VIA MIDDLETON,False,139,43.07777700102742,-89.47008631202551,1,1230713,50482,506312,HALF_EMPTY,F,39,2025-10-02,27540,124A,1230713,20251002 08:20,2360,,2025-10-02T08:20:15.313404
JUNCTION VIA MIDDLETON,False,11,43.09392376796352,-89.4855158232491,1,1230749,33149,506314,EMPTY,F,1,2025-10-02,28320,123A,1230749,20251002 08:20,2339,,2025-10-02T08:20:15.313404
JUNCTION VIA MIDDLETON,False,169,43.057693333333326,-89.52795499999999,1,1230748,75927,506314,EMPTY,F,0,2025-10-02,26520,112A,1230748,20251002 08:19,2304,,2025-10-02T08:20:15.313405
U.W. HOSPITAL,False,2,43.01562519889164,-89.37558673956079,1,1227725,18988,506382,EMPTY,65,39,2025-10-02,29220,13265,1227725,20251002 08:20,996,,2025-10-02T08:20:17.644967
U.W. HOSPITAL,False,270,43.075130000211786,-89.40932334152069,1,1227724,48432,506382,EMPTY,65,23,2025-10-02,27420,13165,1227724,20251002 08:20,2006,,2025-10-02T08:20:17.644971
JUNCTION,False,226,43.126688,-89.310346,1,1228624,20538,387,HALF_EMPTY,A,0,2025-10-02,29580,117A,1228624,20251002 08:20,2327,,2025-10-02T08:20:19.980702
JUNCTION,False,223,43.076410570406125,-89.38187983207584,1,1228620,49214,387,FULL,A,0,2025-10-02,27720,115A,1228620,20251002 08:20,2337,,2025-10-02T08:20:19.980706
JUNCTION,False,170,43.05795,-89.52798666666668,1,1228640,95108,387,EMPTY,A,0,2025-10-02,25860,127A,1228640,20251002 08:20,2350,,2025-10-02T08:20:19.980707
2-AMERICAN CENTER,False,45,43.065868980881525,-89.4693031478347,1,1228560,18382,414,HALF_EMPTY,A,31,2025-10-02,29280,116A,1228560,20251002 08:20,2313,,2025-10-02T08:20:19.980707
2-AMERICAN CENTER,False,45,43.0877107367677,-89.36554040725132,1,1228559,52847,414,HALF_EMPTY,A,28,2025-10-02,27540,122A,1228559,20251002 08:20,2303,,2025-10-02T08:20:19.980708
1-SUN PRAIRIE VIA HIGH CROSSING,False,170,43.057423333333325,-89.52796500000001,1,1228523,240,421,EMPTY,A,0,2025-10-02,30180,126A,1228523,20251002 08:20,2305,,2025-10-02T08:20:19.980708
1-SUN PRAIRIE VIA HIGH CROSSING,False,87,43.07408152157455,-89.41684653735115,1,1228539,35661,421,FULL,A,40,2025-10-02,28380,111A,1228539,20251002 08:20,2361,,2025-10-02T08:20:19.980709
1-SUN PRAIRIE VIA HIGH CROSSING,False,87,43.12003852939228,-89.32992447420382,1,1228522,68836,421,FULL,A,1,2025-10-02,26700,113A,1228522,20251002 08:20,2315,,2025-10-02T08:20:19.980709
1-SUN PRAIRIE VIA HIGH CROSSING,True,15,43.156835,-89.26688,1,1228538,95552,421,EMPTY,A,0,2025-10-02,24900,119A,1228538,20251002 08:20,2307,,2025-10-02T08:20:19.980710
JUNCTION VIA HIGH CROSSING,False,240,43.10295035350458,-89.3451073822364,1,1228588,36964,469,FULL,A,15,2025-10-02,28680,121A,1228588,20251002 08:20,2355,,2025-10-02T08:20:19.980711
JUNCTION VIA HIGH CROSSING,False,249,43.07303655019674,-89.45718818202141,1,1228605,72555,469,EMPTY,A,15,2025-10-02,26700,118A,1228605,20251002 08:20,2306,,2025-10-02T08:20:19.980711
EPIC CAMPUS,False,226,43.069007519927375,-89.39242161476459,1,1227760,3691,1252,EMPTY,75,0,2025-10-02,29580,13575,1227760,20251002 08:20,1910,,2025-10-02T08:20:22.385296
EPIC CAMPUS,False,257,42.99368011687884,-89.5213415432915,1,1227759,58634,1252,HALF_EMPTY,75,30,2025-10-02,27780,13275,1227759,20251002 08:20,2204,,2025-10-02T08:20:22.385302
CADDIS,False,88,42.99373032541546,-89.51947866275833,1,1227749,15790,1266,EMPTY,75,18,2025-10-02,29400,13375,1227749,20251002 08:20,146,,2025-10-02T08:20:22.385304
CAPITOL SQUARE,False,125,42.99676460299723,-89.56287067827584,1,1227738,297,1274,EMPTY,75,5,2025-10-02,30000,13475,1227738,20251002 08:20,141,,2025-10-02T08:20:22.385305
CAPITOL SQUARE,False,89,43.01548958949988,-89.446145581163,1,1227737,41694,1274,EMPTY,75,37,2025-10-02,28200,13175,1227737,20251002 08:20,2328,,2025-10-02T08:20:22.385306
MEMORIAL UNION,False,267,43.07902666666667,-89.42943166666667,1,1227836,58,505856,EMPTY,80,0,2025-10-02,30300,3180,1227836,20251002 08:20,2324,,2025-10-02T08:20:24.731698
MEMORIAL UNION VIA EAGLE HEIGHTS,False,273,43.07711055333429,-89.42870960735223,1,1227831,8864,506364,EMPTY,80,11,2025-10-02,29520,1180,1227831,20251002 08:20,134,,2025-10-02T08:20:24.731705
MEMORIAL UNION VIA EAGLE HEIGHTS,False,321,43.086342106069445,-89.4414664626485,1,1227830,16528,506364,EMPTY,80,17,2025-10-02,29100,3284,1227830,20251002 08:20,107,,2025-10-02T08:20:24.731706
MEMORIAL UNION VIA EAGLE HEIGHTS,False,131,43.07835869006563,-89.43001346617315,1,1227829,26299,506364,HALF_EMPTY,80,0,2025-10-02,28680,1380,1227829,20251002 08:20,155,,2025-10-02T08:20:24.731708
MEMORIAL UNION VIA EAGLE HEIGHTS,False,88,43.07645738701345,-89.41617317006863,1,1227828,30381,506364,HALF_EMPTY,80,0,2025-10-02,28260,3184,1227828,20251002 08:20,2211,,2025-10-02T08:20:24.731709
