des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
SOUTH TRANSFER,False,138,43.03172869084461,-89.4764634533572,1,1231421,19451,350,HALF_EMPTY,H,30,2025-09-12,49680,122G,1231421,20250912 14:07,127,,2025-09-12T14:08:03.435830
WEST TOWNE,False,208,43.03559055341461,-89.40616753025354,1,1231459,4250,505860,EMPTY,H,11,2025-09-12,50700,118G,1231459,20250912 14:07,152,,2025-09-12T14:08:03.435839
WEST TOWNE,False,353,43.03232853280454,-89.49680378324317,1,1231458,41385,505860,HALF_EMPTY,H,9,2025-09-12,48900,116G,1231458,20250912 14:08,160,,2025-09-12T14:08:03.435841
ERIN,False,180,43.0714021936319,-89.4041,1,1232186,1498,505843,EMPTY,O,15,2025-09-12,50700,114G,1232186,20250912 14:08,2008,,2025-09-12T14:08:05.791547
SOUTH TRANSFER,False,177,43.04144148656434,-89.37897111669739,1,1232162,21080,505890,EMPTY,O,26,2025-09-12,49800,123G,1232162,20250912 14:07,2207,,2025-09-12T14:08:05.791557
WEST MAIN,False,201,43.16529660089347,-89.25565398819111,1,1232968,33517,394,EMPTY,W,30,2025-09-12,49800,111S,1232968,20250912 14:07,129,,2025-09-12T14:08:08.140206
EAST TOWNE,False,91,43.04269594604846,-89.37805577566039,1,1231056,5713,373,EMPTY,G,0,2025-09-12,50700,111G,1231056,20250912 14:08,122,,2025-09-12T14:08:10.591793
EAST TOWNE,False,359,43.08105236086829,-89.31622412883567,1,1231055,51723,373,EMPTY,G,24,2025-09-12,48900,121G,1231055,20250912 14:08,135,,2025-09-12T14:08:10.591803
SOUTH TRANSFER,False,271,43.10671959163242,-89.31000318009306,1,1231092,14193,505531,EMPTY,G,10,2025-09-12,50220,119G,1231092,20250912 14:08,1902,,2025-09-12T14:08:10.591805
SOUTH TRANSFER,False,271,43.03558535411364,-89.378514284183,1,1231091,67947,505531,EMPTY,G,20,2025-09-12,48420,113G,1231091,20250912 14:08,145,,2025-09-12T14:08:10.591807
DOWNTOWN S.P.,False,1,43.156346570213046,-89.26754374487177,1,1232885,67465,436,EMPTY,S,19,2025-09-12,48300,112S,1232885,20250912 14:08,108,,2025-09-12T14:08:12.929257
WEST TOWNE,False,343,43.0725328138249,-89.40236140590171,1,1231818,54,385,EMPTY,J,0,2025-09-12,50700,115G,1231818,20250912 14:08,146,,2025-09-12T14:08:15.216402
WEST TOWNE,False,1,43.06045325012144,-89.50265430976559,1,1231802,42092,385,EMPTY,J,0,2025-09-12,48900,117G,1231802,20250912 14:08,144,,2025-09-12T14:08:15.216412
BROOKS,False,47,43.06221822896882,-89.4365515595419,1,1231771,26071,429,EMPTY,J,30,2025-09-12,49800,112G,1231771,20250912 14:08,2012,,2025-09-12T14:08:15.216414
JUNCTION,False,226,43.08822881494345,-89.36513099806777,1,1228622,43038,387,HALF_EMPTY,A,35,2025-09-12,49380,117A,1228622,20250912 14:08,2303,,2025-09-12T14:08:17.530894
JUNCTION,False,271,43.06081797063873,-89.4869957806,1,1228638,82691,387,EMPTY,A,3,2025-09-12,47580,115A,1228638,20250912 14:08,2361,,2025-09-12T14:08:17.530901
2-AMERICAN CENTER,False,359,43.057846,-89.528334,1,1228572,0,414,EMPTY,A,0,2025-09-12,50880,127A,1228572,20250912 14:08,2320,,2025-09-12T14:08:17.530902
2-AMERICAN CENTER,False,91,43.074754924920065,-89.3878206845736,1,1228571,44010,414,EMPTY,A,19,2025-09-12,49080,151A,1228571,20250912 14:08,2348,,2025-09-12T14:08:17.530904
2-AMERICAN CENTER,False,265,43.153776752466634,-89.30160112024124,1,1228570,95251,414,EMPTY,A,18,2025-09-12,47340,122A,1228570,20250912 14:08,2307,,2025-09-12T14:08:17.530905
1-SUN PRAIRIE VIA HIGH CROSSING,False,80,43.072942629021384,-89.46398246544896,1,1228545,22138,421,EMPTY,A,15,2025-09-12,49980,111A,1228545,20250912 14:08,2341,,2025-09-12T14:08:17.530906
1-SUN PRAIRIE VIA HIGH CROSSING,False,33,43.10009394662076,-89.34883293263736,1,1228528,59229,421,EMPTY,A,0,2025-09-12,48240,113A,1228528,20250912 14:08,2322,,2025-09-12T14:08:17.530907
1-SUN PRAIRIE VIA HIGH CROSSING,False,76,43.16031945725788,-89.26740400722947,1,1228544,93486,421,EMPTY,A,18,2025-09-12,46440,119A,1228544,20250912 13:57,2355,,2025-09-12T14:08:17.530909
JUNCTION VIA HIGH CROSSING,False,228,43.120740374494595,-89.3189341182853,1,1228594,25238,469,EMPTY,A,33,2025-09-12,50280,121A,1228594,20250912 14:08,2340,,2025-09-12T14:08:17.530910
JUNCTION VIA HIGH CROSSING,False,270,43.07334185809765,-89.40589747555866,1,1228611,57862,469,HALF_EMPTY,A,22,2025-09-12,48480,118A,1228611,20250912 14:08,2349,,2025-09-12T14:08:17.530911
JUNCTION VIA HIGH CROSSING,False,180,43.05794666666667,-89.52798,1,1228593,96630,469,EMPTY,A,0,2025-09-12,46680,126A,1228593,20250912 14:08,2345,,2025-09-12T14:08:17.530912
MEMORIAL UNION,False,192,43.07529484125076,-89.40618157854007,1,1227912,2266,505854,HALF_EMPTY,80,5,2025-09-12,50760,1580,1227912,20250912 14:08,992,,2025-09-12T14:08:19.934627
MEMORIAL UNION,False,357,43.07780891430446,-89.42507685986666,1,1227911,8248,505854,EMPTY,80,18,2025-09-12,50460,1280,1227911,20250912 14:08,2214,,2025-09-12T14:08:19.934631
MEMORIAL UNION,False,217,43.078781666666664,-89.43045666666667,1,1227910,10088,505854,EMPTY,80,1,2025-09-12,50220,1480,1227910,20250912 14:08,987,,2025-09-12T14:08:19.934632
MEMORIAL UNION,False,89,43.075120000064594,-89.40812166014257,1,1227908,16603,505854,FULL,80,16,2025-09-12,49680,1180,1227908,20250912 14:08,131,,2025-09-12T14:08:19.934633
MEMORIAL UNION,False,188,43.072948972117814,-89.40904237069638,1,1227907,18737,505854,EMPTY,80,0,2025-09-12,49380,7180,1227907,20250912 14:08,1901,,2025-09-12T14:08:19.934634
MEMORIAL UNION,False,111,43.072449671852766,-89.40793351017126,1,1227912,19116,505854,EMPTY,80,18,2025-09-12,50760,1580,1227912,20250912 14:07,2314,,2025-09-12T14:08:19.934635
MEMORIAL UNION,False,89,43.07096000007233,-89.4008566576631,1,1227912,21433,505854,EMPTY,80,16,2025-09-12,50760,1580,1227912,20250912 14:07,149,,2025-09-12T14:08:19.934635
MEMORIAL UNION,False,3,43.07288841179345,-89.3974331215736,1,1227906,23053,505854,HALF_EMPTY,80,13,2025-09-12,49140,7080,1227906,20250912 14:08,118,,2025-09-12T14:08:19.934636
MEMORIAL UNION,False,283,43.07589500000001,-89.40005666666666,1,1227905,24861,505854,EMPTY,80,0,2025-09-12,48840,1380,1227905,20250912 14:08,115,,2025-09-12T14:08:19.934637
MEMORIAL UNION,False,268,43.075919999999996,-89.40030499999999,1,1227904,24890,505854,EMPTY,80,0,2025-09-12,48600,7280,1227904,20250912 14:08,2308,,2025-09-12T14:08:19.934638
CAPITOL SQUARE,False,129,43.072463881491984,-89.40812097715663,1,1232541,44542,363,EMPTY,R,20,2025-09-12,49380,116E,1232541,20250912 14:08,105,,2025-09-12T14:08:22.327023
