des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
1-SPRECHER,False,94,43.050954932289066,-89.51355336871266,1,1230111,5571,506006,EMPTY,D,30,2025-09-29,68700,114D,1230111,20250929 19:09,2011,,2025-09-29T19:09:31.379202
1-SPRECHER,False,83,43.09853443270044,-89.3108294367315,1,1230155,72951,506006,EMPTY,D,27,2025-09-29,65400,115C,1230155,20250929 19:09,107,,2025-09-29T19:09:31.379206
1-JUNCTION,False,277,43.053730146132644,-89.45431146580097,1,1230191,67219,506009,EMPTY,D,25,2025-09-29,66180,115D,1230191,20250929 19:09,2007,,2025-09-29T19:09:31.379207
2-AIRPORT,False,93,43.07209757978685,-89.40106929891627,1,1230156,70557,506338,HALF_EMPTY,D,0,2025-09-29,65820,122D,1230156,20250929 19:09,2203,,2025-09-29T19:09:31.379207
2-VERONA,False,180,43.110724019018015,-89.3639755,1,1230175,19323,506346,EMPTY,D,27,2025-09-29,68340,126D,1230175,20250929 19:09,1908,,2025-09-29T19:09:31.379208
2-VERONA,False,275,43.015795313594595,-89.49607469765952,1,1230220,80537,506346,EMPTY,D,30,2025-09-29,65160,121D,1230220,20250929 19:09,135,,2025-09-29T19:09:31.379209
2-EPIC CAMPUS,False,78,42.99689166666667,-89.56390000000002,1,1230174,110196,506350,EMPTY,D,0,2025-09-29,63360,124D,1230174,20250929 19:09,153,,2025-09-29T19:09:31.379209
JUNCTION,False,226,43.08751221648475,-89.36616391899322,1,1228599,43420,387,EMPTY,A,0,2025-09-29,67440,127A,1228599,20250929 19:09,2313,,2025-09-29T19:09:33.711775
JUNCTION,False,200,43.07210450540065,-89.4683594831544,1,1228643,74321,387,HALF_EMPTY,A,27,2025-09-29,65640,112A,1228643,20250929 19:09,2357,,2025-09-29T19:09:33.711779
2-AMERICAN CENTER,False,170,43.057693333333326,-89.52795833333333,1,1228586,58,414,EMPTY,A,0,2025-09-29,69060,122A,1228586,20250929 19:09,2305,,2025-09-29T19:09:33.711780
2-AMERICAN CENTER,False,91,43.07211409550029,-89.402430266064,1,1228581,39688,414,EMPTY,A,25,2025-09-29,67200,120A,1228581,20250929 19:09,2308,,2025-09-29T19:09:33.711780
2-AMERICAN CENTER,False,53,43.131206674311706,-89.30327000498006,1,1228580,78186,414,EMPTY,A,0,2025-09-29,65400,125A,1228580,20250929 19:09,2330,,2025-09-29T19:09:33.711781
1-SUN PRAIRIE VIA HIGH CROSSING,False,355,43.06753859019909,-89.46835031122605,1,1228550,19075,421,EMPTY,A,20,2025-09-29,68160,119A,1228550,20250929 19:09,2350,,2025-09-29T19:09:33.711782
1-SUN PRAIRIE VIA HIGH CROSSING,False,44,43.082148767876745,-89.37350473236357,1,1228533,49945,421,HALF_EMPTY,A,31,2025-09-29,66300,124A,1228533,20250929 19:09,2310,,2025-09-29T19:09:33.711782
1-SUN PRAIRIE VIA HIGH CROSSING,False,12,43.15682666666667,-89.26687666666666,1,1228549,95552,421,EMPTY,A,0,2025-09-29,64500,118A,1228549,20250929 19:09,2356,,2025-09-29T19:09:33.711783
JUNCTION VIA HIGH CROSSING,False,218,43.12355447455318,-89.31500071692837,1,1228653,23760,469,EMPTY,A,0,2025-09-29,68280,126A,1228653,20250929 19:09,2353,,2025-09-29T19:09:33.711783
JUNCTION VIA HIGH CROSSING,False,282,43.07343376070417,-89.43336539575778,1,1228642,65315,469,HALF_EMPTY,A,0,2025-09-29,66480,111A,1228642,20250929 19:09,2312,,2025-09-29T19:09:33.711784
JUNCTION VIA HIGH CROSSING,False,213,43.057963333333326,-89.527995,1,1228598,96630,469,EMPTY,A,0,2025-09-29,64680,113A,1228598,20250929 19:09,2315,,2025-09-29T19:09:33.711785
U.W. HOSPITAL,False,231,43.08451822982152,-89.36260104199638,1,1229780,32177,331,EMPTY,C,9,2025-09-29,67680,111D,1229780,20250929 19:09,131,,2025-09-29T19:09:36.026838
U.W. HOSPITAL,False,253,43.0732172773376,-89.39494905628052,1,1229816,41466,454,EMPTY,C,9,2025-09-29,66960,120C,1229816,20250929 19:09,1903,,2025-09-29T19:09:36.026842
U.W. HOSPITAL,False,269,43.084584624913326,-89.28913820754308,1,1229763,6858,508,EMPTY,C,30,2025-09-29,68760,114E,1229763,20250929 19:09,2009,,2025-09-29T19:09:36.026843
2-BUCKEYE,False,42,43.085625631746,-89.36093795670254,1,1229708,26998,506376,EMPTY,C,34,2025-09-29,66960,118C,1229708,20250929 19:09,2013,,2025-09-29T19:09:36.026843
1-SPRECHER,False,161,43.08569333333333,-89.26460333333334,1,1229742,56544,506377,EMPTY,C,0,2025-09-29,66060,117C,1229742,20250929 19:09,1912,,2025-09-29T19:09:36.026844
