des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,70,42.99729924237885,-89.5613993746418,1,1227604,714,504,EMPTY,55,30,2025-09-30,30600,13275,1227604,20250930 08:32,1914,,2025-09-30T08:32:34.975950
JUNCTION,False,305,43.054749996315536,-89.52109423867256,1,1227603,32336,504,EMPTY,55,0,2025-09-30,29700,13775,1227603,20250930 08:32,2324,,2025-09-30T08:32:34.975963
EPIC CAMPUS,False,181,43.04324191321285,-89.51799270597589,1,1227615,7464,512,HALF_EMPTY,55,38,2025-09-30,30420,13675,1227615,20250930 08:30,2012,,2025-09-30T08:32:34.975966
1-SPRECHER,False,47,43.05268533396821,-89.43554546484611,1,1230135,32010,506006,HALF_EMPTY,D,11,2025-09-30,29280,111C,1230135,20250930 08:32,153,,2025-09-30T08:32:37.655326
1-SPRECHER,False,158,43.10053760222711,-89.3490898038217,1,1230100,63098,506006,EMPTY,D,0,2025-09-30,27480,111D,1230100,20250930 08:32,131,,2025-09-30T08:32:37.655337
1-SPRECHER,False,149,43.08573833333333,-89.26460333333334,1,1230133,92704,506006,EMPTY,D,0,2025-09-30,25680,114D,1230133,20250930 08:32,134,,2025-09-30T08:32:37.655340
1-JUNCTION,False,223,43.1006927,-89.3539047,1,1230181,32252,506009,HALF_EMPTY,D,9,2025-09-30,29160,112D,1230181,20250930 08:32,2014,,2025-09-30T08:32:37.655342
1-JUNCTION,False,2,43.05334506662358,-89.45095907524714,1,1230199,66233,506009,EMPTY,D,5,2025-09-30,27360,115C,1230199,20250930 08:32,106,,2025-09-30T08:32:37.655344
1-JUNCTION,False,182,43.057661666666675,-89.52812,1,1230180,92411,506009,EMPTY,D,0,2025-09-30,25560,113D,1230180,20250930 08:32,152,,2025-09-30T08:32:37.655345
2-AIRPORT,False,31,43.02616203510623,-89.46614606812078,1,1230117,42069,506338,HALF_EMPTY,D,34,2025-09-30,29220,123D,1230117,20250930 08:32,1908,,2025-09-30T08:32:37.655347
2-AIRPORT,False,136,43.08212,-89.3795,1,1230136,77783,506338,EMPTY,D,13,2025-09-30,27420,126D,1230136,20250930 08:32,2206,,2025-09-30T08:32:37.655349
2-AIRPORT,False,3,43.13745666666667,-89.34654666666665,1,1230116,108209,506338,EMPTY,D,0,2025-09-30,25620,121D,1230116,20250930 08:25,113,,2025-09-30T08:32:37.655351
