des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,56,42.996855,-89.563863,1,1227608,0,504,EMPTY,55,0,2025-09-29,63900,18775,1227608,20250929 17:46,990,,2025-09-29T17:46:06.941491
EPIC CAMPUS,False,132,43.054398666201145,-89.52095482286985,1,1227619,2911,512,EMPTY,55,30,2025-09-29,63720,18575,1227619,20250929 17:46,983,,2025-09-29T17:46:06.941495
1-SPRECHER,False,92,43.050139941813995,-89.50410558738095,1,1230110,8169,506006,EMPTY,D,0,2025-09-29,63480,114E,1230110,20250929 17:45,2009,,2025-09-29T17:46:09.253027
1-SPRECHER,False,53,43.07233381484802,-89.39345059841233,1,1230153,46319,506006,HALF_EMPTY,D,3,2025-09-29,61620,113C,1230153,20250929 17:46,998,,2025-09-29T17:46:09.253031
1-SPRECHER,False,163,43.09938860588166,-89.26159340248432,1,1230109,85734,506006,EMPTY,D,6,2025-09-29,59820,115D,1230109,20250929 17:46,2007,,2025-09-29T17:46:09.253031
1-JUNCTION,False,358,43.086026412185866,-89.26662914897469,1,1230219,1227,506009,EMPTY,D,30,2025-09-29,63900,114D,1230219,20250929 17:45,2011,,2025-09-29T17:46:09.253032
1-JUNCTION,False,220,43.07959954682826,-89.38501589674297,1,1230190,43161,506009,EMPTY,D,10,2025-09-29,62040,112D,1230190,20250929 17:45,2214,,2025-09-29T17:46:09.253032
1-JUNCTION,False,178,43.051665620951944,-89.47365362810275,1,1230216,72996,506009,EMPTY,D,25,2025-09-29,60240,115C,1230216,20250929 17:45,107,,2025-09-29T17:46:09.253033
2-AIRPORT,False,76,42.993611531269615,-89.52055543212236,1,1230127,15503,506338,EMPTY,D,37,2025-09-29,63540,123D,1230127,20250929 17:46,134,,2025-09-29T17:46:09.253034
2-AIRPORT,False,43,43.04105437528414,-89.4474211209963,1,1230154,51992,506338,EMPTY,D,24,2025-09-29,61620,126D,1230154,20250929 17:46,1908,,2025-09-29T17:46:09.253034
2-AIRPORT,False,0,43.11637796361991,-89.36376,1,1230126,92153,506338,EMPTY,D,16,2025-09-29,59820,181D,1230126,20250929 17:46,989,,2025-09-29T17:46:09.253035
2-AIRPORT,True,6,43.13737833333333,-89.34654666666665,1,1230152,108209,506338,EMPTY,D,0,2025-09-29,58020,121D,1230152,20250929 17:46,135,,2025-09-29T17:46:09.253035
2-EPIC CAMPUS,False,182,43.11772,-89.36374,1,1230174,16966,506350,EMPTY,D,26,2025-09-29,63360,124D,1230174,20250929 17:46,153,,2025-09-29T17:46:09.253036
2-EPIC CAMPUS,False,229,43.06985228863751,-89.4094851776492,1,1230218,42308,506350,EMPTY,D,9,2025-09-29,61560,125D,1230218,20250929 17:45,991,,2025-09-29T17:46:09.253036
2-EPIC CAMPUS,False,180,43.007563527476165,-89.49899,1,1230173,85367,506350,EMPTY,D,4,2025-09-29,59640,122D,1230173,20250929 17:46,2203,,2025-09-29T17:46:09.253037
