des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,1,43.04228102280427,-89.51803930028916,1,1227608,27273,504,EMPTY,55,34,2025-09-29,63900,18775,1227608,20250929 18:00,990,,2025-09-29T18:00:25.291397
1-SPRECHER,False,78,43.05045683937331,-89.4486067321914,1,1230110,28330,506006,EMPTY,D,31,2025-09-29,63480,114E,1230110,20250929 18:00,2009,,2025-09-29T18:00:27.657922
1-SPRECHER,False,0,43.10069166666667,-89.34918833333334,1,1230153,63036,506006,EMPTY,D,105,2025-09-29,61620,113C,1230153,20250929 18:00,998,,2025-09-29T18:00:27.657926
1-SPRECHER,True,161,43.08560000000001,-89.26455833333333,1,1230109,92704,506006,EMPTY,D,0,2025-09-29,59820,115D,1230109,20250929 18:00,2007,,2025-09-29T18:00:27.657927
1-JUNCTION,False,272,43.10005478278214,-89.34272279436195,1,1230219,28314,506009,EMPTY,D,23,2025-09-29,63900,114D,1230219,20250929 18:00,2011,,2025-09-29T18:00:27.657927
1-JUNCTION,False,226,43.06712493821908,-89.41399773137587,1,1230190,53377,506009,FULL,D,15,2025-09-29,62040,112D,1230190,20250929 18:00,2214,,2025-09-29T18:00:27.657928
1-JUNCTION,False,270,43.05563740014568,-89.52707673009657,1,1230216,91337,506009,EMPTY,D,13,2025-09-29,60240,115C,1230216,20250929 18:00,107,,2025-09-29T18:00:27.657929
2-AIRPORT,False,27,43.023834025178004,-89.4710451552586,1,1230127,39678,506338,EMPTY,D,0,2025-09-29,63540,123D,1230127,20250929 18:00,134,,2025-09-29T18:00:27.657929
2-AIRPORT,False,92,43.07106768536119,-89.40730259346817,1,1230154,68474,506338,HALF_EMPTY,D,13,2025-09-29,61620,126D,1230154,20250929 18:00,1908,,2025-09-29T18:00:27.657930
2-AIRPORT,True,6,43.13738,-89.34654833333335,1,1230152,108209,506338,EMPTY,D,0,2025-09-29,58020,121D,1230152,20250929 18:00,135,,2025-09-29T18:00:27.657931
2-EPIC CAMPUS,False,226,43.074645295896715,-89.39191619620026,1,1230174,36130,506350,EMPTY,D,19,2025-09-29,63360,124D,1230174,20250929 18:00,153,,2025-09-29T18:00:27.657931
2-EPIC CAMPUS,False,240,43.03479,-89.45571,1,1230218,60830,506350,EMPTY,D,23,2025-09-29,61560,125D,1230218,20250929 18:00,991,,2025-09-29T18:00:27.657932
JUNCTION,False,224,43.10946503974258,-89.3356204176401,1,1228644,31905,387,EMPTY,A,31,2025-09-29,63780,122A,1228644,20250929 18:00,2305,,2025-09-29T18:00:29.988945
JUNCTION,False,252,43.073371463006445,-89.407528344124,1,1228627,56784,387,HALF_EMPTY,A,11,2025-09-29,61980,120A,1228627,20250929 18:00,2308,,2025-09-29T18:00:29.988948
2-AMERICAN CENTER,False,89,43.07526664840686,-89.45154230773826,1,1228579,26264,414,EMPTY,A,0,2025-09-29,63600,117A,1228579,20250929 18:00,2342,,2025-09-29T18:00:29.988949
2-AMERICAN CENTER,False,48,43.12059451849333,-89.3269846752659,1,1228578,69616,414,HALF_EMPTY,A,30,2025-09-29,61620,127A,1228578,20250929 18:00,2313,,2025-09-29T18:00:29.988950
1-SUN PRAIRIE VIA HIGH CROSSING,False,89,43.0605139287295,-89.51267872967975,1,1228549,5437,421,EMPTY,A,39,2025-09-29,64500,118A,1228549,20250929 18:00,2356,,2025-09-29T18:00:29.988950
1-SUN PRAIRIE VIA HIGH CROSSING,False,46,43.07338491692731,-89.39190695177639,1,1228532,42710,421,HALF_EMPTY,A,18,2025-09-29,62580,126A,1228532,20250929 18:00,2353,,2025-09-29T18:00:29.988951
1-SUN PRAIRIE VIA HIGH CROSSING,False,359,43.156799,-89.266988,1,1228548,95552,421,EMPTY,A,0,2025-09-29,60720,111A,1228548,20250929 18:00,2312,,2025-09-29T18:00:29.988952
JUNCTION VIA HIGH CROSSING,False,89,43.15690300016413,-89.26588509829197,1,1228598,366,469,EMPTY,A,7,2025-09-29,64680,113A,1228598,20250929 18:00,2315,,2025-09-29T18:00:29.988952
JUNCTION VIA HIGH CROSSING,False,227,43.08209080526527,-89.37374052319781,1,1228615,47723,469,HALF_EMPTY,A,0,2025-09-29,62820,119A,1228615,20250929 18:00,2350,,2025-09-29T18:00:29.988953
JUNCTION VIA HIGH CROSSING,False,269,43.06077032845654,-89.5025416903893,1,1228597,88380,469,EMPTY,A,32,2025-09-29,61020,121A,1228597,20250929 18:00,2359,,2025-09-29T18:00:29.988954
U.W. HOSPITAL,False,87,43.085433333333334,-89.26448166666665,1,1229800,153,454,EMPTY,C,0,2025-09-29,65040,112C,1229800,20250929 18:00,137,,2025-09-29T18:00:32.325536
U.W. HOSPITAL,False,224,43.07195092321743,-89.38235004953411,1,1229762,36946,454,EMPTY,C,17,2025-09-29,63240,118C,1229762,20250929 18:00,2013,,2025-09-29T18:00:32.325541
U.W. HOSPITAL,False,260,43.073358850734216,-89.41790375136347,1,1229812,47563,454,EMPTY,C,25,2025-09-29,62340,117C,1229812,20250929 18:00,1912,,2025-09-29T18:00:32.325541
2-BUCKEYE,False,136,43.06828748967937,-89.38832667615796,1,1229707,16622,506376,FULL,C,15,2025-09-29,63300,111D,1229707,20250929 18:00,131,,2025-09-29T18:00:32.325542
1-SPRECHER,False,86,43.072033242633346,-89.40327045751286,1,1229693,11711,506377,HALF_EMPTY,C,16,2025-09-29,64200,116C,1229693,20250929 18:00,111,,2025-09-29T18:00:32.325543
1-SPRECHER,False,114,43.09351092006087,-89.34034210368705,1,1229741,34122,506377,EMPTY,C,9,2025-09-29,62400,120C,1229741,20250929 18:00,1903,,2025-09-29T18:00:32.325543
1-SPRECHER,False,153,43.08575166666666,-89.26461833333333,1,1229727,56544,506377,EMPTY,C,0,2025-09-29,61440,114C,1229727,20250929 18:00,114,,2025-09-29T18:00:32.325544
CAPITOL SQUARE,False,89,43.031635300193756,-89.49896482352139,1,1230523,12221,506369,EMPTY,E,31,2025-09-29,64200,113E,1230523,20250929 18:00,2005,,2025-09-29T18:00:34.645643
CAPITOL SQUARE,False,92,43.06765614127162,-89.40029977568395,1,1230533,54886,506369,EMPTY,E,17,2025-09-29,62340,111E,1230533,20250929 18:00,147,,2025-09-29T18:00:34.645647
MCKEE,False,224,43.07295333693624,-89.38683579303222,1,1230564,1579,506370,EMPTY,E,7,2025-09-29,64560,181E,1230564,20250929 18:00,2004,,2025-09-29T18:00:34.645647
MCKEE,False,181,43.04503094806659,-89.47369168325358,1,1230554,37712,506370,EMPTY,E,24,2025-09-29,62760,117E,1230554,20250929 18:00,2201,,2025-09-29T18:00:34.645648
EPIC CAMPUS,False,268,43.01549876005296,-89.45385595390478,1,1227765,34248,1252,EMPTY,75,23,2025-09-29,63480,18375,1227765,20250929 18:00,2328,,2025-09-29T18:00:36.966605
CAPITOL SQUARE,False,179,42.99691333333333,-89.56378500000001,1,1227744,27,1274,EMPTY,75,0,2025-09-29,65100,18575,1227744,20250929 18:00,983,,2025-09-29T18:00:36.966609
CAPITOL SQUARE,False,31,43.02598221175009,-89.41301225878114,1,1227743,52514,1274,HALF_EMPTY,75,30,2025-09-29,63300,18275,1227743,20250929 18:00,985,,2025-09-29T18:00:36.966610
CAPITOL SQUARE,False,46,43.06487154532244,-89.39800970228892,1,1227742,68113,1274,EMPTY,75,27,2025-09-29,62400,18675,1227742,20250929 18:00,2307,,2025-09-29T18:00:36.966611
