des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA EAGLE HEIGHTS,False,210,43.07665448874723,-89.40228751816827,1,1228079,873,386,FULL,80,9,2025-11-15,76500,6180,1228079,20251115 21:14,119,,2025-11-15T21:14:57.939012,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,0,43.0757942131542,-89.4006012485141,1,1228387,22549,444,EMPTY,81,153,2025-11-15,74100,6181,1228387,20251115 21:14,998,,2025-11-15T21:15:00.025061,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,90,43.07590666666667,-89.40020666666666,1,1228455,22115,335,EMPTY,82,0,2025-11-15,75000,6182,1228455,20251115 21:14,996,,2025-11-15T21:15:02.105064,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
