des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA EAGLE HEIGHTS,False,271,43.07591000000001,-89.40022833333333,1,1228078,41436,386,EMPTY,80,0,2025-11-15,73800,6180,1228078,20251115 21:07,119,,2025-11-15T21:08:02.676037,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,315,43.06956019543537,-89.38652419619923,1,1228387,16959,444,EMPTY,81,3,2025-11-15,74100,6181,1228387,20251115 21:07,998,,2025-11-15T21:08:04.728271,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,1,43.06964550418135,-89.40082309494522,1,1228455,18211,335,EMPTY,82,22,2025-11-15,75000,6182,1228455,20251115 21:07,996,,2025-11-15T21:08:06.764101,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
