des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
EPIC CAMPUS,False,270,43.01580000079016,-89.49880539652844,1,1227761,46328,1252,EMPTY,75,13,2025-11-06,55680,18175,1227761,20251106 15:53,1905,,2025-11-06T15:53:40.124470,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST MAIN,False,7,43.17163039202619,-89.26491282994138,1,1232972,6353,394,EMPTY,W,20,2025-11-06,57000,111S,1232972,20251106 15:53,1904,,2025-11-06T15:53:50.791852,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
BROOKS,False,181,43.059299259927194,-89.5029118847266,1,1231773,2024,506535,EMPTY,J,19,2025-11-06,57000,119G,1231773,20251106 15:53,2201,,2025-11-06T15:53:53.044621,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
BROOKS,False,12,43.07248666666666,-89.40055166666667,1,1231789,44990,506535,EMPTY,J,0,2025-11-06,55200,113G,1231789,20251106 15:53,134,,2025-11-06T15:53:53.044621,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,224,43.06470793179561,-89.43357470763586,1,1231804,17539,506536,FULL,J,23,2025-11-06,56100,116G,1231804,20251106 15:53,2007,,2025-11-06T15:53:53.044621,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
SOUTH TRANSFER,False,180,43.048227606818045,-89.50317110662348,1,1231425,6590,350,FULL,H,31,2025-11-06,56880,112G,1231425,20251106 15:53,130,,2025-11-06T15:53:55.365891,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
SOUTH TRANSFER,False,41,43.03149779817369,-89.40890994634347,1,1231424,49723,350,EMPTY,H,20,2025-11-06,55080,114G,1231424,20251106 15:53,2215,,2025-11-06T15:53:55.365891,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,94,43.03547970378671,-89.45603955003436,1,1231462,25886,400,EMPTY,H,24,2025-11-06,56100,120G,1231462,20251106 15:53,132,,2025-11-06T15:53:55.365891,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
DOWNTOWN S.P.,False,181,43.18149599054977,-89.2647609109999,1,1232887,52639,436,EMPTY,S,0,2025-11-06,55500,112S,1232887,20251106 15:53,2214,,2025-11-06T15:53:57.665647,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,181,43.07263022848203,-89.40574871031399,1,1227728,8665,489,FULL,65,15,2025-11-06,56400,18165,1227728,20251106 15:53,141,,2025-11-06T15:53:59.972567,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
2-EPIC CAMPUS,False,223,43.03714997439788,-89.45269135010086,1,1230214,59168,1302,EMPTY,D,0,2025-11-06,54240,181D,1230214,20251106 15:53,143,,2025-11-06T15:54:02.226797,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
2-EPIC CAMPUS,False,0,42.996875,-89.56392666666667,1,1230171,109749,1302,HALF_EMPTY,D,0,2025-11-06,52440,121D,1230171,20251106 15:53,110,,2025-11-06T15:54:02.226797,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-SPRECHER,False,97,43.04635260193789,-89.47523331602369,1,1230108,17302,506006,EMPTY,D,22,2025-11-06,56220,112D,1230108,20251106 15:53,1911,,2025-11-06T15:54:02.226797,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
