des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
1-SUN PRAIRIE VIA HIGH CROSSING,False,44,43.112795159643454,-89.33087046954141,1,1228778,66100,506161,EMPTY,A,13,2025-09-28,39600,311A,1228778,20250928 11:49,2305,,2025-09-28T11:49:31.286504
2-AMERICAN CENTER VIA HIGH CROSSING,False,88,43.0752664310363,-89.45158956836917,1,1228794,26153,506162,HALF_EMPTY,A,2,2025-09-28,41400,313A,1228794,20250928 11:49,2303,,2025-09-28T11:49:31.286509
JUNCTION VIA HIGH CROSSING,False,225,43.082358498821,-89.37346922332569,1,1228832,47397,506168,EMPTY,A,21,2025-09-28,41220,314A,1228832,20250928 11:49,2315,,2025-09-28T11:49:31.286510
JUNCTION VIA HIGH CROSSING,False,265,43.07335778858944,-89.39952642912992,1,1228815,57533,506367,EMPTY,A,1,2025-09-28,39360,312A,1228815,20250928 11:49,2308,,2025-09-28T11:49:31.286511
EAST TOWNE,False,29,43.03553124258348,-89.38241463464645,1,1231198,14440,373,EMPTY,G,24,2025-09-28,42000,312G,1231198,20250928 11:49,132,,2025-09-28T11:49:33.555759
EAST TOWNE,False,330,43.10994805521485,-89.31725282036324,1,1231197,62930,373,EMPTY,G,33,2025-09-28,40200,315G,1231197,20250928 11:49,2013,,2025-09-28T11:49:33.555763
SOUTH TRANSFER,False,181,43.06847596865942,-89.31436287704871,1,1231234,37793,505531,EMPTY,G,27,2025-09-28,41220,313G,1231234,20250928 11:49,148,,2025-09-28T11:49:33.555764
SOUTH TRANSFER,False,36,43.0388947,-89.39482,1,1231233,88193,505531,EMPTY,G,8,2025-09-28,39420,311G,1231233,20250928 11:49,138,,2025-09-28T11:49:33.555765
2-SOUTH RIDGE,False,270,43.113085,-89.47201166666667,1,1232718,41385,490,EMPTY,R,0,2025-09-28,41040,313C,1232718,20250928 11:49,1907,,2025-09-28T11:49:35.824592
U.W. HOSPITAL,False,80,43.074946639710525,-89.51849338390687,1,1232702,13098,516,EMPTY,R,10,2025-09-28,41880,311C,1232702,20250928 11:49,110,,2025-09-28T11:49:35.824597
1-JUNCTION,False,53,43.076605,-89.42912333333334,1,1232734,68,528,EMPTY,R,0,2025-09-28,42840,315C,1232734,20250928 11:49,106,,2025-09-28T11:49:35.824598
