des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
NORTHPORT,False,53,43.01941,-89.42119666666667,1,1229065,6,506303,EMPTY,B,0,2025-09-24,67200,162B,1229065,20250924 18:37,2354,,2025-09-24T18:37:10.060464
NORTHPORT,False,3,43.04135148755267,-89.3938265680196,1,1229097,13233,506303,EMPTY,B,20,2025-09-24,66300,155B,1229097,20250924 18:37,2312,,2025-09-24T18:37:10.060469
NORTHPORT,False,317,43.07598607943487,-89.38188048320293,1,1229064,32355,506303,EMPTY,B,0,2025-09-24,65400,161B,1229064,20250924 18:37,2343,,2025-09-24T18:37:10.060470
NORTHPORT,False,53,43.092261231851865,-89.35911977043597,1,1229096,40827,506303,EMPTY,B,18,2025-09-24,64500,154B,1229096,20250924 18:37,2307,,2025-09-24T18:37:10.060471
NORTHPORT,False,271,43.13374833333334,-89.37327666666667,1,1229063,61474,506303,EMPTY,B,0,2025-09-24,63480,160B,1229063,20250924 18:37,2337,,2025-09-24T18:37:10.060472
FITCHBURG-CADDIS,False,196,43.11366296171352,-89.3550459303166,1,1229162,26722,506304,EMPTY,B,15,2025-09-24,66240,159B,1229162,20250924 18:36,2304,,2025-09-24T18:37:10.060472
FITCHBURG-CADDIS,False,311,43.07746857755063,-89.38393043134164,1,1229128,45706,506304,EMPTY,B,9,2025-09-24,65340,158B,1229128,20250924 18:37,2341,,2025-09-24T18:37:10.060473
FITCHBURG-CADDIS,False,165,43.054351997585535,-89.39692510633489,1,1229161,58063,506304,EMPTY,B,21,2025-09-24,64440,157B,1229161,20250924 18:36,2328,,2025-09-24T18:37:10.060473
FITCHBURG-CADDIS,False,228,43.02649784585086,-89.41289231306693,1,1229159,72295,506304,EMPTY,B,31,2025-09-24,63480,156B,1229159,20250924 18:37,2330,,2025-09-24T18:37:10.060474
JUNCTION,False,219,43.099954201216605,-89.34917374435379,1,1228643,36806,505924,EMPTY,A,1,2025-09-24,65640,112A,1228643,20250924 18:37,2361,,2025-09-24T18:37:12.485931
