des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
CAPITOL SQUARE,False,0,43.032249961957675,-89.47671,1,1230523,18265,506369,EMPTY,E,0,2025-10-02,64200,113E,1230523,20251002 18:07,1908,,2025-10-02T18:07:47.030204
MCKEE,False,272,43.06785915780189,-89.40813630276703,1,1230564,8085,506370,EMPTY,E,0,2025-10-02,64560,181E,1230564,20251002 18:07,983,,2025-10-02T18:07:47.030208
MCKEE,False,270,43.03199000007376,-89.48286341567064,1,1230554,44546,506370,EMPTY,E,24,2025-10-02,62760,117E,1230554,20251002 18:07,2013,,2025-10-02T18:07:47.030209
U.W. HOSPITAL,False,229,43.08149871859167,-89.3652226790106,1,1229779,33777,331,EMPTY,C,0,2025-10-02,63960,119C,1229779,20251002 18:07,2014,,2025-10-02T18:07:49.420784
U.W. HOSPITAL,False,322,43.07306448305563,-89.39096387284926,1,1229762,40154,454,EMPTY,C,7,2025-10-02,63240,118C,1229762,20251002 18:07,1909,,2025-10-02T18:07:49.420790
U.W. HOSPITAL,False,285,43.073569061605866,-89.43330926321286,1,1229812,51998,454,EMPTY,C,0,2025-10-02,62340,117C,1229812,20251002 18:07,131,,2025-10-02T18:07:49.420791
2-BUCKEYE,False,58,43.08095517517449,-89.36557757208308,1,1229707,24636,506387,EMPTY,C,13,2025-10-02,63300,111D,1229707,20251002 18:07,150,,2025-10-02T18:07:49.420793
1-SPRECHER,False,93,43.07195483465014,-89.39585635841402,1,1229693,13636,506388,HALF_EMPTY,C,17,2025-10-02,64200,116C,1229693,20251002 18:07,988,,2025-10-02T18:07:49.420794
1-SPRECHER,False,96,43.08391705007227,-89.31482078677175,1,1229741,42559,506388,EMPTY,C,24,2025-10-02,62400,120C,1229741,20251002 18:07,2011,,2025-10-02T18:07:49.420795
1-SPRECHER,False,153,43.085858333333334,-89.264665,1,1229727,56536,506388,EMPTY,C,0,2025-10-02,61440,114C,1229727,20251002 18:07,100,,2025-10-02T18:07:49.420797
1-SPRECHER,True,163,43.085689840795794,-89.26461913334371,1,1229692,56544,506388,EMPTY,C,0,2025-10-02,60540,112C,1229692,20251002 18:07,114,,2025-10-02T18:07:49.420798
DEMPSEY,False,167,43.07549260267698,-89.43412065773781,1,1229728,2602,506389,EMPTY,C,20,2025-10-02,65100,111C,1229728,20251002 18:07,147,,2025-10-02T18:07:49.420799
CAPITOL SQUARE VIA MIDDLETON,False,295,43.102169782832824,-89.51177776087688,1,1230733,28623,506312,EMPTY,F,10,2025-10-02,64020,115A,1230733,20251002 18:07,2337,,2025-10-02T18:07:51.849878
CAPITOL SQUARE VIA MIDDLETON,False,85,43.07197373617716,-89.3983470028163,1,1230732,72118,506312,EMPTY,F,16,2025-10-02,62100,123A,1230732,20251002 18:07,2309,,2025-10-02T18:07:51.849882
JUNCTION VIA MIDDLETON,False,271,43.0754086381047,-89.45089220742686,1,1230769,18070,506314,EMPTY,F,23,2025-10-02,64200,151A,1230769,20251002 18:07,2317,,2025-10-02T18:07:51.849883
JUNCTION VIA MIDDLETON,False,133,43.0982917425014,-89.52297827220126,1,1230768,55923,506314,EMPTY,F,9,2025-10-02,62400,114A,1230768,20251002 18:07,2354,,2025-10-02T18:07:51.849893
EAGLE HEIGHTS VIA U.W. CAMPUS,False,268,43.07709138003024,-89.42843048768793,1,1228517,24328,462,EMPTY,84,15,2025-10-02,63840,4184,1228517,20251002 18:07,986,,2025-10-02T18:07:54.347810
EPIC CAMPUS,False,268,43.015490082677424,-89.45441272983314,1,1227765,34398,1252,EMPTY,75,0,2025-10-02,63480,18375,1227765,20251002 18:07,2324,,2025-10-02T18:07:56.821813
CAPITOL SQUARE,False,165,42.9876290918332,-89.55846845504757,1,1227744,4856,1274,EMPTY,75,8,2025-10-02,65100,18575,1227744,20251002 18:07,152,,2025-10-02T18:07:56.821817
CAPITOL SQUARE,False,330,43.0590873001769,-89.40047941072018,1,1227743,65693,1274,HALF_EMPTY,75,22,2025-10-02,63300,18275,1227743,20251002 18:07,997,,2025-10-02T18:07:56.821818
1-SPRECHER,False,180,43.057491666666664,-89.52809666666666,1,1230155,120,506006,EMPTY,D,0,2025-10-02,65400,115C,1230155,20251002 18:07,118,,2025-10-02T18:07:59.312244
1-SPRECHER,False,47,43.06769895527791,-89.41288626654446,1,1230110,40138,506006,EMPTY,D,8,2025-10-02,63480,114E,1230110,20251002 18:07,2010,,2025-10-02T18:07:59.312248
1-SPRECHER,False,94,43.0997467,-89.3363,1,1230153,66401,506006,EMPTY,D,22,2025-10-02,61620,113C,1230153,20251002 18:07,125,,2025-10-02T18:07:59.312249
1-JUNCTION,False,224,43.10086018428323,-89.35369121951238,1,1230219,32168,506009,EMPTY,D,23,2025-10-02,63900,114D,1230219,20251002 18:07,2015,,2025-10-02T18:07:59.312249
1-JUNCTION,False,268,43.053726759475644,-89.46564326618167,1,1230190,70206,506009,EMPTY,D,20,2025-10-02,62040,112D,1230190,20251002 18:07,116,,2025-10-02T18:07:59.312250
2-AIRPORT,False,64,43.033645473158074,-89.45563032164696,1,1230127,48197,506338,EMPTY,D,0,2025-10-02,63540,123D,1230127,20251002 18:07,111,,2025-10-02T18:07:59.312251
2-AIRPORT,False,43,43.086880269750715,-89.3727641831659,1,1230154,80281,506338,HALF_EMPTY,D,0,2025-10-02,61620,126D,1230154,20251002 18:07,1903,,2025-10-02T18:07:59.312251
2-AIRPORT,True,0,43.138104554665816,-89.34638,1,1230152,108209,506338,EMPTY,D,23,2025-10-02,58020,121D,1230152,20251002 18:07,132,,2025-10-02T18:07:59.312252
2-EPIC CAMPUS,False,231,43.0680962,-89.41235,1,1230174,43306,506350,EMPTY,D,0,2025-10-02,63360,124D,1230174,20251002 18:07,145,,2025-10-02T18:07:59.312252
2-EPIC CAMPUS,False,243,43.01912505005956,-89.47357650533588,1,1230218,72116,506350,EMPTY,D,1,2025-10-02,61560,125D,1230218,20251002 18:07,999,,2025-10-02T18:07:59.312253
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,0,43.076046548156356,-89.41269957974087,1,1227977,4424,369,EMPTY,80,13,2025-10-02,64920,4284,1227977,20251002 18:07,989,,2025-10-02T18:08:01.810212
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,163,43.080601473588366,-89.42823575845894,1,1227976,24863,369,EMPTY,80,25,2025-10-02,64020,7580,1227976,20251002 18:07,2322,,2025-10-02T18:08:01.810215
MEMORIAL UNION VIA EAGLE HEIGHTS,False,277,43.075888333333324,-89.40006666666667,1,1227982,1,506364,EMPTY,80,0,2025-10-02,65340,8180,1227982,20251002 18:07,136,,2025-10-02T18:08:01.810216
MEMORIAL UNION VIA EAGLE HEIGHTS,False,344,43.08225252899124,-89.4283835300571,1,1227954,11541,506364,HALF_EMPTY,80,32,2025-10-02,64440,1380,1227954,20251002 18:07,155,,2025-10-02T18:08:01.810217
MEMORIAL UNION VIA EAGLE HEIGHTS,False,180,43.0741335536693,-89.40628,1,1227953,33823,506364,HALF_EMPTY,80,26,2025-10-02,63540,1280,1227953,20251002 18:07,138,,2025-10-02T18:08:01.810217
MEMORIAL UNION VIA EAGLE HEIGHTS,False,278,43.075891666666664,-89.40034499999999,1,1227952,41229,506364,EMPTY,80,0,2025-10-02,62640,1180,1227952,20251002 18:07,134,,2025-10-02T18:08:01.810218
FITCHBURG,False,136,43.068344811754486,-89.38856889189357,1,1227731,14326,506381,EMPTY,65,0,2025-10-02,63780,18265,1227731,20251002 18:07,104,,2025-10-02T18:08:04.274717
FITCHBURG,False,272,43.00125333333334,-89.42617333333334,1,1227734,57013,506381,EMPTY,65,17,2025-10-02,61980,18165,1227734,20251002 18:07,2207,,2025-10-02T18:08:04.274721
JUNCTION,False,286,43.057628333333334,-89.52809666666666,1,1227608,34997,504,EMPTY,55,0,2025-10-02,63900,18775,1227608,20251002 18:07,133,,2025-10-02T18:08:06.758011
JUNCTION,False,222,43.096294,-89.353949,1,1228644,38822,387,HALF_EMPTY,A,0,2025-10-02,63780,122A,1228644,20251002 18:08,2302,,2025-10-02T18:08:09.264953
JUNCTION,False,274,43.072851520428,-89.46013450417988,1,1228627,71830,387,HALF_EMPTY,A,28,2025-10-02,61980,120A,1228627,20251002 18:07,2325,,2025-10-02T18:08:09.264959
2-AMERICAN CENTER,False,173,43.057694999999995,-89.527995,1,1228580,56,414,EMPTY,A,0,2025-10-02,65400,125A,1228580,20251002 18:08,2342,,2025-10-02T18:08:09.264961
2-AMERICAN CENTER,False,54,43.0722620824078,-89.39354393719135,1,1228579,42108,414,HALF_EMPTY,A,7,2025-10-02,63600,117A,1228579,20251002 18:08,2327,,2025-10-02T18:08:09.264963
2-AMERICAN CENTER,False,42,43.13321566979131,-89.30083586771343,1,1228578,79111,414,EMPTY,A,31,2025-10-02,61620,127A,1228578,20251002 18:08,2350,,2025-10-02T18:08:09.264964
1-SUN PRAIRIE VIA HIGH CROSSING,False,84,43.060831805317896,-89.47855263319093,1,1228549,14591,421,EMPTY,A,25,2025-10-02,64500,118A,1228549,20251002 18:07,2306,,2025-10-02T18:08:09.264965
1-SUN PRAIRIE VIA HIGH CROSSING,False,39,43.15457535175123,-89.27507314897726,1,1228548,90524,421,EMPTY,A,64,2025-10-02,60720,111A,1228548,20251002 18:07,2326,,2025-10-02T18:08:09.264966
JUNCTION VIA HIGH CROSSING,False,312,43.131495267500576,-89.3026389267412,1,1228598,19254,469,EMPTY,A,0,2025-10-02,64680,113A,1228598,20251002 18:08,2315,,2025-10-02T18:08:09.264967
JUNCTION VIA HIGH CROSSING,False,277,43.07344325944888,-89.40706349012409,1,1228615,58154,469,EMPTY,A,10,2025-10-02,62820,119A,1228615,20251002 18:07,2307,,2025-10-02T18:08:09.264968
JUNCTION VIA HIGH CROSSING,False,169,43.05795499999999,-89.52798333333334,1,1228597,96630,469,EMPTY,A,0,2025-10-02,61020,121A,1228597,20251002 18:08,2323,,2025-10-02T18:08:09.264969
FITCHBURG-CADDIS,False,271,43.13374333333333,-89.37326166666665,1,1229128,18,1278,EMPTY,B,0,2025-10-02,65340,158B,1229128,20251002 18:08,2312,,2025-10-02T18:08:11.751813
FITCHBURG-CADDIS,False,178,43.12164408235744,-89.3551044644742,1,1229161,23838,1278,EMPTY,B,32,2025-10-02,64440,157B,1229161,20251002 18:07,2362,,2025-10-02T18:08:11.751819
FITCHBURG-CADDIS,False,227,43.07604190212245,-89.38446719850153,1,1229159,46123,1278,EMPTY,B,11,2025-10-02,63480,156B,1229159,20251002 18:08,2358,,2025-10-02T18:08:11.751821
FITCHBURG-CADDIS,False,146,43.05146368108706,-89.39481858181776,1,1229163,59302,1278,HALF_EMPTY,B,0,2025-10-02,62580,162B,1229163,20251002 18:08,2310,,2025-10-02T18:08:11.751822
FITCHBURG-CADDIS,False,271,43.0386095342527,-89.4036613857358,1,1229127,67186,1278,EMPTY,B,22,2025-10-02,61680,155B,1229127,20251002 18:08,2330,,2025-10-02T18:08:11.751823
NORTHPORT,False,52,43.01953166666667,-89.42100666666666,1,1229064,73,1280,EMPTY,B,5,2025-10-02,65400,161B,1229064,20251002 18:08,2359,,2025-10-02T18:08:11.751825
NORTHPORT,False,3,43.04529701812823,-89.39395050088345,1,1229096,14758,1280,EMPTY,B,30,2025-10-02,64500,154B,1229096,20251002 18:08,2318,,2025-10-02T18:08:11.751826
NORTHPORT,False,91,43.07475361427199,-89.38773615480459,1,1229063,28943,1280,EMPTY,B,18,2025-10-02,63480,160B,1229063,20251002 18:08,2301,,2025-10-02T18:08:11.751827
NORTHPORT,False,352,43.11600795816137,-89.35475570375961,1,1229095,51134,1280,EMPTY,B,45,2025-10-02,62460,159B,1229095,20251002 18:08,2313,,2025-10-02T18:08:11.751828
