des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,89,43.03119594994437,-89.55147611601136,1,1227603,15222,504,EMPTY,55,33,2025-09-30,29700,13775,1227603,20250930 08:22,2324,,2025-09-30T08:22:03.940352
JUNCTION,False,180,43.05750333333334,-89.52811666666666,1,1227602,34954,504,EMPTY,55,0,2025-09-30,28500,13675,1227602,20250930 08:21,2012,,2025-09-30T08:22:03.940359
1-SPRECHER,False,357,43.04714727048959,-89.47339847594374,1,1230135,18277,506006,HALF_EMPTY,D,0,2025-09-30,29280,111C,1230135,20250930 08:22,153,,2025-09-30T08:22:06.483176
1-SPRECHER,False,44,43.07862161912468,-89.38440729276881,1,1230100,49671,506006,EMPTY,D,6,2025-09-30,27480,111D,1230100,20250930 08:21,131,,2025-09-30T08:22:06.483183
1-SPRECHER,False,180,43.0860304365379,-89.26685,1,1230133,91750,506006,EMPTY,D,13,2025-09-30,25680,114D,1230133,20250930 08:22,134,,2025-09-30T08:22:06.483185
1-JUNCTION,False,270,43.0983300000249,-89.32195164414729,1,1230181,22992,506009,HALF_EMPTY,D,0,2025-09-30,29160,112D,1230181,20250930 08:22,2014,,2025-09-30T08:22:06.483186
1-JUNCTION,False,272,43.07109340390464,-89.40878900438199,1,1230199,51358,506009,EMPTY,D,0,2025-09-30,27360,115C,1230199,20250930 08:21,106,,2025-09-30T08:22:06.483188
1-JUNCTION,False,182,43.05766333333333,-89.52811666666666,1,1230180,92467,506009,EMPTY,D,0,2025-09-30,25560,113D,1230180,20250930 08:22,152,,2025-09-30T08:22:06.483189
2-AIRPORT,False,91,43.007669048589,-89.49893266917556,1,1230117,24799,506338,EMPTY,D,0,2025-09-30,29220,123D,1230117,20250930 08:21,1908,,2025-09-30T08:22:06.483190
2-AIRPORT,False,356,43.07070759595744,-89.40899280221178,1,1230136,67878,506338,HALF_EMPTY,D,4,2025-09-30,27420,126D,1230136,20250930 08:21,2206,,2025-09-30T08:22:06.483192
2-AIRPORT,False,90,43.128811666666664,-89.34883166666665,1,1230116,104921,506338,EMPTY,D,15,2025-09-30,25620,121D,1230116,20250930 08:21,113,,2025-09-30T08:22:06.483193
2-EPIC CAMPUS,False,180,43.112560624552415,-89.36379,1,1230200,18848,506350,HALF_EMPTY,D,17,2025-09-30,28860,124D,1230200,20250930 08:21,1907,,2025-09-30T08:22:06.483194
2-EPIC CAMPUS,False,222,43.03732732449824,-89.45243284658484,1,1230164,59554,506350,EMPTY,D,4,2025-09-30,27060,125D,1230164,20250930 08:22,2211,,2025-09-30T08:22:06.483195
2-EPIC CAMPUS,False,258,42.99362832843489,-89.52173301546452,1,1230198,94885,506350,EMPTY,D,34,2025-09-30,25500,122D,1230198,20250930 08:22,1903,,2025-09-30T08:22:06.483197
JUNCTION,False,221,43.1401187571502,-89.29260854377907,1,1228624,13742,387,EMPTY,A,60,2025-09-30,29580,117A,1228624,20250930 08:22,2358,,2025-09-30T08:22:08.981097
JUNCTION,False,270,43.07333891492516,-89.4055672523495,1,1228620,56252,387,HALF_EMPTY,A,28,2025-09-30,27720,115A,1228620,20250930 08:21,2339,,2025-09-30T08:22:08.981114
JUNCTION,False,161,43.05796,-89.52799666666667,1,1228640,95108,387,EMPTY,A,0,2025-09-30,25860,127A,1228640,20250930 08:21,2325,,2025-09-30T08:22:08.981117
2-AMERICAN CENTER,False,0,43.06995411876635,-89.46834162801719,1,1228560,19962,414,HALF_EMPTY,A,31,2025-09-30,29280,116A,1228560,20250930 08:21,2327,,2025-09-30T08:22:08.981120
2-AMERICAN CENTER,False,45,43.0964553696968,-89.35359233146619,1,1228559,57382,414,HALF_EMPTY,A,7,2025-09-30,27540,122A,1228559,20250930 08:22,2310,,2025-09-30T08:22:08.981122
1-SUN PRAIRIE VIA HIGH CROSSING,False,173,43.05743333333333,-89.52798333333334,1,1228523,235,421,EMPTY,A,0,2025-09-30,30180,126A,1228523,20250930 08:22,2320,,2025-09-30T08:22:08.981124
1-SUN PRAIRIE VIA HIGH CROSSING,False,85,43.07400336289495,-89.41851546872498,1,1228539,35213,421,FULL,A,42,2025-09-30,28380,111A,1228539,20250930 08:22,2301,,2025-09-30T08:22:08.981126
1-SUN PRAIRIE VIA HIGH CROSSING,False,45,43.11906668823583,-89.32086879202726,1,1228522,71686,421,EMPTY,A,0,2025-09-30,26700,113A,1228522,20250930 08:22,2342,,2025-09-30T08:22:08.981128
1-SUN PRAIRIE VIA HIGH CROSSING,True,9,43.15685499999999,-89.26689833333333,1,1228538,95552,421,EMPTY,A,0,2025-09-30,24900,119A,1228538,20250930 08:21,2338,,2025-09-30T08:22:08.981130
JUNCTION VIA HIGH CROSSING,False,224,43.099566657053785,-89.34964989987856,1,1228588,38682,469,FULL,A,24,2025-09-30,28680,121A,1228588,20250930 08:21,2347,,2025-09-30T08:22:08.981132
JUNCTION VIA HIGH CROSSING,False,263,43.072933202256635,-89.45790923461675,1,1228605,72754,469,HALF_EMPTY,A,30,2025-09-30,26700,118A,1228605,20250930 08:22,2317,,2025-09-30T08:22:08.981134
U.W. HOSPITAL,False,315,43.07018660582381,-89.38712580965962,1,1229769,41231,331,FULL,C,0,2025-09-30,27600,116C,1229769,20250930 08:22,2215,,2025-09-30T08:22:11.463066
U.W. HOSPITAL,False,281,43.083924706621104,-89.3163973451697,1,1229803,14034,454,EMPTY,C,16,2025-09-30,29580,117C,1229803,20250930 08:21,2205,,2025-09-30T08:22:11.463073
U.W. HOSPITAL,False,211,43.08897475060828,-89.35774766502765,1,1229790,27521,454,HALF_EMPTY,C,18,2025-09-30,28680,113C,1229790,20250930 08:22,2013,,2025-09-30T08:22:11.463075
U.W. HOSPITAL,False,277,43.07216495561367,-89.42839530583879,1,1229752,50398,454,HALF_EMPTY,C,0,2025-09-30,27060,115D,1229752,20250930 08:22,2009,,2025-09-30T08:22:11.463076
2-BUCKEYE,False,95,43.09384340884157,-89.34425614128062,1,1229698,33044,506376,EMPTY,C,30,2025-09-30,27900,119C,1229698,20250930 08:21,130,,2025-09-30T08:22:11.463077
1-SPRECHER,False,82,43.07318568255907,-89.4178573866784,1,1229717,7714,506377,HALF_EMPTY,C,16,2025-09-30,29580,114C,1229717,20250930 08:22,126,,2025-09-30T08:22:11.463079
1-SPRECHER,False,45,43.07221688886454,-89.38356204670653,1,1229683,18781,506377,EMPTY,C,23,2025-09-30,28800,112C,1229683,20250930 08:22,2007,,2025-09-30T08:22:11.463080
1-SPRECHER,False,86,43.08573666666666,-89.26460833333334,1,1229731,56544,506377,EMPTY,C,0,2025-09-30,27000,118C,1229731,20250930 08:22,133,,2025-09-30T08:22:11.463081
