des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,24,43.08999535449626,-89.43687625041655,1,1227976,18862,369,EMPTY,80,15,2025-11-06,64020,7580,1227976,20251106 18:02,2356,,2025-11-06T18:02:58.141405,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,181,43.075158381039806,-89.40999934215671,1,1227954,3400,506364,FULL,80,0,2025-11-06,64440,1380,1227954,20251106 18:02,115,,2025-11-06T18:02:58.141405,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,198,43.07556345729365,-89.4127634593708,1,1227953,31587,506364,HALF_EMPTY,80,15,2025-11-06,63540,1280,1227953,20251106 18:02,124,,2025-11-06T18:02:58.141405,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,89,43.07095000011837,-89.40006832328702,1,1227952,38015,506364,HALF_EMPTY,80,17,2025-11-06,62640,1180,1227952,20251106 18:02,102,,2025-11-06T18:02:58.141405,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,271,43.07581223842432,-89.39745859812683,1,1227951,40507,506364,EMPTY,80,27,2025-11-06,61680,4284,1227951,20251106 18:02,995,,2025-11-06T18:02:58.141405,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,86,43.096847272442105,-89.51196659883209,1,1230733,27267,433,EMPTY,F,13,2025-11-06,64020,115A,1230733,20251106 18:02,2360,,2025-11-06T18:03:00.513261,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,92,43.07523268615322,-89.44318219957344,1,1230732,60742,433,EMPTY,F,0,2025-11-06,62100,123A,1230732,20251106 18:02,2351,,2025-11-06T18:03:00.513261,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,265,43.07406708680069,-89.41886277676109,1,1230769,9459,486,EMPTY,F,42,2025-11-06,64200,151A,1230769,20251106 18:02,2328,,2025-11-06T18:03:00.513261,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,181,43.09691736975527,-89.51154216344028,1,1230768,49862,486,EMPTY,F,7,2025-11-06,62400,114A,1230768,20251106 18:02,2306,,2025-11-06T18:03:00.513261,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,90,43.07644418097939,-89.41333168261615,1,1228517,15491,462,EMPTY,84,0,2025-11-06,63840,4184,1228517,20251106 18:02,985,,2025-11-06T18:03:02.568521,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
