des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,226,43.122125012965064,-89.31685669894266,1,1228629,22962,387,EMPTY,A,35,2025-09-12,42180,124A,1228629,20250912 11:53,2360,,2025-09-12T11:53:21.200184
JUNCTION,False,277,43.060809169112964,-89.49720179696182,1,1228621,85426,387,EMPTY,A,19,2025-09-12,38580,123A,1228621,20250912 11:53,2325,,2025-09-12T11:53:21.200194
2-AMERICAN CENTER,False,357,43.0740454975256,-89.45675937613014,1,1228567,24411,414,EMPTY,A,26,2025-09-12,41940,115A,1228567,20250912 11:53,2361,,2025-09-12T11:53:21.200197
2-AMERICAN CENTER,False,22,43.100295056417345,-89.34868497141296,1,1228566,59313,414,EMPTY,A,15,2025-09-12,40140,112A,1228566,20250912 11:53,2321,,2025-09-12T11:53:21.200199
2-AMERICAN CENTER,False,201,43.153726826231264,-89.30487464994442,1,1228565,96191,414,EMPTY,A,25,2025-09-12,38340,114A,1228565,20250912 11:53,2310,,2025-09-12T11:53:21.200201
1-SUN PRAIRIE VIA HIGH CROSSING,False,159,43.05767833333333,-89.52794999999999,1,1228543,65,421,EMPTY,A,0,2025-09-12,42840,118A,1228543,20250912 11:53,2349,,2025-09-12T11:53:21.200203
1-SUN PRAIRIE VIA HIGH CROSSING,False,84,43.07197585533616,-89.39831414896024,1,1228526,40800,421,HALF_EMPTY,A,15,2025-09-12,41040,126A,1228526,20250912 11:53,2345,,2025-09-12T11:53:21.200205
1-SUN PRAIRIE VIA HIGH CROSSING,False,42,43.142246374660814,-89.28483026339346,1,1228542,85157,421,EMPTY,A,32,2025-09-12,39240,111A,1228542,20250912 11:53,2341,,2025-09-12T11:53:21.200206
JUNCTION VIA HIGH CROSSING,False,15,43.15682666666667,-89.26689333333334,1,1228592,15,469,EMPTY,A,0,2025-09-12,43080,113A,1228592,20250912 11:53,2322,,2025-09-12T11:53:21.200208
JUNCTION VIA HIGH CROSSING,False,224,43.098631074420965,-89.35092073829662,1,1228609,39165,469,EMPTY,A,13,2025-09-12,41280,119A,1228609,20250912 11:53,2355,,2025-09-12T11:53:21.200210
JUNCTION VIA HIGH CROSSING,False,270,43.060868002538925,-89.48638187988374,1,1228591,84046,469,EMPTY,A,39,2025-09-12,39480,121A,1228591,20250912 11:53,2340,,2025-09-12T11:53:21.200212
FITCHBURG-CADDIS,False,116,43.129117314051136,-89.35938416065112,1,1229116,20555,1278,EMPTY,B,0,2025-09-12,41940,150B,1229116,20250912 11:53,2354,,2025-09-12T11:53:23.526750
FITCHBURG-CADDIS,False,180,43.063470200568155,-89.40086492643758,1,1229115,54485,1278,EMPTY,B,9,2025-09-12,40140,148B,1229115,20250912 11:53,2304,,2025-09-12T11:53:23.526759
FITCHBURG-CADDIS,False,53,43.01942333333333,-89.42121333333334,1,1229144,76998,1278,EMPTY,B,0,2025-09-12,39240,147B,1229144,20250912 11:53,2305,,2025-09-12T11:53:23.526761
NORTHPORT,False,42,43.01957081752542,-89.42091111842045,1,1229084,101,1280,EMPTY,B,0,2025-09-12,42780,140B,1229084,20250912 11:53,2337,,2025-09-12T11:53:23.526763
NORTHPORT,False,348,43.0450093551662,-89.39397498449667,1,1229051,14654,1280,EMPTY,B,24,2025-09-12,41940,146B,1229051,20250912 11:53,2339,,2025-09-12T11:53:23.526765
NORTHPORT,False,45,43.084930911155375,-89.36947117764412,1,1229083,36358,1280,EMPTY,B,30,2025-09-12,41040,145B,1229083,20250912 11:53,2353,,2025-09-12T11:53:23.526766
NORTHPORT,False,357,43.100809947980636,-89.3490636368981,1,1229050,44504,1280,EMPTY,B,10,2025-09-12,40140,144B,1229050,20250912 11:53,2358,,2025-09-12T11:53:23.526768
2-BUCKEYE,False,139,43.069164627096775,-89.38954349186461,1,1229702,15659,327,EMPTY,C,22,2025-09-12,41760,117C,1229702,20250912 11:53,147,,2025-09-12T11:53:25.942494
U.W. HOSPITAL,False,43,43.07731941706514,-89.3193617482556,1,1229773,13867,331,EMPTY,C,17,2025-09-12,42300,120C,1229773,20250912 11:53,116,,2025-09-12T11:53:25.942504
1-SPRECHER,False,177,43.07378874552595,-89.43380487088561,1,1229687,3181,349,EMPTY,C,5,2025-09-12,42660,118C,1229687,20250912 11:53,2013,,2025-09-12T11:53:25.942506
1-SPRECHER,False,151,43.08629594519173,-89.32619820801145,1,1229735,38372,349,EMPTY,C,30,2025-09-12,40860,113C,1229735,20250912 11:53,121,,2025-09-12T11:53:25.942628
