des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
KENNEDY/DROP OFFS ONLY,False,116,43.139856666666674,-89.38844833333333,1,1229435,11826,1284,EMPTY,B,9,2025-09-28,63600,341B,1229435,20250928 17:47,2353,,2025-09-28T17:47:33.387067
FITCHBURG-CADDIS,False,333,43.135272726892005,-89.39773608470239,1,1229412,6759,506170,EMPTY,B,25,2025-09-28,63840,344B,1229412,20250928 17:47,2316,,2025-09-28T17:47:33.387075
FITCHBURG-CADDIS,False,318,43.0761331909185,-89.38392963626053,1,1229411,45782,506170,HALF_EMPTY,B,10,2025-09-28,62040,343B,1229411,20250928 17:47,2313,,2025-09-28T17:47:33.387077
FITCHBURG-CADDIS,False,53,43.01941166666667,-89.421215,1,1229410,77366,506170,EMPTY,B,0,2025-09-28,60240,346B,1229410,20250928 17:47,2355,,2025-09-28T17:47:33.387079
NORTHPORT,False,48,43.07302075176058,-89.38646757564248,1,1229374,29566,506366,EMPTY,B,11,2025-09-28,62460,345B,1229374,20250928 17:47,2339,,2025-09-28T17:47:33.387080
2-BUCKEYE,False,113,43.07285502495897,-89.4092572422614,1,1229914,10045,327,HALF_EMPTY,C,0,2025-09-28,63420,316C,1229914,20250928 17:47,130,,2025-09-28T17:47:35.694010
1-SPRECHER,False,111,43.08403409616704,-89.30682644843162,1,1229898,44242,349,EMPTY,C,21,2025-09-28,61620,314C,1229898,20250928 17:47,1911,,2025-09-28T17:47:35.694014
U.W. HOSPITAL,False,49,43.078354283369116,-89.4329931565873,1,1229933,53962,508,EMPTY,C,7,2025-09-28,61500,315C,1229933,20250928 17:47,106,,2025-09-28T17:47:35.694015
U.W. HOSPITAL,False,294,43.09033859589448,-89.33168441526722,1,1229951,22067,515,EMPTY,C,35,2025-09-28,63120,312C,1229951,20250928 17:47,145,,2025-09-28T17:47:35.694016
SHEBOYGAN VIA MIDDLETON,False,6,43.062396727861184,-89.52728454045966,1,1230869,2261,506311,EMPTY,F,31,2025-09-28,63960,312F,1230869,20250928 17:47,136,,2025-09-28T17:47:38.038197
JUNCTION VIA MIDDLETON,False,335,43.10447466261343,-89.48672812355899,1,1230900,16414,506313,EMPTY,F,0,2025-09-28,63360,311F,1230900,20250928 17:47,2007,,2025-09-28T17:47:38.038202
MEMORIAL UNION VIA EAGLE HEIGHTS,False,322,43.07635181191657,-89.40193482603102,1,1228151,612,506364,FULL,80,6,2025-09-28,63900,4180,1228151,20250928 17:47,2205,,2025-09-28T17:47:40.322505
MEMORIAL UNION VIA EAGLE HEIGHTS,False,92,43.07643887481815,-89.413017750187,1,1228132,31193,506364,EMPTY,80,0,2025-09-28,62400,5080,1228132,20250928 17:47,114,,2025-09-28T17:47:40.322510
CAPITOL SQUARE,False,89,43.0677872000706,-89.42153831580269,1,1230620,49218,506369,EMPTY,E,25,2025-09-28,62400,312E,1230620,20250928 17:47,120,,2025-09-28T17:47:42.663773
MCKEE,False,235,43.068084647574395,-89.44653106855752,1,1230637,22181,506370,EMPTY,E,11,2025-09-28,62760,311E,1230637,20250928 17:47,995,,2025-09-28T17:47:42.663779
1-SUN PRAIRIE VIA HIGH CROSSING,False,45,43.11240200977488,-89.33139944703139,1,1228784,65900,506161,HALF_EMPTY,A,28,2025-09-28,61140,311A,1228784,20250928 17:47,2305,,2025-09-28T17:47:45.027087
2-AMERICAN CENTER VIA HIGH CROSSING,False,89,43.0752678,-89.4515,1,1228800,26177,506162,HALF_EMPTY,A,0,2025-09-28,63000,313A,1228800,20250928 17:47,2303,,2025-09-28T17:47:45.027093
JUNCTION VIA HIGH CROSSING,False,229,43.107778088705004,-89.3381816582731,1,1228838,34216,506168,EMPTY,A,35,2025-09-28,62760,314A,1228838,20250928 17:47,2315,,2025-09-28T17:47:45.027094
JUNCTION VIA HIGH CROSSING,False,290,43.07309292028061,-89.46727202799183,1,1228821,76536,506367,EMPTY,A,0,2025-09-28,60900,312A,1228821,20250928 17:47,2308,,2025-09-28T17:47:45.027094
1-SPRECHER,False,39,43.08712585200049,-89.37219442774342,1,1230310,54178,506006,HALF_EMPTY,D,0,2025-09-28,61440,313D,1230310,20250928 17:47,154,,2025-09-28T17:47:47.500796
1-JUNCTION,False,228,43.0899734,-89.3686752,1,1230363,37688,506009,EMPTY,D,16,2025-09-28,62520,311D,1230363,20250928 17:47,2009,,2025-09-28T17:47:47.500802
1-JUNCTION,False,181,43.05749666666667,-89.52812166666666,1,1230362,92410,506009,EMPTY,D,0,2025-09-28,58920,312D,1230362,20250928 17:47,117,,2025-09-28T17:47:47.500803
2-AIRPORT,False,20,43.03806,-89.45115,1,1230327,44223,506340,EMPTY,D,19,2025-09-28,62520,321D,1230327,20250928 17:47,2011,,2025-09-28T17:47:47.500803
2-AIRPORT,False,3,43.13737666666666,-89.34654666666665,1,1230326,102033,506340,EMPTY,D,0,2025-09-28,58920,322D,1230326,20250928 17:47,2212,,2025-09-28T17:47:47.500804
2-VERONA,False,229,43.043952435406055,-89.44388019656878,1,1230346,55148,506346,EMPTY,D,16,2025-09-28,61200,323D,1230346,20250928 17:47,2214,,2025-09-28T17:47:47.500805
