des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION VIA HIGH CROSSING,False,219,43.10405000000001,-89.34238166666667,1,1228726,37086,372,EMPTY,A,0,2025-09-27,68100,221A,1228726,20250927 19:41,2334,,2025-09-27T19:41:48.379552
2-AMERICAN CENTER,False,87,43.060866904820884,-89.47236583061732,1,1228710,16253,414,EMPTY,A,7,2025-09-27,70260,220A,1228710,20250927 19:41,2303,,2025-09-27T19:41:48.379558
2-AMERICAN CENTER,False,46,43.12760524359467,-89.30859192992783,1,1228709,76233,414,EMPTY,A,13,2025-09-27,67560,216A,1228709,20250927 19:41,2338,,2025-09-27T19:41:48.379560
1-SUN PRAIRIE VIA HIGH CROSSING,False,91,43.07477513047736,-89.38917731469779,1,1228665,43651,421,HALF_EMPTY,A,0,2025-09-27,68460,217A,1228665,20250927 19:41,2323,,2025-09-27T19:41:48.379561
JUNCTION VIA HIGH CROSSING,False,226,43.12236562857072,-89.31651122865324,1,1228743,24357,469,HALF_EMPTY,A,30,2025-09-27,69960,214A,1228743,20250927 19:41,2330,,2025-09-27T19:41:48.379562
MEMORIAL UNION VIA EAGLE HEIGHTS,False,274,43.075880000000005,-89.40019833333332,1,1228076,41229,506364,EMPTY,80,0,2025-09-27,68400,6180,1228076,20250927 19:41,147,,2025-09-27T19:41:51.919026
SHEBOYGAN VIA MIDDLETON,False,165,43.07496968409446,-89.4678058555775,1,1230808,51829,506311,EMPTY,F,15,2025-09-27,69360,212F,1230808,20250927 19:41,120,,2025-09-27T19:41:54.514448
JUNCTION VIA MIDDLETON,False,350,43.09428125649673,-89.48554856228058,1,1230840,12712,506313,EMPTY,F,22,2025-09-27,70560,213F,1230840,20250927 19:41,2011,,2025-09-27T19:41:54.514452
JUNCTION VIA MIDDLETON,False,181,43.057841666666675,-89.52811500000001,1,1230839,55325,506313,EMPTY,F,0,2025-09-27,68760,211F,1230839,20250927 19:41,1913,,2025-09-27T19:41:54.514452
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,46,43.07798886512684,-89.38537703113222,1,1228385,4904,444,EMPTY,81,16,2025-09-27,70500,6181,1228385,20250927 19:41,114,,2025-09-27T19:41:56.961352
FITCHBURG-CADDIS,False,226,43.07552293966948,-89.38298249287357,1,1229320,45568,1278,EMPTY,B,7,2025-09-27,69300,259B,1229320,20250927 19:41,2331,,2025-09-27T19:41:59.473908
FITCHBURG-CADDIS,False,51,43.019395,-89.42119666666667,1,1229288,76998,1278,EMPTY,B,0,2025-09-27,67500,258B,1229288,20250927 19:42,2362,,2025-09-27T19:41:59.473911
NORTHPORT,False,226,43.038542907749104,-89.39495298590955,1,1229259,11957,1280,EMPTY,B,3,2025-09-27,69840,257B,1229259,20250927 19:41,2310,,2025-09-27T19:41:59.473912
