des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION,False,275,43.07589333333333,-89.399795,1,1227942,24791,505854,EMPTY,80,16,2025-11-06,59640,7380,1227942,20251106 17:10,2320,,2025-11-06T17:10:49.026743,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,270,43.07628250006661,-89.40172666778113,1,1227951,548,506364,EMPTY,80,0,2025-11-06,61680,4284,1227951,20251106 17:10,995,,2025-11-06T17:10:57.193079,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,274,43.07711444526481,-89.42738192667142,1,1227950,8511,506364,HALF_EMPTY,80,16,2025-11-06,61200,1380,1227950,20251106 17:10,115,,2025-11-06T17:10:57.193079,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,156,43.084331582127625,-89.43375232832116,1,1227949,22016,506364,EMPTY,80,0,2025-11-06,60780,7580,1227949,20251106 17:10,2356,,2025-11-06T17:10:57.193079,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,121,43.07641,-89.41625,1,1227947,30381,506364,EMPTY,80,0,2025-11-06,59940,7480,1227947,20251106 17:10,131,,2025-11-06T17:10:57.193079,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,91,43.07644413552038,-89.41325764160761,1,1227948,31129,506364,HALF_EMPTY,80,0,2025-11-06,60360,1280,1227948,20251106 17:10,124,,2025-11-06T17:10:57.193079,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,92,43.07093917604954,-89.39960987726323,1,1227946,38137,506364,HALF_EMPTY,80,0,2025-11-06,59400,1180,1227946,20251106 17:10,102,,2025-11-06T17:10:57.193079,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,168,43.057413333333336,-89.52797166666666,1,1230732,160,433,EMPTY,F,0,2025-11-06,62100,123A,1230732,20251106 17:10,2351,,2025-11-06T17:10:59.507546,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,145,43.106144390443106,-89.49804030036861,1,1230731,36567,433,EMPTY,F,0,2025-11-06,60120,151A,1230731,20251106 17:10,2328,,2025-11-06T17:10:59.507546,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,270,43.07537000002016,-89.45685500775204,1,1230767,19731,486,HALF_EMPTY,F,0,2025-11-06,60600,124A,1230767,20251106 17:10,2362,,2025-11-06T17:10:59.507546,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
