des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
EPIC CAMPUS,False,226,43.06839609190972,-89.39320939854142,1,1227762,3985,1252,EMPTY,75,20,2025-11-06,57480,18275,1227762,20251106 16:03,111,,2025-11-06T16:04:16.185736,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
EPIC CAMPUS,False,265,42.98798550766976,-89.55256099032492,1,1227761,67416,1252,EMPTY,75,15,2025-11-06,55680,18175,1227761,20251106 16:03,1905,,2025-11-06T16:04:25.166969,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST MAIN,False,249,43.1785269051656,-89.23893848236735,1,1232972,25763,394,EMPTY,W,28,2025-11-06,57000,111S,1232972,20251106 16:04,1904,,2025-11-06T16:04:27.503191,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
BROOKS,False,89,43.04999000014582,-89.47383993649157,1,1231773,12108,506535,EMPTY,J,0,2025-11-06,57000,119G,1231773,20251106 16:04,2201,,2025-11-06T16:04:29.752210,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
BROOKS,True,12,43.072601666666664,-89.40053666666667,1,1231789,44997,506535,EMPTY,J,0,2025-11-06,55200,113G,1231789,20251106 16:04,134,,2025-11-06T16:04:29.752210,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,272,43.07331682180245,-89.40234583460027,1,1231820,791,506536,EMPTY,J,19,2025-11-06,57900,118G,1231820,20251106 16:04,2004,,2025-11-06T16:04:29.752210,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,183,43.05023361572505,-89.47361268642302,1,1231804,32546,506536,EMPTY,J,0,2025-11-06,56100,116G,1231804,20251106 16:04,2007,,2025-11-06T16:04:29.752210,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
SOUTH TRANSFER,False,0,43.03685651096225,-89.46107661453316,1,1231425,25376,350,HALF_EMPTY,H,27,2025-11-06,56880,112G,1231425,20251106 16:04,130,,2025-11-06T16:04:32.130276,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
WEST TOWNE,False,314,43.03857018747849,-89.49982177898097,1,1231462,43846,400,EMPTY,H,31,2025-11-06,56100,120G,1231462,20251106 16:04,132,,2025-11-06T16:04:32.130276,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
DOWNTOWN S.P.,False,23,43.156883333333326,-89.26722833333334,1,1232887,67686,436,EMPTY,S,0,2025-11-06,55500,112S,1232887,20251106 16:04,2214,,2025-11-06T16:04:34.397992,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,137,43.070261816750175,-89.39102374557908,1,1227728,12942,489,HALF_EMPTY,65,0,2025-11-06,56400,18165,1227728,20251106 16:04,141,,2025-11-06T16:04:36.730859,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
2-EPIC CAMPUS,False,263,43.01861853646361,-89.47556689977063,1,1230214,72236,1302,EMPTY,D,15,2025-11-06,54240,181D,1230214,20251106 16:04,143,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
2-EPIC CAMPUS,False,0,42.996875,-89.56394,1,1230171,109745,1302,HALF_EMPTY,D,0,2025-11-06,52440,121D,1230171,20251106 16:04,110,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-SPRECHER,False,0,43.057526666666675,-89.52810666666667,1,1230151,107,506006,HALF_EMPTY,D,0,2025-11-06,58020,114D,1230151,20251106 16:04,101,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-SPRECHER,False,47,43.05689813254515,-89.42924572173412,1,1230108,34242,506006,EMPTY,D,26,2025-11-06,56220,112D,1230108,20251106 16:04,1911,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-SPRECHER,False,88,43.09814096245173,-89.32423424004247,1,1230149,69548,506006,HALF_EMPTY,D,30,2025-11-06,54540,115C,1230149,20251106 16:04,145,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-SPRECHER,True,152,43.085811666666665,-89.26466333333335,1,1230107,92704,506006,EMPTY,D,0,2025-11-06,52800,114E,1230107,20251106 16:04,1901,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-JUNCTION,False,339,43.10278456347785,-89.35004038361654,1,1230215,30721,506009,EMPTY,D,0,2025-11-06,56580,113C,1230215,20251106 16:04,987,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
1-JUNCTION,False,227,43.060661437466855,-89.4238679387169,1,1230188,56841,506009,HALF_EMPTY,D,0,2025-11-06,54780,115D,1230188,20251106 16:04,2208,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
2-AIRPORT,False,133,43.0790836821893,-89.38373706252275,1,1230150,75533,506661,FULL,D,0,2025-11-06,54480,125D,1230150,20251106 16:04,986,,2025-11-06T16:04:38.992859,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
