des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,0,43.07649236832393,-89.41269203014748,1,1227977,4581,369,EMPTY,80,30,2025-11-06,64920,4284,1227977,20251106 18:11,995,,2025-11-06T18:11:14.440915,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,270,43.07649000011804,-89.41479000400508,1,1227982,5139,506364,EMPTY,80,17,2025-11-06,65340,8180,1227982,20251106 18:11,133,,2025-11-06T18:11:14.440915,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,88,43.078905841783865,-89.42949658785837,1,1227954,10010,506364,HALF_EMPTY,80,7,2025-11-06,64440,1380,1227954,20251106 18:11,115,,2025-11-06T18:11:14.440915,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,1,43.071700877512214,-89.39747995429046,1,1227953,38990,506364,EMPTY,80,15,2025-11-06,63540,1280,1227953,20251106 18:11,124,,2025-11-06T18:11:14.440915,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,271,43.07591333333333,-89.40040499999999,1,1227952,41229,506364,HALF_EMPTY,80,0,2025-11-06,62640,1180,1227952,20251106 18:11,102,,2025-11-06T18:11:14.440915,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,159,43.09999761292554,-89.48642732240764,1,1230733,41344,433,EMPTY,F,7,2025-11-06,64020,115A,1230733,20251106 18:11,2360,,2025-11-06T18:11:16.779582,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,84,43.072019369641765,-89.39771163035155,1,1230732,73196,433,EMPTY,F,4,2025-11-06,62100,123A,1230732,20251106 18:11,2351,,2025-11-06T18:11:16.779582,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,263,43.0729723328074,-89.46376435678161,1,1230769,22385,486,EMPTY,F,0,2025-11-06,64200,151A,1230769,20251106 18:11,2328,,2025-11-06T18:11:16.779582,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,135,43.08284183806235,-89.52610360006506,1,1230768,63307,486,EMPTY,F,26,2025-11-06,62400,114A,1230768,20251106 18:11,2306,,2025-11-06T18:11:16.779582,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,90,43.07890806986139,-89.4294717493641,1,1228517,25561,462,EMPTY,84,19,2025-11-06,63840,4184,1228517,20251106 18:11,985,,2025-11-06T18:11:18.856921,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
