des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,255,43.076516948577805,-89.4165174731301,1,1227975,5598,369,HALF_EMPTY,80,7,2025-11-06,63120,7480,1227975,20251106 17:39,131,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,270,43.08618166666667,-89.43691166666667,1,1227974,15316,369,EMPTY,80,7,2025-11-06,62160,7380,1227974,20251106 17:39,2320,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,270,43.0751500001072,-89.41219000131723,1,1227953,3951,506364,FULL,80,16,2025-11-06,63540,1280,1227953,20251106 17:39,124,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,261,43.08618346606972,-89.43537225833106,1,1227952,14899,506364,EMPTY,80,15,2025-11-06,62640,1180,1227952,20251106 17:39,102,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,111,43.07664600250836,-89.42601574458946,1,1227951,27708,506364,EMPTY,80,5,2025-11-06,61680,4284,1227951,20251106 17:39,995,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,271,43.07336779793708,-89.40901595360488,1,1227950,34941,506364,FULL,80,0,2025-11-06,61200,1380,1227950,20251106 17:39,115,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,270,43.07581330009727,-89.39763500436374,1,1227949,40556,506364,EMPTY,80,15,2025-11-06,60780,7580,1227949,20251106 17:39,2356,,2025-11-06T17:40:01.667375,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,199,43.097998664976316,-89.5234055537918,1,1230732,23664,433,EMPTY,F,3,2025-11-06,62100,123A,1230732,20251106 17:40,2351,,2025-11-06T17:40:03.994623,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,91,43.07475256197588,-89.38766828735164,1,1230731,76284,433,EMPTY,F,20,2025-11-06,60120,151A,1230731,20251106 17:39,2328,,2025-11-06T17:40:03.994623,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,249,43.07300814038607,-89.45729471717787,1,1230768,20660,486,HALF_EMPTY,F,16,2025-11-06,62400,114A,1230768,20251106 17:40,2306,,2025-11-06T17:40:03.994623,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
