des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
OWL CREEK,False,91,43.14259168402555,-89.36411240207225,1,1231994,5251,1239,EMPTY,L,23,2025-09-25,51720,111L,1231994,20250925 14:27,122,,2025-09-25T14:27:41.819080
CHEROKEE,False,359,43.05385095816438,-89.29150571812764,1,1231979,9576,1265,EMPTY,L,30,2025-09-25,51720,112L,1231979,20250925 14:27,123,,2025-09-25T14:27:41.819085
FITCHBURG-CADDIS,False,153,43.139855,-89.388417,1,1229151,11843,1278,EMPTY,B,0,2025-09-25,51720,154B,1229151,20250925 14:27,2301,,2025-09-25T14:27:44.199400
FITCHBURG-CADDIS,False,177,43.11874392181946,-89.35513090125733,1,1229121,24910,1278,EMPTY,B,33,2025-09-25,50820,151B,1229121,20250925 14:27,2337,,2025-09-25T14:27:44.199405
FITCHBURG-CADDIS,False,225,43.076756676134494,-89.3814146613419,1,1229150,44950,1278,EMPTY,B,30,2025-09-25,49920,150B,1229150,20250925 14:27,2333,,2025-09-25T14:27:44.199406
FITCHBURG-CADDIS,False,182,43.04965673059023,-89.39428621803238,1,1229120,59915,1278,HALF_EMPTY,B,19,2025-09-25,49080,149B,1229120,20250925 14:27,2328,,2025-09-25T14:27:44.199406
FITCHBURG-CADDIS,False,54,43.019585000000006,-89.42091666666666,1,1229149,75919,1278,EMPTY,B,0,2025-09-25,48180,148B,1229149,20250925 14:27,2304,,2025-09-25T14:27:44.199407
NORTHPORT,False,90,43.03855025194813,-89.39879952918085,1,1229089,10289,1280,EMPTY,B,32,2025-09-25,51660,147B,1229089,20250925 14:27,2338,,2025-09-25T14:27:44.199408
NORTHPORT,False,84,43.071953574157554,-89.39862266416112,1,1229056,25628,1280,EMPTY,B,0,2025-09-25,50760,153B,1229056,20250925 14:27,2308,,2025-09-25T14:27:44.199408
NORTHPORT,False,45,43.085234914298105,-89.36905069996575,1,1229088,36515,1280,HALF_EMPTY,B,31,2025-09-25,49860,146B,1229088,20250925 14:27,2362,,2025-09-25T14:27:44.199409
NORTHPORT,False,300,43.133890290865274,-89.37066401593144,1,1229055,60139,1280,EMPTY,B,0,2025-09-25,49020,152B,1229055,20250925 14:27,2320,,2025-09-25T14:27:44.199410
JUNCTION,False,228,43.12032180069253,-89.31958818388124,1,1228626,23949,387,EMPTY,A,31,2025-09-25,51180,120A,1228626,20250925 14:27,2339,,2025-09-25T14:27:46.495953
JUNCTION,False,281,43.073439,-89.433392,1,1228622,63800,387,FULL,A,0,2025-09-25,49380,117A,1228622,20250925 14:27,2305,,2025-09-25T14:27:46.495959
JUNCTION,False,169,43.05772333333333,-89.52796166666667,1,1228638,95245,387,EMPTY,A,0,2025-09-25,47580,115A,1228638,20250925 14:27,2317,,2025-09-25T14:27:46.495960
2-AMERICAN CENTER,False,110,43.07353339740293,-89.43415287376648,1,1228572,31024,414,EMPTY,A,0,2025-09-25,50880,127A,1228572,20250925 14:27,2315,,2025-09-25T14:27:46.495960
2-AMERICAN CENTER,False,1,43.12013856767071,-89.33043476501771,1,1228571,68683,414,EMPTY,A,15,2025-09-25,49080,151A,1228571,20250925 14:27,2312,,2025-09-25T14:27:46.495961
1-SUN PRAIRIE VIA HIGH CROSSING,False,92,43.06053467650116,-89.5169933850253,1,1228529,4282,421,EMPTY,A,0,2025-09-25,51780,126A,1228529,20250925 14:27,2316,,2025-09-25T14:27:46.495962
1-SUN PRAIRIE VIA HIGH CROSSING,False,91,43.072116437634214,-89.40257439374741,1,1228545,39649,421,HALF_EMPTY,A,30,2025-09-25,49980,111A,1228545,20250925 14:27,2347,,2025-09-25T14:27:46.495962
1-SUN PRAIRIE VIA HIGH CROSSING,False,28,43.143090708532604,-89.28368395062101,1,1228528,85537,421,EMPTY,A,18,2025-09-25,48240,113A,1228528,20250925 14:27,2318,,2025-09-25T14:27:46.495963
JUNCTION VIA HIGH CROSSING,False,0,43.15682166666667,-89.26691666666666,1,1228612,11,469,EMPTY,A,0,2025-09-25,52080,119A,1228612,20250925 14:27,2356,,2025-09-25T14:27:46.495964
JUNCTION VIA HIGH CROSSING,False,314,43.07838338569989,-89.37905737101168,1,1228594,49708,469,HALF_EMPTY,A,26,2025-09-25,50280,121A,1228594,20250925 14:27,2353,,2025-09-25T14:27:46.495965
JUNCTION VIA HIGH CROSSING,False,267,43.060801531426286,-89.49646426954578,1,1228611,86749,469,EMPTY,A,16,2025-09-25,48480,118A,1228611,20250925 14:27,2361,,2025-09-25T14:27:46.495965
WEST TOWNE,False,249,43.053658854680876,-89.45197147265539,1,1231818,25168,385,EMPTY,J,18,2025-09-25,50700,115G,1231818,20250925 14:27,129,,2025-09-25T14:27:48.780587
BROOKS,False,89,43.056632755131936,-89.49725629062817,1,1231788,5066,429,EMPTY,J,28,2025-09-25,51600,116G,1231788,20250925 14:27,151,,2025-09-25T14:27:48.780592
BROOKS,False,90,43.072165,-89.40269166666667,1,1231771,44467,429,EMPTY,J,0,2025-09-25,49800,112G,1231771,20250925 14:27,2211,,2025-09-25T14:27:48.780592
DOWNTOWN S.P.,False,9,43.16098888257139,-89.26367746756623,1,1232886,2356,436,EMPTY,S,26,2025-09-25,51900,111S,1232886,20250925 14:27,104,,2025-09-25T14:27:51.130536
1-SPRECHER,False,50,43.05495,-89.43204,1,1230147,33211,505941,EMPTY,D,20,2025-09-25,51000,113C,1230147,20250925 14:27,986,,2025-09-25T14:27:53.433536
1-SPRECHER,False,46,43.08057979094825,-89.38152110705855,1,1230106,50722,505941,HALF_EMPTY,D,16,2025-09-25,49200,115D,1230106,20250925 14:27,2204,,2025-09-25T14:27:53.433542
1-SPRECHER,True,157,43.08579833333333,-89.26465833333332,1,1230145,92704,505941,EMPTY,D,0,2025-09-25,47460,114D,1230145,20250925 14:27,2009,,2025-09-25T14:27:53.433543
1-JUNCTION,False,271,43.10013912116836,-89.34613660732013,1,1230187,29172,505944,EMPTY,D,24,2025-09-25,51240,112D,1230187,20250925 14:27,107,,2025-09-25T14:27:53.433544
1-JUNCTION,False,231,43.06552717380229,-89.41639007880369,1,1230211,54241,505944,EMPTY,D,20,2025-09-25,49440,115C,1230211,20250925 14:27,995,,2025-09-25T14:27:53.433545
1-JUNCTION,False,179,43.05768333333334,-89.52812166666666,1,1230186,92411,505944,EMPTY,D,0,2025-09-25,47580,114E,1230186,20250925 14:27,2213,,2025-09-25T14:27:53.433546
2-AIRPORT,False,89,43.013490000013014,-89.48077995690801,1,1230148,33279,506011,EMPTY,D,12,2025-09-25,50940,123D,1230148,20250925 14:27,103,,2025-09-25T14:27:53.433547
2-AIRPORT,False,91,43.0721359,-89.4028549,1,1230123,70080,506011,HALF_EMPTY,D,0,2025-09-25,49140,126D,1230123,20250925 14:27,1903,,2025-09-25T14:27:53.433548
2-AIRPORT,False,3,43.137388333333334,-89.34656166666667,1,1230146,108209,506011,EMPTY,D,0,2025-09-25,47460,121D,1230146,20250925 14:27,130,,2025-09-25T14:27:53.433549
2-EPIC CAMPUS,False,225,43.087742773540434,-89.37331463864545,1,1230212,29242,506019,EMPTY,D,15,2025-09-25,50700,124D,1230212,20250925 14:27,142,,2025-09-25T14:27:53.433550
2-EPIC CAMPUS,False,43,43.03228862941838,-89.45772428067784,1,1230170,62535,506019,EMPTY,D,19,2025-09-25,48900,125D,1230170,20250925 14:27,115,,2025-09-25T14:27:53.433551
2-EPIC CAMPUS,False,77,42.99686,-89.56406166666666,1,1230210,110149,506019,EMPTY,D,0,2025-09-25,47100,122D,1230210,20250925 14:27,2004,,2025-09-25T14:27:53.433551
SHERMAN,False,90,43.07510718528259,-89.40677608179044,1,1227447,20938,1288,FULL,28,0,2025-09-25,50640,11228,1227447,20250925 14:27,101,,2025-09-25T14:27:55.744041
WHITNEY VIA SHERMAN,False,226,43.079655689297134,-89.38479942389917,1,1227477,15435,1298,HALF_EMPTY,28,4,2025-09-25,51300,11328,1227477,20250925 14:27,126,,2025-09-25T14:27:55.744048
WHITNEY VIA SHERMAN,False,260,43.072906817517854,-89.46436961864144,1,1227476,41897,1298,EMPTY,28,18,2025-09-25,49500,11128,1227476,20250925 14:27,119,,2025-09-25T14:27:55.744049
MEMORIAL UNION,False,0,43.07591333333333,-89.40037499999998,1,1227917,60,506361,EMPTY,80,0,2025-09-25,52080,1180,1227917,20250925 14:27,110,,2025-09-25T14:27:58.071277
MEMORIAL UNION,False,268,43.07512733913368,-89.40633776660327,1,1227916,2358,506361,HALF_EMPTY,80,1,2025-09-25,51840,7180,1227916,20250925 14:27,108,,2025-09-25T14:27:58.071281
MEMORIAL UNION,False,265,43.0764961,-89.4132843,1,1227915,4739,506361,HALF_EMPTY,80,0,2025-09-25,51540,7080,1227915,20250925 14:27,999,,2025-09-25T14:27:58.071282
MEMORIAL UNION,False,270,43.07649610010184,-89.41587666761689,1,1227914,5430,506361,HALF_EMPTY,80,9,2025-09-25,51300,1380,1227914,20250925 14:27,131,,2025-09-25T14:27:58.071283
MEMORIAL UNION,False,278,43.07896200753234,-89.42877084335905,1,1227913,9611,506361,EMPTY,80,19,2025-09-25,51000,7280,1227913,20250925 14:27,997,,2025-09-25T14:27:58.071283
MEMORIAL UNION,False,271,43.07510333333333,-89.407055,1,1227912,16888,506361,HALF_EMPTY,80,0,2025-09-25,50760,1580,1227912,20250925 14:27,111,,2025-09-25T14:27:58.071284
