des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,240,43.10375227005538,-89.3431410655752,1,1228639,34840,387,EMPTY,A,24,2025-09-26,58380,115A,1228639,20250926 16:33,2303,,2025-09-26T16:33:50.763648
JUNCTION,False,265,43.074062352474364,-89.41893998998842,1,1228636,59883,387,FULL,A,45,2025-09-26,56580,127A,1228636,20250926 16:33,2339,,2025-09-26T16:33:50.763661
JUNCTION,False,172,43.05796,-89.52796333333332,1,1228633,95108,387,EMPTY,A,0,2025-09-26,54780,151A,1228633,20250926 16:33,2337,,2025-09-26T16:33:50.763663
2-AMERICAN CENTER,False,172,43.05743333333333,-89.52794,1,1228577,246,414,EMPTY,A,0,2025-09-26,59820,112A,1228577,20250926 16:33,2352,,2025-09-26T16:33:50.763664
2-AMERICAN CENTER,False,111,43.07196054549439,-89.39872514217792,1,1228576,40701,414,EMPTY,A,0,2025-09-26,57960,122A,1228576,20250926 16:33,2330,,2025-09-26T16:33:50.763666
2-AMERICAN CENTER,False,87,43.120039067660414,-89.32991011305324,1,1228575,68840,414,HALF_EMPTY,A,1,2025-09-26,56160,120A,1228575,20250926 16:33,2316,,2025-09-26T16:33:50.763668
1-SUN PRAIRIE VIA HIGH CROSSING,False,87,43.060855728394486,-89.4727365361571,1,1228531,16152,421,EMPTY,A,5,2025-09-26,58860,113A,1228531,20250926 16:33,2323,,2025-09-26T16:33:50.763670
1-SUN PRAIRIE VIA HIGH CROSSING,False,44,43.0871653378142,-89.36639298519724,1,1228547,52580,421,FULL,A,1,2025-09-26,57060,119A,1228547,20250926 16:33,2361,,2025-09-26T16:33:50.763671
1-SUN PRAIRIE VIA HIGH CROSSING,False,359,43.156799,-89.266988,1,1228530,95552,421,EMPTY,A,0,2025-09-26,55260,121A,1228530,20250926 16:31,2355,,2025-09-26T16:33:50.763673
JUNCTION VIA HIGH CROSSING,False,256,43.13090453672662,-89.30071490045381,1,1228614,18670,469,EMPTY,A,28,2025-09-26,59220,118A,1228614,20250926 16:33,2341,,2025-09-26T16:33:50.763674
JUNCTION VIA HIGH CROSSING,False,227,43.07438576185707,-89.39227032946528,1,1228596,54101,469,EMPTY,A,0,2025-09-26,57420,126A,1228596,20250926 16:33,2362,,2025-09-26T16:33:50.763676
JUNCTION VIA HIGH CROSSING,False,266,43.06069293249377,-89.50716623539738,1,1228613,89619,469,EMPTY,A,17,2025-09-26,55620,111A,1228613,20250926 16:33,2327,,2025-09-26T16:33:50.763678
FITCHBURG,False,218,43.0453370398519,-89.37598935583978,1,1227729,24678,489,EMPTY,65,17,2025-09-26,58200,18265,1227729,20250926 16:33,148,,2025-09-26T16:33:53.222973
U.W. HOSPITAL,False,87,43.004429522941074,-89.41294144809112,1,1227726,4613,501,EMPTY,65,25,2025-09-26,59460,18165,1227726,20250926 16:33,988,,2025-09-26T16:33:53.222982
1-SPRECHER,False,181,43.057653333333334,-89.52811833333332,1,1230109,61,505941,EMPTY,D,0,2025-09-26,59820,115D,1230109,20250926 16:33,2004,,2025-09-26T16:33:55.503474
1-SPRECHER,False,51,43.06062984901641,-89.42355487040842,1,1230151,36289,505941,EMPTY,D,0,2025-09-26,58020,114D,1230151,20250926 16:33,2211,,2025-09-26T16:33:55.503480
1-SPRECHER,False,89,43.09813690025704,-89.32698009270528,1,1230108,68876,505941,EMPTY,D,30,2025-09-26,56220,112D,1230108,20250926 16:33,106,,2025-09-26T16:33:55.503480
1-SPRECHER,True,158,43.08573666666666,-89.26459666666666,1,1230149,92704,505941,EMPTY,D,0,2025-09-26,54540,115C,1230149,20250926 16:33,997,,2025-09-26T16:33:55.503481
1-JUNCTION,False,202,43.09581696017471,-89.36062628192464,1,1230189,34696,505944,EMPTY,D,24,2025-09-26,58380,114E,1230189,20250926 16:33,129,,2025-09-26T16:33:55.503482
1-JUNCTION,False,227,43.060533811450945,-89.4240600303404,1,1230215,56844,505944,HALF_EMPTY,D,19,2025-09-26,56580,113C,1230215,20250926 16:33,110,,2025-09-26T16:33:55.503483
2-AIRPORT,False,50,43.019321358675846,-89.47321364466593,1,1230152,37928,506011,HALF_EMPTY,D,24,2025-09-26,58020,121D,1230152,20250926 16:33,120,,2025-09-26T16:33:55.503483
2-AIRPORT,False,133,43.0749577081657,-89.38963805346131,1,1230125,74048,506011,HALF_EMPTY,D,0,2025-09-26,56220,124D,1230125,20250926 16:33,151,,2025-09-26T16:33:55.503484
2-AIRPORT,False,2,43.137249999999995,-89.34653666666667,1,1230150,108192,506011,EMPTY,D,0,2025-09-26,54480,125D,1230150,20250926 16:33,119,,2025-09-26T16:33:55.503485
2-EPIC CAMPUS,False,196,43.137107175771824,-89.3484392355068,1,1230173,1445,506019,EMPTY,D,30,2025-09-26,59640,122D,1230173,20250926 16:33,2210,,2025-09-26T16:33:55.503485
2-EPIC CAMPUS,False,273,43.073398905762446,-89.40112297081652,1,1230217,38755,506019,EMPTY,D,18,2025-09-26,57840,123D,1230217,20250926 16:33,995,,2025-09-26T16:33:55.503486
2-EPIC CAMPUS,False,180,43.01745698786265,-89.47587,1,1230172,73186,506019,EMPTY,D,23,2025-09-26,56040,126D,1230172,20250926 16:33,1903,,2025-09-26T16:33:55.503487
2-EPIC CAMPUS,False,346,42.996900000000004,-89.56385999999999,1,1230214,110200,506019,EMPTY,D,0,2025-09-26,54240,181D,1230214,20250926 16:33,983,,2025-09-26T16:33:55.503487
ERIN,False,1,43.072610000000005,-89.40232666666667,1,1232191,79,505843,EMPTY,O,0,2025-09-26,59700,119G,1232191,20250926 16:33,2013,,2025-09-26T16:33:57.772286
BROOKS,False,0,43.06497796361992,-89.409,1,1232124,15137,506281,EMPTY,O,15,2025-09-26,59040,123G,1232124,20250926 16:33,2015,,2025-09-26T16:33:57.772292
BROOKS,False,92,43.072464999999994,-89.40239333333332,1,1232150,8430,506282,EMPTY,O,0,2025-09-26,58500,113G,1232150,20250926 16:33,135,,2025-09-26T16:33:57.772293
SOUTH TRANSFER,False,181,43.03370199307608,-89.49685959228128,1,1231426,13248,350,HALF_EMPTY,H,19,2025-09-26,58680,116G,1231426,20250926 16:33,130,,2025-09-26T16:34:00.058582
SOUTH TRANSFER,False,90,43.03858932389113,-89.40220260896227,1,1231425,53039,350,EMPTY,H,23,2025-09-26,56880,112G,1231425,20250926 16:25,2205,,2025-09-26T16:34:00.058586
WEST TOWNE,False,314,43.038492078974535,-89.49971416768315,1,1231463,43806,400,EMPTY,H,22,2025-09-26,57900,121G,1231463,20250926 16:33,2007,,2025-09-26T16:34:00.058587
JENIFER,False,44,43.07401650306978,-89.38102969967511,1,1227554,6063,1260,EMPTY,38,9,2025-09-26,59280,437X,1227554,20250926 16:33,2203,,2025-09-26T16:34:02.339299
MONONA/DUTCH MILL,False,74,43.075899291681814,-89.37629434231246,1,1227546,32334,1289,EMPTY,38,0,2025-09-26,56820,11438,1227546,20250926 16:33,146,,2025-09-26T16:34:02.339303
JENIFER,False,14,43.076454457631336,-89.4160654388909,1,1227547,18026,1290,HALF_EMPTY,38,0,2025-09-26,58620,11338,1227547,20250926 16:33,2008,,2025-09-26T16:34:02.339304
WHITNEY,False,168,43.07510005389733,-89.43391675815757,1,1227574,23758,1294,HALF_EMPTY,38,15,2025-09-26,57840,11138,1227574,20250926 16:33,104,,2025-09-26T16:34:02.339305
WHITNEY,False,210,43.09102499219192,-89.35597788123508,1,1227575,40862,1301,EMPTY,38,11,2025-09-26,58020,11238,1227575,20250926 16:33,137,,2025-09-26T16:34:02.339305
EAGLE HEIGHTS VIA U.W. CAMPUS,False,260,43.07658298243874,-89.42099196332148,1,1228514,22253,462,EMPTY,84,0,2025-09-26,58440,4184,1228514,20250926 16:33,2206,,2025-09-26T16:34:04.651243
FITCHBURG-CADDIS,False,270,43.133770000000005,-89.37317333333334,1,1229126,0,1278,EMPTY,B,0,2025-09-26,59820,154B,1229126,20250926 16:33,2331,,2025-09-26T16:34:06.953855
FITCHBURG-CADDIS,False,114,43.137506246054194,-89.38165108449482,1,1229155,13872,1278,EMPTY,B,34,2025-09-26,58920,160B,1229155,20250926 16:33,2312,,2025-09-26T16:34:06.953862
