des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
SOUTH TRANSFER,False,186,43.05776479430657,-89.50395129515753,1,1231415,2836,350,EMPTY,H,20,2025-10-01,38880,118G,1231415,20251001 10:50,121,,2025-10-01T10:50:33.487455
SOUTH TRANSFER,False,23,43.03210448569572,-89.4084183582915,1,1231414,49882,350,EMPTY,H,5,2025-10-01,37080,116G,1231414,20251001 10:50,153,,2025-10-01T10:50:33.487460
WEST TOWNE,False,94,43.03546081385809,-89.45573386437151,1,1231452,25969,400,EMPTY,H,22,2025-10-01,38100,111G,1231452,20251001 10:50,149,,2025-10-01T10:50:33.487461
EAST TOWNE,False,4,43.043245732266996,-89.35417750601556,1,1231049,25998,373,EMPTY,G,0,2025-10-01,38100,112G,1231049,20251001 10:50,1908,,2025-10-01T10:50:35.816192
EAST TOWNE,False,58,43.108517302614416,-89.31406809958673,1,1231048,65299,373,EMPTY,G,16,2025-10-01,36300,114G,1231048,20251001 10:50,2005,,2025-10-01T10:50:35.816196
SOUTH TRANSFER,False,229,43.08368459055941,-89.3163165553729,1,1231085,30914,505531,EMPTY,G,0,2025-10-01,37620,117G,1231085,20251001 10:50,136,,2025-10-01T10:50:35.816197
SOUTH TRANSFER,False,28,43.039135,-89.39468166666666,1,1231084,88193,505531,EMPTY,G,0,2025-10-01,35820,122G,1231084,20251001 10:50,112,,2025-10-01T10:50:35.816198
1-SPRECHER,False,87,43.04626845491194,-89.48888603601264,1,1230103,13705,506006,EMPTY,D,26,2025-10-01,38460,111D,1230103,20251001 10:50,154,,2025-10-01T10:50:38.109739
1-SPRECHER,False,52,43.07649292457463,-89.38736428028805,1,1230139,48563,506006,EMPTY,D,12,2025-10-01,36660,114D,1230139,20251001 10:50,2207,,2025-10-01T10:50:38.109744
1-SPRECHER,False,171,43.08582500000001,-89.26463333333335,1,1230102,92704,506006,EMPTY,D,4,2025-10-01,34860,112D,1230102,20251001 10:50,996,,2025-10-01T10:50:38.109745
1-JUNCTION,False,270,43.09910000015885,-89.28877326087762,1,1230204,14572,506009,EMPTY,D,30,2025-10-01,38580,115C,1230204,20251001 10:50,995,,2025-10-01T10:50:38.109745
1-JUNCTION,False,230,43.07533818218787,-89.39093114271475,1,1230183,45378,506009,FULL,D,17,2025-10-01,36720,113D,1230183,20251001 10:50,2010,,2025-10-01T10:50:38.109746
1-JUNCTION,False,357,43.05709575628198,-89.52749234817333,1,1230203,91974,506009,EMPTY,D,0,2025-10-01,34920,111C,1230203,20251001 10:50,145,,2025-10-01T10:50:38.109747
2-AIRPORT,False,78,42.99436,-89.51573,1,1230142,16819,506338,EMPTY,D,30,2025-10-01,38460,126D,1230142,20251001 10:50,2013,,2025-10-01T10:50:38.109747
2-AIRPORT,False,89,43.07104000000431,-89.40591504094236,1,1230119,68842,506338,EMPTY,D,0,2025-10-01,36660,121D,1230119,20251001 10:50,131,,2025-10-01T10:50:38.109748
2-AIRPORT,False,89,43.11382000002981,-89.36372502623719,1,1230140,91240,506338,EMPTY,D,30,2025-10-01,34860,124D,1230140,20251001 10:50,159,,2025-10-01T10:50:38.109748
2-EPIC CAMPUS,False,227,43.08864080023746,-89.37202230681046,1,1230167,28765,506350,EMPTY,D,27,2025-10-01,38040,125D,1230167,20251001 10:49,986,,2025-10-01T10:50:38.109749
2-EPIC CAMPUS,False,219,43.04141,-89.44716,1,1230205,57360,506350,EMPTY,D,23,2025-10-01,36240,122D,1230205,20251001 10:50,2201,,2025-10-01T10:50:38.109749
2-EPIC CAMPUS,False,278,42.989106227675784,-89.5408763053796,1,1230166,100284,506350,EMPTY,D,20,2025-10-01,34440,123D,1230166,20251001 10:50,100,,2025-10-01T10:50:38.109750
EAST TOWNE VIA HAYES,False,137,43.12851333333333,-89.30892999999999,1,1232347,17470,431,EMPTY,P,0,2025-10-01,38280,115G,1232347,20251001 10:50,150,,2025-10-01T10:50:40.406019
WEST TOWNE,False,271,43.060812245368744,-89.45050246302718,1,1231799,22242,385,EMPTY,J,26,2025-10-01,38100,113G,1231799,20251001 10:50,132,,2025-10-01T10:50:42.700226
BROOKS,False,186,43.05772242014824,-89.50395803816708,1,1231768,2851,429,EMPTY,J,7,2025-10-01,39000,121G,1231768,20251001 10:50,128,,2025-10-01T10:50:42.700230
BROOKS,False,5,43.072595,-89.40239166666667,1,1231784,44600,429,EMPTY,J,0,2025-10-01,37200,120G,1231784,20251001 10:50,117,,2025-10-01T10:50:42.700231
DOWNTOWN S.P.,False,273,43.187470430646,-89.23215616486404,1,1232882,41959,436,EMPTY,S,26,2025-10-01,37500,111S,1232882,20251001 10:50,110,,2025-10-01T10:50:45.010609
FITCHBURG-CADDIS,False,271,43.133770000000005,-89.37319333333335,1,1229144,0,1278,EMPTY,B,1,2025-10-01,39240,147B,1229144,20251001 10:50,2325,,2025-10-01T10:50:47.300654
FITCHBURG-CADDIS,False,118,43.13059687275827,-89.36344578390492,1,1229114,19396,1278,EMPTY,B,27,2025-10-01,38340,140B,1229114,20251001 10:50,2348,,2025-10-01T10:50:47.300658
