des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
WEST MAIN,False,26,43.15689166666666,-89.26721500000001,1,1232973,43671,394,EMPTY,W,0,2025-09-30,58800,112S,1232973,20250930 16:48,2006,,2025-09-30T16:48:29.321252
1-SPRECHER,False,97,43.04635285960773,-89.47523609722417,1,1230109,17301,506006,EMPTY,D,0,2025-09-30,59820,115D,1230109,20250930 16:48,2009,,2025-09-30T16:48:31.860751
1-SPRECHER,False,46,43.08314807331285,-89.37805011281259,1,1230151,52036,506006,HALF_EMPTY,D,10,2025-09-30,58020,114D,1230151,20250930 16:48,134,,2025-09-30T16:48:31.860759
1-SPRECHER,False,88,43.09814672201902,-89.32390055761603,1,1230108,69637,506006,HALF_EMPTY,D,33,2025-09-30,56220,112D,1230108,20250930 16:48,2014,,2025-09-30T16:48:31.860760
1-JUNCTION,False,38,43.0967933030579,-89.26190198453133,1,1230216,6279,506009,EMPTY,D,21,2025-09-30,60240,115C,1230216,20250930 16:48,106,,2025-09-30T16:48:31.860762
1-JUNCTION,False,271,43.073323791275165,-89.39694777341613,1,1230189,47306,506009,HALF_EMPTY,D,23,2025-09-30,58380,114E,1230189,20250930 16:48,135,,2025-09-30T16:48:31.860763
1-JUNCTION,False,0,43.04982297950935,-89.50298,1,1230215,83894,506009,EMPTY,D,10,2025-09-30,56580,113C,1230215,20250930 16:48,2013,,2025-09-30T16:48:31.860764
2-AIRPORT,False,31,42.998150728446966,-89.50248862651915,1,1230126,20953,506338,EMPTY,D,41,2025-09-30,59820,181D,1230126,20250930 16:48,117,,2025-09-30T16:48:31.860765
2-AIRPORT,False,44,43.05717333333334,-89.42889333333332,1,1230152,60553,506338,EMPTY,D,2,2025-09-30,58020,121D,1230152,20250930 16:48,113,,2025-09-30T16:48:31.860766
2-AIRPORT,False,0,43.105145990219604,-89.36393,1,1230125,88055,506338,HALF_EMPTY,D,26,2025-09-30,56220,124D,1230125,20250930 16:48,1907,,2025-09-30T16:48:31.860767
2-AIRPORT,True,15,43.13741,-89.34650500000001,1,1230150,108209,506338,EMPTY,D,0,2025-09-30,54480,125D,1230150,20250930 16:48,2211,,2025-09-30T16:48:31.860768
2-EPIC CAMPUS,False,157,43.096591765343234,-89.36363235965872,1,1230173,24695,506350,EMPTY,D,0,2025-09-30,59640,122D,1230173,20250930 16:48,1903,,2025-09-30T16:48:31.860769
2-EPIC CAMPUS,False,231,43.048530561563695,-89.43865951867832,1,1230217,53256,506350,HALF_EMPTY,D,0,2025-09-30,57840,123D,1230217,20250930 16:48,1908,,2025-09-30T16:48:31.860770
2-EPIC CAMPUS,False,270,43.01581000003415,-89.49087504287779,1,1230172,80204,506350,EMPTY,D,33,2025-09-30,56040,126D,1230172,20250930 16:48,2206,,2025-09-30T16:48:31.860772
U.W. HOSPITAL,False,277,43.0734454443959,-89.30946274281074,1,1229778,10439,331,EMPTY,C,0,2025-09-30,60240,116C,1229778,20250930 16:48,2215,,2025-09-30T16:48:34.379691
U.W. HOSPITAL,False,220,43.08643849103133,-89.36008955597978,1,1229761,28635,454,EMPTY,C,21,2025-09-30,59520,111D,1229761,20250930 16:48,131,,2025-09-30T16:48:34.379695
U.W. HOSPITAL,False,224,43.07135215765349,-89.38316590830173,1,1229811,37250,454,EMPTY,C,5,2025-09-30,58620,120C,1229811,20250930 16:48,988,,2025-09-30T16:48:34.379696
U.W. HOSPITAL,False,285,43.073526989573196,-89.43310301382319,1,1229798,51951,454,EMPTY,C,15,2025-09-30,57720,114C,1229798,20250930 16:48,126,,2025-09-30T16:48:34.379697
2-BUCKEYE,False,86,43.07202089474027,-89.40351610047365,1,1229706,11644,506376,EMPTY,C,0,2025-09-30,59640,119C,1229706,20250930 16:48,130,,2025-09-30T16:48:34.379698
1-SPRECHER,False,74,43.07336819113494,-89.38186620438846,1,1229740,19400,506377,HALF_EMPTY,C,0,2025-09-30,58740,118C,1229740,20250930 16:48,133,,2025-09-30T16:48:34.379698
1-SPRECHER,False,115,43.089942584901806,-89.33075219202136,1,1229726,37002,506377,EMPTY,C,4,2025-09-30,57840,117C,1229726,20250930 16:48,2205,,2025-09-30T16:48:34.379699
1-SPRECHER,False,88,43.08460680838423,-89.2739697101564,1,1229691,53526,506377,EMPTY,C,37,2025-09-30,56940,111C,1229691,20250930 16:48,153,,2025-09-30T16:48:34.379699
CAPITOL SQUARE,False,171,43.07130142943641,-89.4286483994991,1,1230532,45997,506369,EMPTY,E,19,2025-09-30,58680,115E,1230532,20250930 16:48,123,,2025-09-30T16:48:36.924546
MCKEE,False,180,43.0718956,-89.43885,1,1230553,19231,506370,HALF_EMPTY,E,17,2025-09-30,59160,111E,1230553,20250930 16:48,1911,,2025-09-30T16:48:36.924550
EAGLE HEIGHTS VIA U.W. CAMPUS,False,46,43.08914130237129,-89.43833501960069,1,1228515,2571,462,EMPTY,84,12,2025-09-30,60240,4184,1228515,20250930 16:48,989,,2025-09-30T16:48:39.435853
