des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
FITCHBURG-CADDIS,False,119,43.14161379321672,-89.39486722328532,1,1229138,9868,1278,EMPTY,B,0,2025-09-25,28320,138B,1229138,20250925 07:59,2308,,2025-09-25T08:00:00.933520
FITCHBURG-CADDIS,False,224,43.09857046588595,-89.35100306523607,1,1229108,33587,1278,HALF_EMPTY,B,27,2025-09-25,27420,134B,1229108,20250925 07:59,2328,,2025-09-25T08:00:00.933525
FITCHBURG-CADDIS,False,271,43.07480003781016,-89.39128621281776,1,1229137,48129,1278,HALF_EMPTY,B,0,2025-09-25,26520,133B,1229137,20250925 07:59,2304,,2025-09-25T08:00:00.933527
FITCHBURG-CADDIS,False,270,43.038579682723125,-89.40147094874958,1,1229107,66589,1278,EMPTY,B,35,2025-09-25,25620,135B,1229107,20250925 07:59,2320,,2025-09-25T08:00:00.933528
FITCHBURG-CADDIS,False,53,43.019593333333326,-89.42090000000002,1,1229157,75914,1278,EMPTY,B,0,2025-09-25,24720,139B,1229157,20250925 07:59,2331,,2025-09-25T08:00:00.933529
NORTHPORT,False,77,43.0384734893988,-89.39767933041037,1,1229076,10603,1280,EMPTY,B,8,2025-09-25,28320,131B,1229076,20250925 07:59,2337,,2025-09-25T08:00:00.933530
NORTHPORT,False,3,43.07193496417285,-89.40069598553491,1,1229043,25016,1280,EMPTY,B,9,2025-09-25,27420,137B,1229043,20250925 07:59,2301,,2025-09-25T08:00:00.933531
NORTHPORT,False,42,43.076349989245145,-89.38167417756489,1,1229075,31822,1280,EMPTY,B,22,2025-09-25,26520,132B,1229075,20250925 07:59,2333,,2025-09-25T08:00:00.933532
NORTHPORT,False,304,43.13236851161037,-89.36691567064534,1,1229042,58987,1280,EMPTY,B,31,2025-09-25,25620,136B,1229042,20250925 07:59,2355,,2025-09-25T08:00:00.933533
JUNCTION,False,181,43.11797055878698,-89.33053294285388,1,1228620,28210,387,HALF_EMPTY,A,34,2025-09-25,27720,115A,1228620,20250925 07:59,2317,,2025-09-25T08:00:03.428856
