des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
U.W. HOSPITAL VIA EAGLE HEIGHTS,False,341,43.08250970659133,-89.42851760897476,1,1227976,11642,369,EMPTY,80,25,2025-11-06,64020,7580,1227976,20251106 17:56,2356,,2025-11-06T17:56:44.252139,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,200,43.07859121106337,-89.4305276996526,1,1227953,26157,506364,EMPTY,80,17,2025-11-06,63540,1280,1227953,20251106 17:56,124,,2025-11-06T17:56:44.252139,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,198,43.07555199015157,-89.41276864420739,1,1227952,31591,506364,HALF_EMPTY,80,12,2025-11-06,62640,1180,1227952,20251106 17:56,102,,2025-11-06T17:56:44.252139,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,89,43.070960000068965,-89.40134332310399,1,1227951,37674,506364,EMPTY,80,45,2025-11-06,61680,4284,1227951,20251106 17:56,995,,2025-11-06T17:56:44.252139,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
MEMORIAL UNION VIA EAGLE HEIGHTS,False,270,43.075904800055554,-89.4003500051052,1,1227950,41229,506364,HALF_EMPTY,80,0,2025-11-06,61200,1380,1227950,20251106 17:56,115,,2025-11-06T17:56:44.253144,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,345,43.09088302972749,-89.52460906918813,1,1230733,17935,433,EMPTY,F,0,2025-11-06,64020,115A,1230733,20251106 17:56,2360,,2025-11-06T17:56:46.592061,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
CAPITOL SQUARE VIA MIDDLETON,False,192,43.073243984790274,-89.46758760075188,1,1230732,53341,433,EMPTY,F,15,2025-11-06,62100,123A,1230732,20251106 17:56,2351,,2025-11-06T17:56:46.592061,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,298,43.07482623767036,-89.39127547062543,1,1230769,1825,486,EMPTY,F,0,2025-11-06,64200,151A,1230769,20251106 17:56,2328,,2025-11-06T17:56:46.592061,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
JUNCTION VIA MIDDLETON,False,291,43.11119195086794,-89.5067052063087,1,1230768,43366,486,EMPTY,F,24,2025-11-06,62400,114A,1230768,20251106 17:56,2306,,2025-11-06T17:56:46.592061,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
EAGLE HEIGHTS VIA U.W. CAMPUS,False,74,43.08451488096744,-89.43076443603249,1,1228517,7234,462,EMPTY,84,22,2025-11-06,63840,4184,1228517,20251106 17:56,985,,2025-11-06T17:56:48.648137,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,180,43.0751604050857,-89.41274,1,1227731,6021,489,EMPTY,65,9,2025-11-06,63780,18265,1227731,20251106 17:56,139,,2025-11-06T17:56:50.715073,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG,False,270,43.01148984970817,-89.37343310852195,1,1227734,39980,489,EMPTY,65,18,2025-11-06,61980,18165,1227734,20251106 17:56,141,,2025-11-06T17:56:50.715073,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
2-BUCKEYE,False,114,43.069805942826164,-89.39042905669854,1,1229707,15366,327,FULL,C,0,2025-11-06,63300,111D,1229707,20251106 17:56,123,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,268,43.08384540890663,-89.32112766845752,1,1229779,17922,331,EMPTY,C,28,2025-11-06,63960,119C,1229779,20251106 17:56,1915,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,False,103,43.07211395670974,-89.42902451456928,1,1229693,4696,349,EMPTY,C,0,2025-11-06,64200,116C,1229693,20251106 17:56,128,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,False,149,43.08782304617189,-89.32767368278753,1,1229741,37680,349,EMPTY,C,26,2025-11-06,62400,120C,1229741,20251106 17:56,118,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,False,88,43.084606911569296,-89.27389239869572,1,1229727,53114,349,EMPTY,C,35,2025-11-06,61440,114C,1229727,20251106 17:56,135,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
1-SPRECHER,True,150,43.08571666666667,-89.26458,1,1229692,56074,349,EMPTY,C,0,2025-11-06,60540,112C,1229692,20251106 17:56,2005,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,226,43.08046915250631,-89.36669129230087,1,1229762,31668,454,EMPTY,C,18,2025-11-06,63240,118C,1229762,20251106 17:56,2207,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
U.W. HOSPITAL,False,282,43.07336584147499,-89.39995918657871,1,1229812,42790,454,EMPTY,C,0,2025-11-06,62340,117C,1229812,20251106 17:56,1906,,2025-11-06T17:56:53.035901,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0,0,0,0,0
FITCHBURG-CADDIS,False,270,43.13376852368626,-89.38900703403615,1,1229161,4222,1278,EMPTY,B,17,2025-11-06,64440,157B,1229161,20251106 17:56,2327,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
FITCHBURG-CADDIS,False,184,43.113894196315215,-89.35499422170275,1,1229159,26702,1278,EMPTY,B,30,2025-11-06,63480,156B,1229159,20251106 17:56,2352,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
FITCHBURG-CADDIS,False,271,43.07479849958101,-89.39118097661509,1,1229163,48101,1278,EMPTY,B,0,2025-11-06,62580,162B,1229163,20251106 17:56,2330,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
FITCHBURG-CADDIS,False,159,43.06731203826193,-89.40115214309341,1,1229127,53057,1278,HALF_EMPTY,B,0,2025-11-06,61680,155B,1229127,20251106 17:56,2305,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
FITCHBURG-CADDIS,False,53,43.019459999999995,-89.42114333333332,1,1229156,76998,1278,EMPTY,B,0,2025-11-06,60780,161B,1229156,20251106 17:56,2317,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
NORTHPORT,False,28,43.02863966739157,-89.4109986993348,1,1229096,4795,1280,EMPTY,B,36,2025-11-06,64500,154B,1229096,20251106 17:56,2340,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
NORTHPORT,False,5,43.0415864381425,-89.39379073963826,1,1229063,13396,1280,EMPTY,B,4,2025-11-06,63480,160B,1229063,20251106 17:56,2357,,2025-11-06T17:56:55.434410,54.0,0.0,13.9,0,0,0,partly cloudy,1,2,1,0,0,0,0,0
