des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,is_event_day,route_affected_by_event,has_construction,construction_count
MEMORIAL UNION,False,271,43.075905,-89.40035666666667,1,1227931,55,505854,HALF_EMPTY,80,0,2025-11-06,55860,7280,1227931,20251106 15:30,2315,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,270,43.076496100100684,-89.41587500474465,1,1227930,5430,505854,HALF_EMPTY,80,9,2025-11-06,55620,7580,1227930,20251106 15:30,2356,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,220,43.0788879,-89.430336,1,1227928,10038,505854,EMPTY,80,11,2025-11-06,55080,7480,1227928,20251106 15:30,131,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,115,43.07852814427228,-89.43035564340379,1,1227929,10208,505854,EMPTY,80,13,2025-11-06,55320,1280,1227929,20251106 15:30,124,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,89,43.0764800000426,-89.41803833157984,1,1227927,13524,505854,EMPTY,80,26,2025-11-06,54780,7380,1227927,20251106 15:30,2320,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,271,43.073367504521585,-89.40899700006533,1,1227926,18566,505854,HALF_EMPTY,80,9,2025-11-06,54540,1180,1227926,20251106 15:30,102,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,92,43.0719,-89.39747,1,1227925,22691,505854,HALF_EMPTY,80,0,2025-11-06,54240,7180,1227925,20251106 15:30,153,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,273,43.07585993137261,-89.39928909950062,1,1227924,24656,505854,EMPTY,80,9,2025-11-06,54000,7080,1227924,20251106 15:30,991,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MEMORIAL UNION,False,282,43.075889999999994,-89.40005000000001,1,1227923,24858,505854,EMPTY,80,37,2025-11-06,53700,1380,1227923,20251106 15:30,115,,2025-11-06T15:30:32.637085,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
DOWNTOWN S.P.,False,343,43.176514529502626,-89.24494569701605,1,1232887,11143,436,EMPTY,S,15,2025-11-06,55500,112S,1232887,20251106 15:30,2214,,2025-11-06T15:30:34.981878,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
MCKEE,False,270,43.031960000090976,-89.47719342420447,1,1230568,43034,506494,EMPTY,E,11,2025-11-06,53760,112E,1230568,20251106 15:30,129,,2025-11-06T15:30:37.274239,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
CAPITOL SQUARE,False,352,43.051303318447154,-89.47334290759862,1,1230537,25650,506589,EMPTY,E,20,2025-11-06,55140,116E,1230537,20251106 15:30,100,,2025-11-06T15:30:37.274239,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
CAPITOL SQUARE,False,45,43.073510000000006,-89.38363666666667,1,1230520,60506,506589,EMPTY,E,15,2025-11-06,53280,117E,1230520,20251106 15:29,114,,2025-11-06T15:30:37.274239,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-EPIC CAMPUS,False,226,43.0743507850511,-89.39235672437484,1,1230214,36319,1302,HALF_EMPTY,D,21,2025-11-06,54240,181D,1230214,20251106 15:30,143,,2025-11-06T15:30:39.571457,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-EPIC CAMPUS,False,197,43.02146371430337,-89.47217772208938,1,1230171,70706,1302,HALF_EMPTY,D,24,2025-11-06,52440,121D,1230171,20251106 15:30,110,,2025-11-06T15:30:39.571457,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,47,43.05610496001716,-89.43045214583144,1,1230149,33809,506006,EMPTY,D,26,2025-11-06,54540,115C,1230149,20251106 15:30,145,,2025-11-06T15:30:39.571457,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,82,43.09969521115495,-89.33514704650113,1,1230107,66655,506006,EMPTY,D,18,2025-11-06,52800,114E,1230107,20251106 15:30,1901,,2025-11-06T15:30:39.571457,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-SPRECHER,False,157,43.08571666666667,-89.26458166666667,1,1230147,92704,506006,EMPTY,D,0,2025-11-06,51000,113C,1230147,20251106 15:30,987,,2025-11-06T15:30:39.571457,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-JUNCTION,False,302,43.10024163884,-89.34816451254396,1,1230188,29685,506009,EMPTY,D,0,2025-11-06,54780,115D,1230188,20251106 15:30,2208,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-JUNCTION,False,231,43.065523682595774,-89.41639620875061,1,1230213,54244,506009,FULL,D,9,2025-11-06,52980,114D,1230213,20251106 15:30,101,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
1-JUNCTION,False,282,43.051029156136856,-89.51412831866523,1,1230187,87084,506009,EMPTY,D,35,2025-11-06,51240,112D,1230187,20251106 15:30,1911,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-AIRPORT,True,3,43.137435,-89.34652333333334,1,1230123,107595,506571,EMPTY,D,0,2025-11-06,49140,126D,1230123,20251106 15:30,1908,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-AIRPORT,False,64,43.01889367420039,-89.47413446762815,1,1230150,37620,506661,EMPTY,D,7,2025-11-06,54480,125D,1230150,20251106 15:30,986,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-AIRPORT,False,91,43.0720563485857,-89.39826683311058,1,1230124,70617,506661,HALF_EMPTY,D,7,2025-11-06,52740,122D,1230124,20251106 15:30,142,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
2-AIRPORT,False,6,43.137249999999995,-89.34655333333333,1,1230148,107505,506661,EMPTY,D,0,2025-11-06,50940,123D,1230148,20251106 15:30,147,,2025-11-06T15:30:39.572471,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
BROOKS,False,20,43.05654,-89.39893,1,1232123,9692,506538,EMPTY,O,10,2025-11-06,55440,123G,1232123,20251106 15:30,125,,2025-11-06T15:30:41.852975,54.0,0.0,13.9,0,0,0,partly cloudy,0,0,0,0
