des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,227,43.08168689928008,-89.37435391619591,1,1228631,46422,387,HALF_EMPTY,A,20,2025-09-25,33180,122A,1228631,20250925 09:42,2330,,2025-09-25T09:42:40.705272
JUNCTION,False,266,43.06067715103726,-89.50748051808496,1,1228628,88171,387,EMPTY,A,0,2025-09-25,31380,120A,1228628,20250925 09:42,2339,,2025-09-25T09:42:40.705285
2-AMERICAN CENTER,False,88,43.060371723426016,-89.52351683989603,1,1228563,2537,414,EMPTY,A,7,2025-09-25,34740,125A,1228563,20250925 09:42,2352,,2025-09-25T09:42:40.705288
2-AMERICAN CENTER,False,90,43.07201391333465,-89.39594972295903,1,1228562,41436,414,EMPTY,A,7,2025-09-25,32940,123A,1228562,20250925 09:42,2314,,2025-09-25T09:42:40.705291
2-AMERICAN CENTER,False,249,43.14775757468961,-89.29014878183028,1,1228561,88831,414,HALF_EMPTY,A,15,2025-09-25,31080,127A,1228561,20250925 09:42,2315,,2025-09-25T09:42:40.705293
1-SUN PRAIRIE VIA HIGH CROSSING,False,88,43.07526723066761,-89.45149235588161,1,1228524,26275,421,HALF_EMPTY,A,0,2025-09-25,33840,121A,1228524,20250925 09:42,2353,,2025-09-25T09:42:40.705295
1-SUN PRAIRIE VIA HIGH CROSSING,False,46,43.10405325133977,-89.34217706553692,1,1228540,61522,421,HALF_EMPTY,A,0,2025-09-25,31980,118A,1228540,20250925 09:42,2361,,2025-09-25T09:42:40.705297
1-SUN PRAIRIE VIA HIGH CROSSING,False,9,43.15685666666666,-89.26688333333335,1,1228523,95552,421,EMPTY,A,0,2025-09-25,30180,126A,1228523,20250925 09:42,2316,,2025-09-25T09:42:40.705299
JUNCTION VIA HIGH CROSSING,False,226,43.12141944566101,-89.31786973606498,1,1228607,24859,469,EMPTY,A,35,2025-09-25,34080,111A,1228607,20250925 09:42,2347,,2025-09-25T09:42:40.705302
JUNCTION VIA HIGH CROSSING,False,259,43.073495571430804,-89.42353820815453,1,1228589,62656,469,EMPTY,A,45,2025-09-25,32280,113A,1228589,20250925 09:42,2318,,2025-09-25T09:42:40.705304
JUNCTION VIA HIGH CROSSING,False,224,43.057935,-89.52798333333334,1,1228606,96630,469,EMPTY,A,0,2025-09-25,30480,119A,1228606,20250925 09:42,2356,,2025-09-25T09:42:40.705306
1-SPRECHER,False,166,43.05272259204275,-89.52025220633072,1,1230102,3562,505941,EMPTY,D,30,2025-09-25,34860,112D,1230102,20250925 09:42,107,,2025-09-25T09:42:43.201214
1-SPRECHER,False,52,43.076475304367655,-89.38739608734925,1,1230137,48550,505941,EMPTY,D,20,2025-09-25,32880,115C,1230137,20250925 09:42,995,,2025-09-25T09:42:43.201222
1-SPRECHER,False,87,43.09947303248503,-89.26749753682813,1,1230101,84069,505941,EMPTY,D,21,2025-09-25,31080,113D,1230101,20250925 09:42,2212,,2025-09-25T09:42:43.201224
1-JUNCTION,False,192,43.08505216397183,-89.26444779184516,1,1230203,296,505944,EMPTY,D,6,2025-09-25,34920,111C,1230203,20250925 09:42,135,,2025-09-25T09:42:43.201225
1-JUNCTION,False,224,43.08614879189823,-89.37566526612886,1,1230182,39998,505944,EMPTY,D,16,2025-09-25,33120,111D,1230182,20250925 09:42,148,,2025-09-25T09:42:43.201226
1-JUNCTION,False,264,43.04652378115779,-89.4754036228637,1,1230201,75413,505944,EMPTY,D,24,2025-09-25,31140,114D,1230201,20250925 09:42,2009,,2025-09-25T09:42:43.201227
2-AIRPORT,False,125,42.996776524586174,-89.56290187782292,1,1230140,275,506011,EMPTY,D,2,2025-09-25,34860,124D,1230140,20250925 09:42,142,,2025-09-25T09:42:43.201229
2-AIRPORT,False,46,43.052096988016515,-89.43655592243006,1,1230118,57796,506011,EMPTY,D,26,2025-09-25,33000,125D,1230118,20250925 09:42,984,,2025-09-25T09:42:43.201230
2-AIRPORT,False,0,43.098207619940766,-89.36409,1,1230138,85523,506011,EMPTY,D,30,2025-09-25,31020,122D,1230138,20250925 09:42,2004,,2025-09-25T09:42:43.201231
2-EPIC CAMPUS,False,183,43.13234668176806,-89.36345860387932,1,1230166,11538,506019,EMPTY,D,0,2025-09-25,34440,123D,1230166,20250925 09:42,103,,2025-09-25T09:42:43.201232
2-EPIC CAMPUS,False,229,43.06913909946874,-89.41067802033449,1,1230202,42720,506019,EMPTY,D,19,2025-09-25,32640,126D,1230202,20250925 09:42,1903,,2025-09-25T09:42:43.201233
2-EPIC CAMPUS,False,262,42.98851439660738,-89.54545898868719,1,1230165,101527,506019,EMPTY,D,33,2025-09-25,30660,121D,1230165,20250925 09:42,130,,2025-09-25T09:42:43.201234
ERIN,False,85,43.06205462067541,-89.40370751025092,1,1232177,7659,505843,EMPTY,O,22,2025-09-25,34500,118G,1232177,20250925 09:42,139,,2025-09-25T09:42:45.691580
BROOKS,False,91,43.0721169,-89.40261,1,1232117,19525,506281,EMPTY,O,0,2025-09-25,33840,123G,1232117,20250925 09:42,2207,,2025-09-25T09:42:45.691588
SOUTH TRANSFER,False,167,43.03465121766329,-89.42299142890019,1,1231412,40451,350,EMPTY,H,15,2025-09-25,33480,114G,1231412,20250925 09:42,2203,,2025-09-25T09:42:48.233717
WEST TOWNE,False,265,43.026440763389544,-89.42358857563993,1,1231450,11336,400,EMPTY,H,18,2025-09-25,34500,120G,1231450,20250925 09:42,153,,2025-09-25T09:42:48.233725
WEST TOWNE,False,186,43.061323333333334,-89.50788499999999,1,1231449,57414,400,EMPTY,H,0,2025-09-25,32700,119G,1231449,20250925 09:42,1911,,2025-09-25T09:42:48.233726
U.W. HOSPITAL,False,224,43.07226881023426,-89.38191690687293,1,1227596,41,1214,EMPTY,38,13,2025-09-25,34920,237X,1227596,20250925 09:42,2358,,2025-09-25T09:42:50.748049
U.W. HOSPITAL,False,298,43.076860343498545,-89.42645667445412,1,1227594,14141,1214,EMPTY,38,8,2025-09-25,33600,238X,1227594,20250925 09:42,2005,,2025-09-25T09:42:50.748059
MONONA/DUTCH MILL,False,91,43.062264665915365,-89.33150510521003,1,1227532,66003,1289,EMPTY,38,16,2025-09-25,31560,11138,1227532,20250925 09:42,996,,2025-09-25T09:42:50.748061
JENIFER,False,255,43.072327,-89.405737,1,1227533,22191,1290,EMPTY,38,0,2025-09-25,33420,11238,1227533,20250925 09:42,128,,2025-09-25T09:42:50.748063
WHITNEY,False,276,43.07288806874571,-89.46074529552051,1,1227560,32577,1294,EMPTY,38,35,2025-09-25,32460,11338,1227560,20250925 09:42,118,,2025-09-25T09:42:50.748065
U.W. HOSPITAL,False,270,43.07649442348807,-89.41997047344944,1,1227595,18458,1295,EMPTY,38,1,2025-09-25,33420,222X,1227595,20250925 09:42,1914,,2025-09-25T09:42:50.748067
WHITNEY,False,226,43.07350899788106,-89.37996993462414,1,1227561,50578,1301,HALF_EMPTY,38,18,2025-09-25,32700,11438,1227561,20250925 09:42,134,,2025-09-25T09:42:50.748069
EAGLE HEIGHTS VIA U.W. CAMPUS,False,274,43.086306666666665,-89.43864833333333,1,1228488,18,462,EMPTY,84,0,2025-09-25,35040,3284,1228488,20250925 09:42,2206,,2025-09-25T09:42:53.256011
EAGLE HEIGHTS VIA U.W. CAMPUS,False,88,43.07645805678986,-89.4161354141858,1,1228487,14740,462,HALF_EMPTY,84,35,2025-09-25,34140,3184,1228487,20250925 09:42,2014,,2025-09-25T09:42:53.256018
FITCHBURG-CADDIS,False,1,43.1409877482234,-89.39773467362315,1,1229112,8859,1278,EMPTY,B,26,2025-09-25,34740,143B,1229112,20250925 09:42,2354,,2025-09-25T09:42:55.783804
FITCHBURG-CADDIS,False,180,43.10821577232048,-89.35445989954684,1,1229141,28823,1278,EMPTY,B,30,2025-09-25,33840,142B,1229141,20250925 09:42,2350,,2025-09-25T09:42:55.783812
FITCHBURG-CADDIS,False,284,43.073337087937134,-89.39875592312309,1,1229111,50390,1278,EMPTY,B,2,2025-09-25,32820,139B,1229111,20250925 09:42,2331,,2025-09-25T09:42:55.783813
FITCHBURG-CADDIS,False,159,43.0440800396054,-89.39419345620709,1,1229140,61909,1278,EMPTY,B,15,2025-09-25,31920,141B,1229140,20250925 09:42,2342,,2025-09-25T09:42:55.783814
FITCHBURG-CADDIS,False,72,43.019598333333334,-89.42089666666668,1,1229110,75914,1278,EMPTY,B,0,2025-09-25,31020,137B,1229110,20250925 09:42,2301,,2025-09-25T09:42:55.783816
NORTHPORT,False,28,43.02760846260927,-89.41175242334977,1,1229047,4366,1280,EMPTY,B,31,2025-09-25,34740,140B,1229047,20250925 09:42,2323,,2025-09-25T09:42:55.783817
NORTHPORT,False,325,43.057344929083754,-89.39893077883188,1,1229079,19552,1280,EMPTY,B,30,2025-09-25,33840,136B,1229079,20250925 09:42,2355,,2025-09-25T09:42:55.783818
NORTHPORT,False,54,43.082333423304675,-89.37316981334267,1,1229046,34983,1280,EMPTY,B,20,2025-09-25,32820,138B,1229046,20250925 09:42,2308,,2025-09-25T09:42:55.783819
KENNEDY/DROP OFFS ONLY,False,275,43.13379321330879,-89.3731292531352,1,1229174,0,1284,EMPTY,B,4,2025-09-25,35040,134B,1229174,20250925 09:42,2328,,2025-09-25T09:42:55.783820
CAPITOL SQUARE,False,28,43.031013045443125,-89.40927620243514,1,1227751,54614,1274,EMPTY,75,0,2025-09-25,33300,13375,1227751,20250925 09:42,116,,2025-09-25T09:42:58.294232
2-BUCKEYE,False,80,43.07200022191457,-89.42819106073377,1,1229700,4922,327,EMPTY,C,0,2025-09-25,34560,118C,1229700,20250925 09:42,2015,,2025-09-25T09:43:00.859267
2-BUCKEYE,False,72,43.07452833333333,-89.278085,1,1229699,56525,327,EMPTY,C,0,2025-09-25,31140,115D,1229699,20250925 09:42,2204,,2025-09-25T09:43:00.859278
1-SPRECHER,False,47,43.07493904876517,-89.37786924263108,1,1229733,20102,349,EMPTY,C,19,2025-09-25,33660,117C,1229733,20250925 09:42,137,,2025-09-25T09:43:00.859281
1-SPRECHER,False,117,43.0937534744453,-89.34097065203663,1,1229718,33422,349,EMPTY,C,39,2025-09-25,32700,113C,1229718,20250925 09:42,986,,2025-09-25T09:43:00.859284
U.W. HOSPITAL,False,313,43.08943166460587,-89.32941902295944,1,1229754,18776,454,EMPTY,C,23,2025-09-25,34380,120C,1229754,20250925 09:42,147,,2025-09-25T09:43:00.859286
U.W. HOSPITAL,False,227,43.07486687680985,-89.37823993609032,1,1229804,35479,454,EMPTY,C,0,2025-09-25,33480,114C,1229804,20250925 09:42,120,,2025-09-25T09:43:00.859288
U.W. HOSPITAL,False,270,43.073517000035494,-89.41430500392134,1,1229791,46599,454,EMPTY,C,0,2025-09-25,32580,112C,1229791,20250925 09:42,132,,2025-09-25T09:43:00.859291
1-JUNCTION,False,226,43.074751924957354,-89.39175649196824,1,1232591,2139,354,EMPTY,R,11,2025-09-25,34740,112E,1232591,20250925 09:42,159,,2025-09-25T09:43:03.344907
