des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
2-BUCKEYE,False,83,43.07318285999764,-89.41789545185254,1,1229707,7708,327,EMPTY,C,21,2025-09-26,63300,111D,1229707,20250926 17:44,114,,2025-09-26T17:44:31.897935
U.W. HOSPITAL,False,229,43.076523471714616,-89.27693168407436,1,1229779,1147,331,EMPTY,C,0,2025-09-26,63960,119C,1229779,20250926 17:44,2207,,2025-09-26T17:44:31.897943
1-SPRECHER,False,74,43.07590062216348,-89.37628561039807,1,1229741,20654,349,EMPTY,C,145,2025-09-26,62400,120C,1229741,20250926 17:44,998,,2025-09-26T17:44:31.897945
1-SPRECHER,False,88,43.093805982436464,-89.342038260424,1,1229727,33136,349,EMPTY,C,20,2025-09-26,61440,114C,1229727,20250926 17:44,123,,2025-09-26T17:44:31.897946
1-SPRECHER,False,86,43.085856666666665,-89.26465166666667,1,1229692,56074,349,EMPTY,C,0,2025-09-26,60540,112C,1229692,20250926 17:44,122,,2025-09-26T17:44:31.897947
U.W. HOSPITAL,False,294,43.090987278458655,-89.33384761904269,1,1229762,20103,454,EMPTY,C,30,2025-09-26,63240,118C,1229762,20250926 17:44,1911,,2025-09-26T17:44:31.897949
U.W. HOSPITAL,False,128,43.084238,-89.362395,1,1229812,29719,454,EMPTY,C,0,2025-09-26,62340,117C,1229812,20250926 17:44,147,,2025-09-26T17:44:31.897950
U.W. HOSPITAL,False,258,43.07237254443971,-89.42587938133289,1,1229799,49719,454,EMPTY,C,6,2025-09-26,61380,111C,1229799,20250926 17:44,131,,2025-09-26T17:44:31.897951
EPIC CAMPUS,False,226,43.06722621027855,-89.39491167606249,1,1227765,4611,1252,EMPTY,75,0,2025-09-26,63480,18375,1227765,20250926 17:44,2340,,2025-09-26T17:44:34.504284
CAPITOL SQUARE,False,75,42.990278767598845,-89.53464793670442,1,1227743,11485,1274,HALF_EMPTY,75,0,2025-09-26,63300,18275,1227743,20250926 17:44,1910,,2025-09-26T17:44:34.504293
