des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA EAGLE HEIGHTS,False,24,43.09003568143159,-89.4368513030883,1,1228079,18876,386,EMPTY,80,13,2025-11-15,76500,6180,1228079,20251115 21:29,119,,2025-11-15T21:29:19.315876,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,226,43.07528197395802,-89.3910376570576,1,1228388,9762,444,EMPTY,81,8,2025-11-15,75900,6181,1228388,20251115 21:29,998,,2025-11-15T21:29:21.326782,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,193,43.07671808313819,-89.42526093486791,1,1228454,7220,335,HALF_EMPTY,82,11,2025-11-15,76800,6182,1228454,20251115 21:29,996,,2025-11-15T21:29:23.347051,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
