des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp,weather_temp,weather_precipitation,weather_wind_speed,weather_is_rainy,weather_is_snowy,weather_is_extreme,weather_condition,has_alert,alert_count,has_detour,has_event,has_weather_alert,has_construction_alert,is_event_day,has_construction
MEMORIAL UNION VIA EAGLE HEIGHTS,False,0,43.07643824943161,-89.41269294660587,1,1228079,4567,386,FULL,80,10,2025-11-15,76500,6180,1228079,20251115 21:18,119,,2025-11-15T21:18:21.862194,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,299,43.075808333333335,-89.40013166666668,1,1228388,18,444,EMPTY,81,0,2025-11-15,75900,6181,1228388,20251115 21:18,998,,2025-11-15T21:18:43.078604,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,90,43.07591666666667,-89.400205,1,1228454,17,335,EMPTY,82,0,2025-11-15,76800,6182,1228454,20251115 21:18,996,,2025-11-15T21:18:45.748612,52.0,0.0,14.1,0,0,0,clear,0,0,0,0,0,0,0,0
