des,dly,hdg,lat,lon,mode,origtatripno,pdist,pid,psgld,rt,spd,stsd,stst,tablockid,tatripid,tmstmp,vid,zone,collection_timestamp
JUNCTION,False,288,43.07487118184207,-89.43869354302264,1,1228770,65249,387,HALF_EMPTY,A,35,2025-09-27,65460,220A,1228770,20250927 18:53,2303,,2025-09-27T18:53:55.539099
2-AMERICAN CENTER,False,89,43.060512971476996,-89.51283040700243,1,1228709,5397,414,EMPTY,A,31,2025-09-27,67560,216A,1228709,20250927 18:53,2338,,2025-09-27T18:53:55.539105
2-AMERICAN CENTER,False,33,43.078286462670874,-89.37890523483777,1,1228708,47928,414,HALF_EMPTY,A,0,2025-09-27,65760,218A,1228708,20250927 18:53,2320,,2025-09-27T18:53:55.539106
1-SUN PRAIRIE VIA HIGH CROSSING,False,88,43.07526899121173,-89.45141111587118,1,1228680,26301,421,HALF_EMPTY,A,21,2025-09-27,66660,215A,1228680,20250927 18:53,2350,,2025-09-27T18:53:55.539108
1-SUN PRAIRIE VIA HIGH CROSSING,False,45,43.12638829128734,-89.31033384516086,1,1228664,75587,421,EMPTY,A,40,2025-09-27,64860,214A,1228664,20250927 18:53,2330,,2025-09-27T18:53:55.539109
JUNCTION VIA HIGH CROSSING,False,227,43.081984870152795,-89.37390140186419,1,1228769,47781,469,EMPTY,A,13,2025-09-27,66360,213A,1228769,20250927 18:53,2327,,2025-09-27T18:53:55.539110
JUNCTION VIA HIGH CROSSING,False,268,43.06044404240089,-89.52717711970364,1,1228725,94970,469,EMPTY,A,1,2025-09-27,64560,211A,1228725,20250927 18:53,2342,,2025-09-27T18:53:55.539111
MEMORIAL UNION VIA EAGLE HEIGHTS,False,177,43.085946666666665,-89.43365166666666,1,1228096,21424,506364,EMPTY,80,18,2025-09-27,66900,4280,1228096,20250927 18:53,1907,,2025-09-27T18:53:57.967582
SHEBOYGAN VIA MIDDLETON,False,93,43.09006543006819,-89.52463083250713,1,1230807,16853,506311,EMPTY,F,13,2025-09-27,67560,213F,1230807,20250927 18:53,2011,,2025-09-27T18:54:00.415641
JUNCTION VIA MIDDLETON,False,0,43.09734467238031,-89.5277557,1,1230838,33694,506313,EMPTY,F,24,2025-09-27,66960,212F,1230838,20250927 18:53,120,,2025-09-27T18:54:00.415647
MEMORIAL UNION VIA JOHNSON/WASHINGTON,False,254,43.07321506501676,-89.39498006436533,1,1228383,11131,444,EMPTY,81,17,2025-09-27,66900,6181,1228383,20250927 18:53,114,,2025-09-27T18:54:02.860949
FITCHBURG-CADDIS,False,118,43.130623662947166,-89.36351222254704,1,1229288,19376,1278,EMPTY,B,20,2025-09-27,67500,258B,1229288,20250927 18:53,2362,,2025-09-27T18:54:05.299348
FITCHBURG-CADDIS,False,224,43.09142545402144,-89.36061685435682,1,1229319,37266,1278,EMPTY,B,20,2025-09-27,66180,257B,1229319,20250927 18:53,2310,,2025-09-27T18:54:05.299352
FITCHBURG-CADDIS,False,359,43.038895,-89.394824,1,1229318,64352,1278,EMPTY,B,0,2025-09-27,65280,256B,1229318,20250927 18:53,2339,,2025-09-27T18:54:05.299353
FITCHBURG-CADDIS,False,53,43.01956166666667,-89.42091166666665,1,1229321,75913,1278,EMPTY,B,0,2025-09-27,64380,255B,1229321,20250927 18:53,2313,,2025-09-27T18:54:05.299353
NORTHPORT,False,91,43.03851280633548,-89.39610511589186,1,1229257,11027,1280,EMPTY,B,24,2025-09-27,67620,254B,1229257,20250927 18:54,2341,,2025-09-27T18:54:05.299354
NORTHPORT,False,41,43.074841244724325,-89.38993615993569,1,1229228,28372,1280,EMPTY,B,12,2025-09-27,66720,253B,1229228,20250927 18:54,2356,,2025-09-27T18:54:05.299355
NORTHPORT,False,44,43.09345351343804,-89.35750674045441,1,1229256,40772,1280,EMPTY,B,31,2025-09-27,65820,252B,1229256,20250927 18:53,2308,,2025-09-27T18:54:05.299355
KENNEDY/DROP OFFS ONLY,False,270,43.13376980370636,-89.38926188124758,1,1229343,4290,1284,EMPTY,B,0,2025-09-27,67680,251B,1229343,20250927 18:53,2347,,2025-09-27T18:54:05.299356
MEMORIAL UNION VIA OBSERVATORY/BREESE,False,273,43.07652933121325,-89.4097132254896,1,1228463,3037,335,HALF_EMPTY,82,16,2025-09-27,67800,6182,1228463,20250927 18:54,2210,,2025-09-27T18:54:07.755343
CAPITOL SQUARE,False,89,43.0677261,-89.416,1,1230587,50694,506369,EMPTY,E,20,2025-09-27,66000,211E,1230587,20250927 18:54,110,,2025-09-27T18:54:10.174347
MCKEE,False,181,43.05109555582021,-89.47366200780918,1,1230604,35562,506370,EMPTY,E,26,2025-09-27,66360,212E,1230604,20250927 18:54,1911,,2025-09-27T18:54:10.174355
2-VERONA,False,189,43.01575037807957,-89.47571016408418,1,1230276,71827,435,EMPTY,D,4,2025-09-27,64800,222D,1230276,20250927 18:54,131,,2025-09-27T18:54:12.618184
1-JUNCTION,False,307,43.073262434517716,-89.39461512715374,1,1230293,46679,448,EMPTY,D,0,2025-09-27,66120,213D,1230293,20250927 18:54,138,,2025-09-27T18:54:12.618190
1-JUNCTION,False,181,43.0575,-89.52811333333332,1,1230292,92152,448,EMPTY,D,0,2025-09-27,62520,211D,1230292,20250927 18:54,2007,,2025-09-27T18:54:12.618192
2-AIRPORT,True,2,43.13737166666667,-89.34653000000002,1,1230256,101384,1297,EMPTY,D,0,2025-09-27,62520,221D,1230256,20250927 18:54,148,,2025-09-27T18:54:12.618193
1-SPRECHER,False,92,43.099782033576,-89.33730787424071,1,1230240,66133,505941,EMPTY,D,5,2025-09-27,65040,212D,1230240,20250927 18:54,106,,2025-09-27T18:54:12.618194
2-BUCKEYE,False,105,43.07189762795804,-89.39550611296855,1,1229845,13736,327,HALF_EMPTY,C,10,2025-09-27,67020,213C,1229845,20250927 18:54,145,,2025-09-27T18:54:15.038338
1-SPRECHER,False,88,43.0840636226504,-89.30698872937532,1,1229829,44196,349,EMPTY,C,11,2025-09-27,65220,211C,1229829,20250927 18:54,125,,2025-09-27T18:54:15.038345
